# Version 1.0
# Parameter q0 virFac lambdaQCD pionScale kaonScale protonScale StoUD QQtoQ
2.16 0.226 0.17800000000000002 1.97 1.22 0.5 0.32 0.1974 1
2.16 0.226 0.17800000000000002 1.97 1.22 0.5 0.32 0.1974 2
2.16 0.226 0.17800000000000002 1.97 1.22 0.5 0.32 0.1974 3
2.16 0.226 0.17800000000000002 1.97 1.22 0.5 0.32 0.1974 4
2.16 0.226 0.17800000000000002 1.97 1.22 0.5 0.32 0.1974 5
2.16 0.226 0.17800000000000002 1.97 1.22 0.5 0.32 0.1974 6
2.16 0.226 0.17800000000000002 1.97 1.22 0.5 0.32 0.1974 7
2.16 0.226 0.17800000000000002 1.97 1.22 0.5 0.32 0.1974 8
2.16 0.226 0.17800000000000002 1.97 1.22 0.5 0.32 0.1974 9
2.16 0.226 0.17800000000000002 1.97 1.22 0.5 0.32 0.1974 10
