cent entropy
0 213.50390806
1 174.14000176
2 165.44453896
3 158.03718605
4 151.37326759
5 145.15761475
6 139.22611552
7 133.71550712
8 128.44499563
9 123.5540815
10 118.77790851
11 114.23331014
12 109.89538906
13 105.70056269
14 101.72594214
15 97.917631594
16 94.165889117
17 90.602174157
18 87.172276856
19 83.81172264
20 80.54815034
21 77.444157009
22 74.447433715
23 71.554765218
24 68.780746807
25 66.101396682
26 63.447089967
27 60.933386113
28 58.443033681
29 56.05367591
30 53.745586244
31 51.530658142
32 49.402418545
33 47.307940827
34 45.27577598
35 43.306679944
36 41.451623206
37 39.61489557
38 37.859197507
39 36.141601111
40 34.512583821
41 32.915373587
42 31.371851692
43 29.879521591
44 28.426876474
45 27.058701559
46 25.710800697
47 24.415620543
48 23.173321317
49 21.97552715
50 20.820181995
51 19.71700511
52 18.631405347
53 17.603788313
54 16.607464464
55 15.650256933
56 14.740500346
57 13.866273494
58 13.021818573
59 12.2086642
60 11.44261667
61 10.711645198
62 10.017957996
63 9.3486183891
64 8.7155989126
65 8.1093497403
66 7.5365414514
67 6.9947469763
68 6.4754569121
69 5.9905958353
70 5.5325199783
71 5.0992922903
72 4.6934028783
73 4.3143621488
74 3.9533499753
75 3.6176122751
76 3.303992027
77 3.0074436215
78 2.7332746844
79 2.478635645
80 2.2424988845
81 2.0203381734
82 1.8156300768
83 1.6242184348
84 1.4526845731
85 1.2928480619
86 1.1408698841
87 1.0018227138
88 0.87517501304
89 0.75948299585
90 0.65144747664
91 0.55360531464
92 0.46481392353
93 0.38401425729
94 0.31273211479
95 0.2473605369
96 0.18794508892
97 0.13382178871
98 0.08672527385
99 0.043846071231
100 6.9816217283e-05
