80
180
L [fm^-1]		aL		c2_vah1 [...]
0.600000		0.200000		20.582874
0.608228		0.200000		18.383911
0.616456		0.200000		16.434605
0.624684		0.200000		14.704766
0.632911		0.200000		13.168119
0.641139		0.200000		11.801756
0.649367		0.200000		10.585673
0.657595		0.200000		9.502370
0.665823		0.200000		8.536517
0.674051		0.200000		7.674662
0.682278		0.200000		6.904988
0.690506		0.200000		6.217097
0.698734		0.200000		5.601832
0.706962		0.200000		5.051117
0.715190		0.200000		4.557823
0.723418		0.200000		4.115648
0.731646		0.200000		3.719019
0.739873		0.200000		3.362999
0.748101		0.200000		3.043213
0.756329		0.200000		2.755782
0.764557		0.200000		2.497259
0.772785		0.200000		2.264584
0.781013		0.200000		2.055035
0.789241		0.200000		1.866190
0.797468		0.200000		1.695894
0.805696		0.200000		1.542224
0.813924		0.200000		1.403467
0.822152		0.200000		1.278095
0.830380		0.200000		1.164743
0.838608		0.200000		1.062193
0.846835		0.200000		0.969355
0.855063		0.200000		0.885254
0.863291		0.200000		0.809020
0.871519		0.200000		0.739870
0.879747		0.200000		0.677107
0.887975		0.200000		0.620103
0.896203		0.200000		0.568295
0.904430		0.200000		0.521180
0.912658		0.200000		0.478304
0.920886		0.200000		0.439261
0.929114		0.200000		0.403684
0.937342		0.200000		0.371244
0.945570		0.200000		0.341646
0.953797		0.200000		0.314623
0.962025		0.200000		0.289935
0.970253		0.200000		0.267366
0.978481		0.200000		0.246720
0.986709		0.200000		0.227820
0.994937		0.200000		0.210509
1.003165		0.200000		0.194642
1.011392		0.200000		0.180090
1.019620		0.200000		0.166735
1.027848		0.200000		0.154470
1.036076		0.200000		0.143200
1.044304		0.200000		0.132837
1.052532		0.200000		0.123302
1.060759		0.200000		0.114524
1.068987		0.200000		0.106438
1.077215		0.200000		0.098983
1.085443		0.200000		0.092107
1.093671		0.200000		0.085762
1.101899		0.200000		0.079901
1.110127		0.200000		0.074486
1.118354		0.200000		0.069479
1.126582		0.200000		0.064846
1.134810		0.200000		0.060558
1.143038		0.200000		0.056585
1.151266		0.200000		0.052904
1.159494		0.200000		0.049490
1.167722		0.200000		0.046322
1.175949		0.200000		0.043381
1.184177		0.200000		0.040649
1.192405		0.200000		0.038109
1.200633		0.200000		0.035748
1.208861		0.200000		0.033550
1.217089		0.200000		0.031504
1.225316		0.200000		0.029599
1.233544		0.200000		0.027822
1.241772		0.200000		0.026166
1.250000		0.200000		0.024621
0.600000		0.210056		19.606699
0.608228		0.210056		17.511921
0.616456		0.210056		15.654981
0.624684		0.210056		14.007117
0.632911		0.210056		12.543297
0.641139		0.210056		11.241699
0.649367		0.210056		10.083265
0.657595		0.210056		9.051323
0.665823		0.210056		8.131267
0.674051		0.210056		7.310284
0.682278		0.210056		6.577114
0.690506		0.210056		5.921853
0.698734		0.210056		5.335777
0.706962		0.210056		4.811193
0.715190		0.210056		4.341307
0.723418		0.210056		3.920118
0.731646		0.210056		3.542314
0.739873		0.210056		3.203195
0.748101		0.210056		2.898592
0.756329		0.210056		2.624808
0.764557		0.210056		2.378562
0.772785		0.210056		2.156938
0.781013		0.210056		1.957343
0.789241		0.210056		1.777469
0.797468		0.210056		1.615263
0.805696		0.210056		1.468894
0.813924		0.210056		1.336731
0.822152		0.210056		1.217317
0.830380		0.210056		1.109352
0.838608		0.210056		1.011676
0.846835		0.210056		0.923251
0.855063		0.210056		0.843149
0.863291		0.210056		0.770538
0.871519		0.210056		0.704677
0.879747		0.210056		0.644898
0.887975		0.210056		0.590604
0.896203		0.210056		0.541260
0.904430		0.210056		0.496385
0.912658		0.210056		0.455549
0.920886		0.210056		0.418362
0.929114		0.210056		0.384477
0.937342		0.210056		0.353581
