101
81
T [GeV]		muB [GeV]		betabulk_over_T4 [fm^-4 / GeV^4]
0.100000		0.000000		9.305319
0.101000		0.000000		9.598282
0.102000		0.000000		9.896558
0.103000		0.000000		10.200133
0.104000		0.000000		10.509000
0.105000		0.000000		10.823154
0.106000		0.000000		11.142595
0.107000		0.000000		11.467326
0.108000		0.000000		11.797355
0.109000		0.000000		12.132695
0.110000		0.000000		12.473363
0.111000		0.000000		12.819383
0.112000		0.000000		13.170779
0.113000		0.000000		13.527586
0.114000		0.000000		13.889839
0.115000		0.000000		14.257581
0.116000		0.000000		14.630859
0.117000		0.000000		15.009724
0.118000		0.000000		15.394234
0.119000		0.000000		15.784450
0.120000		0.000000		16.180441
0.121000		0.000000		16.582278
0.122000		0.000000		16.990038
0.123000		0.000000		17.403802
0.124000		0.000000		17.823656
0.125000		0.000000		18.249693
0.126000		0.000000		18.682006
0.127000		0.000000		19.120697
0.128000		0.000000		19.565868
0.129000		0.000000		20.017627
0.130000		0.000000		20.476088
0.131000		0.000000		20.941365
0.132000		0.000000		21.413579
0.133000		0.000000		21.892851
0.134000		0.000000		22.379309
0.135000		0.000000		22.873082
0.136000		0.000000		23.374302
0.137000		0.000000		23.883105
0.138000		0.000000		24.399628
0.139000		0.000000		24.924012
0.140000		0.000000		25.456400
0.141000		0.000000		25.996936
0.142000		0.000000		26.545767
0.143000		0.000000		27.103042
0.144000		0.000000		27.668909
0.145000		0.000000		28.243522
0.146000		0.000000		28.827032
0.147000		0.000000		29.419592
0.148000		0.000000		30.021357
0.149000		0.000000		30.632483
0.150000		0.000000		31.253125
0.151000		0.000000		31.883438
0.152000		0.000000		32.523578
0.153000		0.000000		33.173703
0.154000		0.000000		33.833967
0.155000		0.000000		34.504526
0.156000		0.000000		35.185536
0.157000		0.000000		35.877150
0.158000		0.000000		36.579523
0.159000		0.000000		37.292808
0.160000		0.000000		38.017156
0.161000		0.000000		38.752717
0.162000		0.000000		39.499642
0.163000		0.000000		40.258078
0.164000		0.000000		41.028171
0.165000		0.000000		41.810066
