101
81
T [GeV]		muB [GeV]		betapi_over_T4 [fm^-4 / GeV^4]
0.100000		0.000000		29.369389
0.101000		0.000000		29.817725
0.102000		0.000000		30.274657
0.103000		0.000000		30.740540
0.104000		0.000000		31.215730
0.105000		0.000000		31.700592
0.106000		0.000000		32.195493
0.107000		0.000000		32.700805
0.108000		0.000000		33.216907
0.109000		0.000000		33.744181
0.110000		0.000000		34.283016
0.111000		0.000000		34.833805
0.112000		0.000000		35.396948
0.113000		0.000000		35.972848
0.114000		0.000000		36.561916
0.115000		0.000000		37.164568
0.116000		0.000000		37.781225
0.117000		0.000000		38.412313
0.118000		0.000000		39.058266
0.119000		0.000000		39.719522
0.120000		0.000000		40.396525
0.121000		0.000000		41.089725
0.122000		0.000000		41.799578
0.123000		0.000000		42.526545
0.124000		0.000000		43.271093
0.125000		0.000000		44.033696
0.126000		0.000000		44.814830
0.127000		0.000000		45.614981
0.128000		0.000000		46.434638
0.129000		0.000000		47.274296
0.130000		0.000000		48.134455
0.131000		0.000000		49.015621
0.132000		0.000000		49.918305
0.133000		0.000000		50.843023
0.134000		0.000000		51.790295
0.135000		0.000000		52.760649
0.136000		0.000000		53.754615
0.137000		0.000000		54.772728
0.138000		0.000000		55.815528
0.139000		0.000000		56.883560
0.140000		0.000000		57.977373
0.141000		0.000000		59.097519
0.142000		0.000000		60.244554
0.143000		0.000000		61.419040
0.144000		0.000000		62.621541
0.145000		0.000000		63.852624
0.146000		0.000000		65.112860
0.147000		0.000000		66.402824
0.148000		0.000000		67.723091
0.149000		0.000000		69.074242
0.150000		0.000000		70.456858
0.151000		0.000000		71.871525
0.152000		0.000000		73.318828
0.153000		0.000000		74.799357
0.154000		0.000000		76.313700
0.155000		0.000000		77.862451
0.156000		0.000000		79.446202
0.157000		0.000000		81.065547
0.158000		0.000000		82.721080
0.159000		0.000000		84.413398
0.160000		0.000000		86.143097
0.161000		0.000000		87.910772
0.162000		0.000000		89.717021
0.163000		0.000000		91.562438
0.164000		0.000000		93.447619
0.165000		0.000000		95.373160
0.166000		0.000000		97.339654
0.167000		0.000000		99.347695
0.168000		0.000000		101.397873
0.169000		0.000000		103.490779
0.170000		0.000000		105.627001
0.171000		0.000000		107.807126
0.172000		0.000000		110.031738
0.173000		0.000000		112.301418
0.174000		0.000000		114.616746
0.175000		0.000000		116.978299
0.176000		0.000000		119.386650
0.177000		0.000000		121.842368
0.178000		0.000000		124.346022
0.179000		0.000000		126.898174
0.180000		0.000000		129.499384
0.181000		0.000000		132.150207
0.182000		0.000000		134.851195
0.183000		0.000000		137.602895
0.184000		0.000000		140.405850
0.185000		0.000000		143.260598
0.186000		0.000000		146.167670
0.187000		0.000000		149.127597
0.188000		0.000000		152.140900
0.189000		0.000000		155.208096
0.190000		0.000000		158.329699
0.191000		0.000000		161.506214
0.192000		0.000000		164.738141
0.193000		0.000000		168.025976
0.194000		0.000000		171.370206
0.195000		0.000000		174.771314
0.196000		0.000000		178.229776
0.197000		0.000000		181.746061
0.198000		0.000000		185.320632
0.199000		0.000000		188.953945
0.200000		0.000000		192.646448
0.100000		0.010000		29.370992
0.101000		0.010000		29.819451
0.102000		0.010000		30.276513
0.103000		0.010000		30.742532
0.104000		0.010000		31.217867
0.105000		0.010000		31.702880
0.106000		0.010000		32.197940
0.107000		0.010000		32.703419
0.108000		0.010000		33.219696
0.109000		0.010000		33.747154
0.110000		0.010000		34.286181
0.111000		0.010000		34.837171
0.112000		0.010000		35.400524
0.113000		0.010000		35.976644
0.114000		0.010000		36.565941
0.115000		0.010000		37.168831
0.116000		0.010000		37.785736
0.117000		0.010000		38.417083
0.118000		0.010000		39.063305
0.119000		0.010000		39.724840
0.120000		0.010000		40.402134
0.121000		0.010000		41.095635
0.122000		0.010000		41.805801
0.123000		0.010000		42.533092
0.124000		0.010000		43.277975
0.125000		0.010000		44.040925
0.126000		0.010000		44.822419
0.127000		0.010000		45.622941
0.128000		0.010000		46.442982
0.129000		0.010000		47.283036
0.130000		0.010000		48.143605
0.131000		0.010000		49.025193
0.132000		0.010000		49.928312
0.133000		0.010000		50.853479
0.134000		0.010000		51.801214
0.135000		0.010000		52.772043
0.136000		0.010000		53.766499
0.137000		0.010000		54.785115
0.138000		0.010000		55.828433
0.139000		0.010000		56.896997
0.140000		0.010000		57.991356
0.141000		0.010000		59.112063
0.142000		0.010000		60.259675
0.143000		0.010000		61.434751
0.144000		0.010000		62.637858
0.145000		0.010000		63.869561
0.146000		0.010000		65.130433
0.147000		0.010000		66.421048
0.148000		0.010000		67.741982
0.149000		0.010000		69.093815
0.150000		0.010000		70.477129
0.151000		0.010000		71.892509
0.152000		0.010000		73.340542
0.153000		0.010000		74.821816
0.154000		0.010000		76.336921
0.155000		0.010000		77.886449
0.156000		0.010000		79.470993
0.157000		0.010000		81.091147
0.158000		0.010000		82.747507
0.159000		0.010000		84.440667
0.160000		0.010000		86.171224
0.161000		0.010000		87.939774
0.162000		0.010000		89.746914
0.163000		0.010000		91.593239
0.164000		0.010000		93.479344
0.165000		0.010000		95.405826
0.166000		0.010000		97.373277
0.167000		0.010000		99.382291
0.168000		0.010000		101.433459
0.169000		0.010000		103.527372
0.170000		0.010000		105.664617
0.171000		0.010000		107.845781
0.172000		0.010000		110.071448
0.173000		0.010000		112.342201
0.174000		0.010000		114.658617
0.175000		0.010000		117.021275
0.176000		0.010000		119.430746
0.177000		0.010000		121.887602
0.178000		0.010000		124.392408
0.179000		0.010000		126.945730
0.180000		0.010000		129.548125
0.181000		0.010000		132.200149
0.182000		0.010000		134.902355
0.183000		0.010000		137.655288
0.184000		0.010000		140.459491
0.185000		0.010000		143.315503
0.186000		0.010000		146.223855
0.187000		0.010000		149.185077
0.188000		0.010000		152.199690
0.189000		0.010000		155.268212
0.190000		0.010000		158.391155
0.191000		0.010000		161.569025
0.192000		0.010000		164.802323
0.193000		0.010000		168.091543
0.194000		0.010000		171.437173
0.195000		0.010000		174.839695
0.196000		0.010000		178.299585
0.197000		0.010000		181.817313
0.198000		0.010000		185.393340
0.199000		0.010000		189.028123
0.200000		0.010000		192.722111
0.100000		0.020000		29.375817
0.101000		0.020000		29.824645
0.102000		0.020000		30.282097
0.103000		0.020000		30.748527
0.104000		0.020000		31.224295
0.105000		0.020000		31.709763
0.106000		0.020000		32.205302
0.107000		0.020000		32.711284
0.108000		0.020000		33.228088
0.109000		0.020000		33.756097
0.110000		0.020000		34.295702
0.111000		0.020000		34.847297
0.112000		0.020000		35.411281
0.113000		0.020000		35.988060
0.114000		0.020000		36.578045
0.115000		0.020000		37.181652
0.116000		0.020000		37.799304
0.117000		0.020000		38.431428
0.118000		0.020000		39.078458
0.119000		0.020000		39.740833
0.120000		0.020000		40.418999
0.121000		0.020000		41.113406
0.122000		0.020000		41.824510
0.123000		0.020000		42.552774
0.124000		0.020000		43.298666
0.125000		0.020000		44.062659
0.126000		0.020000		44.845233
0.127000		0.020000		45.646871
0.128000		0.020000		46.468065
0.129000		0.020000		47.309311
0.130000		0.020000		48.171109
0.131000		0.020000		49.053965
0.132000		0.020000		49.958392
0.133000		0.020000		50.884907
0.134000		0.020000		51.834030
0.135000		0.020000		52.806289
0.136000		0.020000		53.802215
0.137000		0.020000		54.822344
0.138000		0.020000		55.867217
0.139000		0.020000		56.937379
0.140000		0.020000		58.033379
0.141000		0.020000		59.155771
0.142000		0.020000		60.305111
0.143000		0.020000		61.481961
0.144000		0.020000		62.686886
0.145000		0.020000		63.920454
0.146000		0.020000		65.183235
0.147000		0.020000		66.475806
0.148000		0.020000		67.798741
0.149000		0.020000		69.152623
0.150000		0.020000		70.538033
0.151000		0.020000		71.955556
0.152000		0.020000		73.405779
0.153000		0.020000		74.889290
0.154000		0.020000		76.406681
0.155000		0.020000		77.958543
0.156000		0.020000		79.545470
0.157000		0.020000		81.168055
0.158000		0.020000		82.826894
0.159000		0.020000		84.522583
0.160000		0.020000		86.255718
0.161000		0.020000		88.026895
0.162000		0.020000		89.836710
0.163000		0.020000		91.685760
0.164000		0.020000		93.574640
0.165000		0.020000		95.503945
0.166000		0.020000		97.474269
0.167000		0.020000		99.486206
0.168000		0.020000		101.540346
0.169000		0.020000		103.637279
0.170000		0.020000		105.777595
0.171000		0.020000		107.961879
0.172000		0.020000		110.190716
0.173000		0.020000		112.464686
0.174000		0.020000		114.784370
0.175000		0.020000		117.150344
0.176000		0.020000		119.563180
0.177000		0.020000		122.023449
0.178000		0.020000		124.531717
0.179000		0.020000		127.088549
0.180000		0.020000		129.694502
0.181000		0.020000		132.350132
0.182000		0.020000		135.055991
0.183000		0.020000		137.812625
0.184000		0.020000		140.620576
0.185000		0.020000		143.480382
0.186000		0.020000		146.392575
0.187000		0.020000		149.357684
0.188000		0.020000		152.376230
0.189000		0.020000		155.448731
0.190000		0.020000		158.575698
0.191000		0.020000		161.757637
0.192000		0.020000		164.995047
0.193000		0.020000		168.288424
0.194000		0.020000		171.638255
0.195000		0.020000		175.045021
0.196000		0.020000		178.509198
0.197000		0.020000		182.031255
0.198000		0.020000		185.611654
0.199000		0.020000		189.250850
0.200000		0.020000		192.949293
0.100000		0.030000		29.383912
0.101000		0.030000		29.833359
0.102000		0.030000		30.291464
0.103000		0.030000		30.758582
0.104000		0.030000		31.235075
0.105000		0.030000		31.721306
0.106000		0.030000		32.217645
0.107000		0.030000		32.724468
0.108000		0.030000		33.242153
0.109000		0.030000		33.771087
0.110000		0.030000		34.311658
0.111000		0.030000		34.864264
0.112000		0.030000		35.429305
0.113000		0.030000		36.007186
0.114000		0.030000		36.598322
0.115000		0.030000		37.203128
0.116000		0.030000		37.822029
0.117000		0.030000		38.455452
0.118000		0.030000		39.103834
0.119000		0.030000		39.767614
0.120000		0.030000		40.447239
0.121000		0.030000		41.143159
0.122000		0.030000		41.855833
0.123000		0.030000		42.585724
0.124000		0.030000		43.333301
0.125000		0.030000		44.099038
0.126000		0.030000		44.883416
0.127000		0.030000		45.686920
0.128000		0.030000		46.510042
0.129000		0.030000		47.353278
0.130000		0.030000		48.217131
0.131000		0.030000		49.102107
0.132000		0.030000		50.008719
0.133000		0.030000		50.937485
0.134000		0.030000		51.888928
0.135000		0.030000		52.863574
0.136000		0.030000		53.861957
0.137000		0.030000		54.884613
0.138000		0.030000		55.932084
0.139000		0.030000		57.004915
0.140000		0.030000		58.103657
0.141000		0.030000		59.228863
0.142000		0.030000		60.381091
0.143000		0.030000		61.560904
0.144000		0.030000		62.768866
0.145000		0.030000		64.005546
0.146000		0.030000		65.271517
0.147000		0.030000		66.567353
0.148000		0.030000		67.893631
0.149000		0.030000		69.250934
0.150000		0.030000		70.639843
0.151000		0.030000		72.060943
0.152000		0.030000		73.514823
0.153000		0.030000		75.002072
0.154000		0.030000		76.523279
0.155000		0.030000		78.079038
0.156000		0.030000		79.669942
0.157000		0.030000		81.296586
0.158000		0.030000		82.959564
0.159000		0.030000		84.659474
0.160000		0.030000		86.396912
0.161000		0.030000		88.172473
0.162000		0.030000		89.986755
0.163000		0.030000		91.840353
0.164000		0.030000		93.733864
0.165000		0.030000		95.667883
0.166000		0.030000		97.643003
0.167000		0.030000		99.659817
0.168000		0.030000		101.718917
0.169000		0.030000		103.820894
0.170000		0.030000		105.966334
0.171000		0.030000		108.155825
0.172000		0.030000		110.389950
0.173000		0.030000		112.669292
0.174000		0.030000		114.994428
0.175000		0.030000		117.365935
0.176000		0.030000		119.784386
0.177000		0.030000		122.250351
0.178000		0.030000		124.764396
0.179000		0.030000		127.327085
0.180000		0.030000		129.938975
0.181000		0.030000		132.600622
0.182000		0.030000		135.312576
0.183000		0.030000		138.075385
0.184000		0.030000		140.889589
0.185000		0.030000		143.755726
0.186000		0.030000		146.674328
0.187000		0.030000		149.645922
0.188000		0.030000		152.671030
0.189000		0.030000		155.750169
0.190000		0.030000		158.883849
0.191000		0.030000		162.072575
0.192000		0.030000		165.316848
0.193000		0.030000		168.617160
0.194000		0.030000		171.973998
