T [fm^-1]		c5_df14_muB_0 [fm^6]
0.580000		6.901657
0.582424		6.665375
0.584848		6.437621
0.587273		6.218069
0.589697		6.006406
0.592121		5.802333
0.594545		5.605564
0.596970		5.415821
0.599394		5.232840
0.601818		5.056367
0.604242		4.886159
0.606667		4.721980
0.609091		4.563607
0.611515		4.410822
0.613939		4.263419
0.616364		4.121198
0.618788		3.983967
0.621212		3.851544
0.623636		3.723750
0.626061		3.600416
0.628485		3.481378
0.630909		3.366480
0.633333		3.255571
0.635758		3.148505
0.638182		3.045142
0.640606		2.945349
0.643030		2.848997
0.645455		2.755960
0.647879		2.666120
0.650303		2.579362
0.652727		2.495574
0.655152		2.414651
0.657576		2.336490
0.660000		2.260993
0.662424		2.188064
0.664848		2.117612
0.667273		2.049549
0.669697		1.983790
0.672121		1.920254
0.674545		1.858863
0.676970		1.799540
0.679394		1.742213
0.681818		1.686811
0.684242		1.633267
0.686667		1.581517
0.689091		1.531496
0.691515		1.483145
0.693939		1.436406
0.696364		1.391221
0.698788		1.347538
0.701212		1.305304
0.703636		1.264469
0.706061		1.224984
0.708485		1.186803
0.710909		1.149880
0.713333		1.114173
0.715758		1.079640
0.718182		1.046239
0.720606		1.013933
0.723030		0.982683
0.725455		0.952454
0.727879		0.923211
0.730303		0.894919
0.732727		0.867548
0.735152		0.841064
0.737576		0.815439
0.740000		0.790643
0.742424		0.766647
0.744848		0.743426
0.747273		0.720952
0.749697		0.699200
0.752121		0.678147
0.754545		0.657768
0.756970		0.638041
0.759394		0.618944
0.761818		0.600456
0.764242		0.582556
0.766667		0.565225
0.769091		0.548444
0.771515		0.532195
0.773939		0.516459
0.776364		0.501221
0.778788		0.486462
0.781212		0.472168
0.783636		0.458323
0.786061		0.444912
0.788485		0.431921
0.790909		0.419335
0.793333		0.407143
0.795758		0.395330
0.798182		0.383884
0.800606		0.372793
0.803030		0.362046
0.805455		0.351632
0.807879		0.341539
0.810303		0.331757
0.812727		0.322275
0.815152		0.313085
0.817576		0.304177
0.820000		0.295541
