101
81
T [GeV]		muB [GeV]		F_over_T [fm^-1 / GeV]
0.100000		0.000000		-0.208036
0.101000		0.000000		-0.206599
0.102000		0.000000		-0.205157
0.103000		0.000000		-0.203714
0.104000		0.000000		-0.202272
0.105000		0.000000		-0.200831
0.106000		0.000000		-0.199394
0.107000		0.000000		-0.197963
0.108000		0.000000		-0.196538
0.109000		0.000000		-0.195122
0.110000		0.000000		-0.193717
0.111000		0.000000		-0.192322
0.112000		0.000000		-0.190940
0.113000		0.000000		-0.189572
0.114000		0.000000		-0.188218
0.115000		0.000000		-0.186881
0.116000		0.000000		-0.185561
0.117000		0.000000		-0.184258
0.118000		0.000000		-0.182975
0.119000		0.000000		-0.181711
0.120000		0.000000		-0.180467
0.121000		0.000000		-0.179245
0.122000		0.000000		-0.178044
0.123000		0.000000		-0.176865
0.124000		0.000000		-0.175709
0.125000		0.000000		-0.174575
0.126000		0.000000		-0.173466
0.127000		0.000000		-0.172379
0.128000		0.000000		-0.171317
0.129000		0.000000		-0.170279
0.130000		0.000000		-0.169265
0.131000		0.000000		-0.168275
0.132000		0.000000		-0.167310
0.133000		0.000000		-0.166369
0.134000		0.000000		-0.165453
0.135000		0.000000		-0.164561
0.136000		0.000000		-0.163694
0.137000		0.000000		-0.162850
0.138000		0.000000		-0.162031
0.139000		0.000000		-0.161235
0.140000		0.000000		-0.160464
0.141000		0.000000		-0.159715
0.142000		0.000000		-0.158990
0.143000		0.000000		-0.158288
0.144000		0.000000		-0.157608
0.145000		0.000000		-0.156951
0.146000		0.000000		-0.156316
0.147000		0.000000		-0.155703
0.148000		0.000000		-0.155111
0.149000		0.000000		-0.154541
0.150000		0.000000		-0.153991
0.151000		0.000000		-0.153461
0.152000		0.000000		-0.152951
0.153000		0.000000		-0.152461
0.154000		0.000000		-0.151991
0.155000		0.000000		-0.151539
0.156000		0.000000		-0.151106
0.157000		0.000000		-0.150691
0.158000		0.000000		-0.150294
0.159000		0.000000		-0.149915
0.160000		0.000000		-0.149552
0.161000		0.000000		-0.149206
0.162000		0.000000		-0.148877
0.163000		0.000000		-0.148563
0.164000		0.000000		-0.148265
0.165000		0.000000		-0.147983
0.166000		0.000000		-0.147715
0.167000		0.000000		-0.147462
0.168000		0.000000		-0.147223
0.169000		0.000000		-0.146998
0.170000		0.000000		-0.146787
0.171000		0.000000		-0.146588
0.172000		0.000000		-0.146403
0.173000		0.000000		-0.146230
