101
81
T [GeV]		muB [GeV]		betapi_over_T4 [fm^-4 / GeV^4]
0.100000		0.000000		29.252555
0.101000		0.000000		29.695016
0.102000		0.000000		30.145869
0.103000		0.000000		30.605467
0.104000		0.000000		31.074166
0.105000		0.000000		31.552326
0.106000		0.000000		32.040314
0.107000		0.000000		32.538501
0.108000		0.000000		33.047263
0.109000		0.000000		33.566981
0.110000		0.000000		34.098043
0.111000		0.000000		34.640839
0.112000		0.000000		35.195769
0.113000		0.000000		35.763233
0.114000		0.000000		36.343641
0.115000		0.000000		36.937405
0.116000		0.000000		37.544945
0.117000		0.000000		38.166684
0.118000		0.000000		38.803054
0.119000		0.000000		39.454487
0.120000		0.000000		40.121426
0.121000		0.000000		40.804315
0.122000		0.000000		41.503605
0.123000		0.000000		42.219752
0.124000		0.000000		42.953217
0.125000		0.000000		43.704467
0.126000		0.000000		44.473971
0.127000		0.000000		45.262206
0.128000		0.000000		46.069651
0.129000		0.000000		46.896792
0.130000		0.000000		47.744118
0.131000		0.000000		48.612122
0.132000		0.000000		49.501301
0.133000		0.000000		50.412158
0.134000		0.000000		51.345197
0.135000		0.000000		52.300927
0.136000		0.000000		53.279861
0.137000		0.000000		54.282514
0.138000		0.000000		55.309405
0.139000		0.000000		56.361055
0.140000		0.000000		57.437988
0.141000		0.000000		58.540732
0.142000		0.000000		59.669815
0.143000		0.000000		60.825768
0.144000		0.000000		62.009123
0.145000		0.000000		63.220415
0.146000		0.000000		64.460180
0.147000		0.000000		65.728955
0.148000		0.000000		67.027277
0.149000		0.000000		68.355685
0.150000		0.000000		69.714717
0.151000		0.000000		71.104913
0.152000		0.000000		72.526812
0.153000		0.000000		73.980952
0.154000		0.000000		75.467873
0.155000		0.000000		76.988110
0.156000		0.000000		78.542202
0.157000		0.000000		80.130683
0.158000		0.000000		81.754087
0.159000		0.000000		83.412946
0.160000		0.000000		85.107792
0.161000		0.000000		86.839151
0.162000		0.000000		88.607549
0.163000		0.000000		90.413511
0.164000		0.000000		92.257555
0.165000		0.000000		94.140199
0.166000		0.000000		96.061958
0.167000		0.000000		98.023341
0.168000		0.000000		100.024856
0.169000		0.000000		102.067005
0.170000		0.000000		104.150287
0.171000		0.000000		106.275196
0.172000		0.000000		108.442223
0.173000		0.000000		110.651851
0.174000		0.000000		112.904562
0.175000		0.000000		115.200831
0.176000		0.000000		117.541127
0.177000		0.000000		119.925915
0.178000		0.000000		122.355653
0.179000		0.000000		124.830795
0.180000		0.000000		127.351788
0.181000		0.000000		129.919072
0.182000		0.000000		132.533082
0.183000		0.000000		135.194246
0.184000		0.000000		137.902985
0.185000		0.000000		140.659716
0.186000		0.000000		143.464845
0.187000		0.000000		146.318775
0.188000		0.000000		149.221899
0.189000		0.000000		152.174603
0.190000		0.000000		155.177269
0.191000		0.000000		158.230267
0.192000		0.000000		161.333962
0.193000		0.000000		164.488713
0.194000		0.000000		167.694867
0.195000		0.000000		170.952767
0.196000		0.000000		174.262746
0.197000		0.000000		177.625131
0.198000		0.000000		181.040238
0.199000		0.000000		184.508379
0.200000		0.000000		188.029853
0.100000		0.010000		29.254155
0.101000		0.010000		29.696739
0.102000		0.010000		30.147723
0.103000		0.010000		30.607458
0.104000		0.010000		31.076301
0.105000		0.010000		31.554614
0.106000		0.010000		32.042761
0.107000		0.010000		32.541116
0.108000		0.010000		33.050054
0.109000		0.010000		33.569957
0.110000		0.010000		34.101212
0.111000		0.010000		34.644211
0.112000		0.010000		35.199351
0.113000		0.010000		35.767036
0.114000		0.010000		36.347674
0.115000		0.010000		36.941678
0.116000		0.010000		37.549468
0.117000		0.010000		38.171468
0.118000		0.010000		38.808107
0.119000		0.010000		39.459822
0.120000		0.010000		40.127053
0.121000		0.010000		40.810245
0.122000		0.010000		41.509849
0.123000		0.010000		42.226322
0.124000		0.010000		42.960125
0.125000		0.010000		43.711723
0.126000		0.010000		44.481588
0.127000		0.010000		45.270197
0.128000		0.010000		46.078028
0.129000		0.010000		46.905567
0.130000		0.010000		47.753303
0.131000		0.010000		48.621730
0.132000		0.010000		49.511347
0.133000		0.010000		50.422653
0.134000		0.010000		51.356155
0.135000		0.010000		52.312361
0.136000		0.010000		53.291785
0.137000		0.010000		54.294942
0.138000		0.010000		55.322350
0.139000		0.010000		56.374532
0.140000		0.010000		57.452011
0.141000		0.010000		58.555315
0.142000		0.010000		59.684972
0.143000		0.010000		60.841513
0.144000		0.010000		62.025471
0.145000		0.010000		63.237381
0.146000		0.010000		64.477778
0.147000		0.010000		65.747199
0.148000		0.010000		67.046183
0.149000		0.010000		68.375267
0.150000		0.010000		69.734991
