101
81
T [GeV]		muB [GeV]		c2_T4 [fm^3/GeV^3 * GeV^4]
0.100000		0.000000		-0.087353
0.101000		0.000000		-0.082441
0.102000		0.000000		-0.077854
0.103000		0.000000		-0.073568
0.104000		0.000000		-0.069560
0.105000		0.000000		-0.065810
0.106000		0.000000		-0.062299
0.107000		0.000000		-0.059009
0.108000		0.000000		-0.055925
0.109000		0.000000		-0.053033
0.110000		0.000000		-0.050318
0.111000		0.000000		-0.047769
0.112000		0.000000		-0.045373
0.113000		0.000000		-0.043121
0.114000		0.000000		-0.041002
0.115000		0.000000		-0.039007
0.116000		0.000000		-0.037129
0.117000		0.000000		-0.035359
0.118000		0.000000		-0.033690
0.119000		0.000000		-0.032116
0.120000		0.000000		-0.030630
0.121000		0.000000		-0.029226
0.122000		0.000000		-0.027900
0.123000		0.000000		-0.026647
0.124000		0.000000		-0.025461
0.125000		0.000000		-0.024339
0.126000		0.000000		-0.023277
0.127000		0.000000		-0.022270
0.128000		0.000000		-0.021317
0.129000		0.000000		-0.020412
0.130000		0.000000		-0.019555
0.131000		0.000000		-0.018740
0.132000		0.000000		-0.017967
0.133000		0.000000		-0.017233
0.134000		0.000000		-0.016535
0.135000		0.000000		-0.015871
0.136000		0.000000		-0.015240
0.137000		0.000000		-0.014639
0.138000		0.000000		-0.014067
0.139000		0.000000		-0.013522
0.140000		0.000000		-0.013003
0.141000		0.000000		-0.012508
0.142000		0.000000		-0.012037
0.143000		0.000000		-0.011586
0.144000		0.000000		-0.011157
0.145000		0.000000		-0.010747
0.146000		0.000000		-0.010355
0.147000		0.000000		-0.009981
0.148000		0.000000		-0.009623
0.149000		0.000000		-0.009281
0.150000		0.000000		-0.008954
0.151000		0.000000		-0.008641
0.152000		0.000000		-0.008342
0.153000		0.000000		-0.008055
0.154000		0.000000		-0.007780
0.155000		0.000000		-0.007517
0.156000		0.000000		-0.007265
0.157000		0.000000		-0.007023
0.158000		0.000000		-0.006791
0.159000		0.000000		-0.006569
0.160000		0.000000		-0.006356
0.161000		0.000000		-0.006151
0.162000		0.000000		-0.005954
0.163000		0.000000		-0.005765
0.164000		0.000000		-0.005584
0.165000		0.000000		-0.005410
0.166000		0.000000		-0.005242
0.167000		0.000000		-0.005081
0.168000		0.000000		-0.004926
0.169000		0.000000		-0.004777
0.170000		0.000000		-0.004634
0.171000		0.000000		-0.004496
0.172000		0.000000		-0.004363
0.173000		0.000000		-0.004235
0.174000		0.000000		-0.004112
0.175000		0.000000		-0.003993
0.176000		0.000000		-0.003879
0.177000		0.000000		-0.003769
0.178000		0.000000		-0.003663
0.179000		0.000000		-0.003560
0.180000		0.000000		-0.003461
0.181000		0.000000		-0.003366
0.182000		0.000000		-0.003274
0.183000		0.000000		-0.003185
0.184000		0.000000		-0.003100
0.185000		0.000000		-0.003017
0.186000		0.000000		-0.002937
0.187000		0.000000		-0.002860
0.188000		0.000000		-0.002785
0.189000		0.000000		-0.002713
0.190000		0.000000		-0.002644
0.191000		0.000000		-0.002576
0.192000		0.000000		-0.002511
0.193000		0.000000		-0.002448
0.194000		0.000000		-0.002387
0.195000		0.000000		-0.002328
0.196000		0.000000		-0.002271
0.197000		0.000000		-0.002216
0.198000		0.000000		-0.002162
0.199000		0.000000		-0.002111
0.200000		0.000000		-0.002060
0.100000		0.010000		-0.087415
0.101000		0.010000		-0.082500
0.102000		0.010000		-0.077909
0.103000		0.010000		-0.073619
0.104000		0.010000		-0.069608
0.105000		0.010000		-0.065855
0.106000		0.010000		-0.062340
0.107000		0.010000		-0.059048
0.108000		0.010000		-0.055962
0.109000		0.010000		-0.053067
0.110000		0.010000		-0.050350
0.111000		0.010000		-0.047798
0.112000		0.010000		-0.045400
0.113000		0.010000		-0.043146
0.114000		0.010000		-0.041025
0.115000		0.010000		-0.039029
0.116000		0.010000		-0.037149
0.117000		0.010000		-0.035378
0.118000		0.010000		-0.033707
0.119000		0.010000		-0.032132
0.120000		0.010000		-0.030644
0.121000		0.010000		-0.029240
0.122000		0.010000		-0.027913
0.123000		0.010000		-0.026658
0.124000		0.010000		-0.025472
0.125000		0.010000		-0.024349
0.126000		0.010000		-0.023286
0.127000		0.010000		-0.022279
0.128000		0.010000		-0.021324
0.129000		0.010000		-0.020419
0.130000		0.010000		-0.019561
0.131000		0.010000		-0.018746
