101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.100000		0.000000		-2.918507
0.101000		0.000000		-2.655525
0.102000		0.000000		-2.420119
0.103000		0.000000		-2.209021
0.104000		0.000000		-2.019391
0.105000		0.000000		-1.848758
0.106000		0.000000		-1.694967
0.107000		0.000000		-1.556132
0.108000		0.000000		-1.430606
0.109000		0.000000		-1.316939
0.110000		0.000000		-1.213861
0.111000		0.000000		-1.120250
0.112000		0.000000		-1.035117
0.113000		0.000000		-0.957590
0.114000		0.000000		-0.886895
0.115000		0.000000		-0.822347
0.116000		0.000000		-0.763336
0.117000		0.000000		-0.709321
0.118000		0.000000		-0.659820
0.119000		0.000000		-0.614402
0.120000		0.000000		-0.572682
0.121000		0.000000		-0.534318
0.122000		0.000000		-0.498999
0.123000		0.000000		-0.466450
0.124000		0.000000		-0.436422
0.125000		0.000000		-0.408692
0.126000		0.000000		-0.383058
0.127000		0.000000		-0.359339
0.128000		0.000000		-0.337370
0.129000		0.000000		-0.317004
0.130000		0.000000		-0.298106
0.131000		0.000000		-0.280555
0.132000		0.000000		-0.264240
0.133000		0.000000		-0.249062
0.134000		0.000000		-0.234929
0.135000		0.000000		-0.221759
0.136000		0.000000		-0.209476
0.137000		0.000000		-0.198010
0.138000		0.000000		-0.187301
0.139000		0.000000		-0.177289
0.140000		0.000000		-0.167923
0.141000		0.000000		-0.159155
0.142000		0.000000		-0.150940
0.143000		0.000000		-0.143238
0.144000		0.000000		-0.136013
0.145000		0.000000		-0.129229
0.146000		0.000000		-0.122857
0.147000		0.000000		-0.116866
0.148000		0.000000		-0.111231
0.149000		0.000000		-0.105926
0.150000		0.000000		-0.100931
0.151000		0.000000		-0.096222
0.152000		0.000000		-0.091783
0.153000		0.000000		-0.087594
0.154000		0.000000		-0.083639
0.155000		0.000000		-0.079903
0.156000		0.000000		-0.076372
0.157000		0.000000		-0.073033
0.158000		0.000000		-0.069874
0.159000		0.000000		-0.066883
0.160000		0.000000		-0.064050
0.161000		0.000000		-0.061366
0.162000		0.000000		-0.058820
0.163000		0.000000		-0.056405
0.164000		0.000000		-0.054113
0.165000		0.000000		-0.051937
0.166000		0.000000		-0.049869
0.167000		0.000000		-0.047904
0.168000		0.000000		-0.046036
0.169000		0.000000		-0.044258
0.170000		0.000000		-0.042566
0.171000		0.000000		-0.040955
0.172000		0.000000		-0.039420
0.173000		0.000000		-0.037958
0.174000		0.000000		-0.036563
0.175000		0.000000		-0.035233
0.176000		0.000000		-0.033964
0.177000		0.000000		-0.032752
0.178000		0.000000		-0.031595
0.179000		0.000000		-0.030490
0.180000		0.000000		-0.029433
0.181000		0.000000		-0.028423
0.182000		0.000000		-0.027457
0.183000		0.000000		-0.026533
0.184000		0.000000		-0.025648
0.185000		0.000000		-0.024801
0.186000		0.000000		-0.023989
0.187000		0.000000		-0.023211
0.188000		0.000000		-0.022466
0.189000		0.000000		-0.021751
0.190000		0.000000		-0.021066
0.191000		0.000000		-0.020408
0.192000		0.000000		-0.019776
0.193000		0.000000		-0.019170
0.194000		0.000000		-0.018587
0.195000		0.000000		-0.018028
0.196000		0.000000		-0.017490
0.197000		0.000000		-0.016973
0.198000		0.000000		-0.016476
0.199000		0.000000		-0.015998
0.200000		0.000000		-0.015537
0.100000		0.010000		-2.905399
0.101000		0.010000		-2.643913
0.102000		0.010000		-2.409816
0.103000		0.010000		-2.199866
0.104000		0.010000		-2.011244
0.105000		0.010000		-1.841499
0.106000		0.010000		-1.688490
0.107000		0.010000		-1.550346
0.108000		0.010000		-1.425430
0.109000		0.010000		-1.312304
0.110000		0.010000		-1.209704
0.111000		0.010000		-1.116519
0.112000		0.010000		-1.031764
0.113000		0.010000		-0.954574
0.114000		0.010000		-0.884179
0.115000		0.010000		-0.819898
0.116000		0.010000		-0.761126
0.117000		0.010000		-0.707326
0.118000		0.010000		-0.658016
0.119000		0.010000		-0.612770
0.120000		0.010000		-0.571204
0.121000		0.010000		-0.532978
0.122000		0.010000		-0.497784
0.123000		0.010000		-0.465347
0.124000		0.010000		-0.435420
0.125000		0.010000		-0.407780
0.126000		0.010000		-0.382228
0.127000		0.010000		-0.358583
0.128000		0.010000		-0.336681
0.129000		0.010000		-0.316376
0.130000		0.010000		-0.297533
0.131000		0.010000		-0.280031
0.132000		0.010000		-0.263762
0.133000		0.010000		-0.248624
0.134000		0.010000		-0.234529
0.135000		0.010000		-0.221392
0.136000		0.010000		-0.209139
0.137000		0.010000		-0.197702
0.138000		0.010000		-0.187018
0.139000		0.010000		-0.177030
0.140000		0.010000		-0.167685
0.141000		0.010000		-0.158936
0.142000		0.010000		-0.150739
0.143000		0.010000		-0.143053
0.144000		0.010000		-0.135842
0.145000		0.010000		-0.129072
0.146000		0.010000		-0.122712
0.147000		0.010000		-0.116732
0.148000		0.010000		-0.111107
0.149000		0.010000		-0.105813
0.150000		0.010000		-0.100826
0.151000		0.010000		-0.096126
0.152000		0.010000		-0.091693
0.153000		0.010000		-0.087511
0.154000		0.010000		-0.083563
0.155000		0.010000		-0.079832
0.156000		0.010000		-0.076307
0.157000		0.010000		-0.072973
0.158000		0.010000		-0.069818
0.159000		0.010000		-0.066831
0.160000		0.010000		-0.064002
0.161000		0.010000		-0.061321
0.162000		0.010000		-0.058778
0.163000		0.010000		-0.056367
0.164000		0.010000		-0.054077
0.165000		0.010000		-0.051904
0.166000		0.010000		-0.049839
0.167000		0.010000		-0.047876
0.168000		0.010000		-0.046009
0.169000		0.010000		-0.044233
0.170000		0.010000		-0.042543
0.171000		0.010000		-0.040933
0.172000		0.010000		-0.039400
0.173000		0.010000		-0.037939
0.174000		0.010000		-0.036546
0.175000		0.010000		-0.035217
0.176000		0.010000		-0.033949
0.177000		0.010000		-0.032738
0.178000		0.010000		-0.031582
0.179000		0.010000		-0.030478
0.180000		0.010000		-0.029422
0.181000		0.010000		-0.028413
0.182000		0.010000		-0.027447
0.183000		0.010000		-0.026524
0.184000		0.010000		-0.025639
0.185000		0.010000		-0.024793
0.186000		0.010000		-0.023982
0.187000		0.010000		-0.023204
0.188000		0.010000		-0.022459
0.189000		0.010000		-0.021745
0.190000		0.010000		-0.021060
0.191000		0.010000		-0.020402
0.192000		0.010000		-0.019771
0.193000		0.010000		-0.019165
0.194000		0.010000		-0.018583
0.195000		0.010000		-0.018024
0.196000		0.010000		-0.017486
0.197000		0.010000		-0.016970
0.198000		0.010000		-0.016473
0.199000		0.010000		-0.015995
0.200000		0.010000		-0.015534
0.100000		0.020000		-2.866684
0.101000		0.020000		-2.609601
0.102000		0.020000		-2.379361
0.103000		0.020000		-2.172795
0.104000		0.020000		-1.987148
0.105000		0.020000		-1.820020
0.106000		0.020000		-1.669319
0.107000		0.020000		-1.533214
0.108000		0.020000		-1.410100
0.109000		0.020000		-1.298571
0.110000		0.020000		-1.197388
0.111000		0.020000		-1.105459
0.112000		0.020000		-1.021823
0.113000		0.020000		-0.945629
0.114000		0.020000		-0.876121
0.115000		0.020000		-0.812633
0.116000		0.020000		-0.754569
0.117000		0.020000		-0.701402
0.118000		0.020000		-0.652659
0.119000		0.020000		-0.607922
0.120000		0.020000		-0.566813
0.121000		0.020000		-0.528996
0.122000		0.020000		-0.494171
0.123000		0.020000		-0.462066
0.124000		0.020000		-0.432438
0.125000		0.020000		-0.405068
0.126000		0.020000		-0.379760
0.127000		0.020000		-0.356334
0.128000		0.020000		-0.334631
0.129000		0.020000		-0.314506
0.130000		0.020000		-0.295826
0.131000		0.020000		-0.278472
0.132000		0.020000		-0.262336
0.133000		0.020000		-0.247321
0.134000		0.020000		-0.233335
0.135000		0.020000		-0.220299
0.136000		0.020000		-0.208138
0.137000		0.020000		-0.196784
0.138000		0.020000		-0.186176
0.139000		0.020000		-0.176256
0.140000		0.020000		-0.166975
0.141000		0.020000		-0.158283
0.142000		0.020000		-0.150138
0.143000		0.020000		-0.142501
0.144000		0.020000		-0.135334
0.145000		0.020000		-0.128604
0.146000		0.020000		-0.122280
0.147000		0.020000		-0.116334
0.148000		0.020000		-0.110740
0.149000		0.020000		-0.105474
0.150000		0.020000		-0.100513
0.151000		0.020000		-0.095836
0.152000		0.020000		-0.091426
0.153000		0.020000		-0.087264
0.154000		0.020000		-0.083334
0.155000		0.020000		-0.079621
0.156000		0.020000		-0.076111
0.157000		0.020000		-0.072791
0.158000		0.020000		-0.069650
0.159000		0.020000		-0.066675
0.160000		0.020000		-0.063857
0.161000		0.020000		-0.061187
0.162000		0.020000		-0.058654
0.163000		0.020000		-0.056251
0.164000		0.020000		-0.053970
0.165000		0.020000		-0.051804
0.166000		0.020000		-0.049746
0.167000		0.020000		-0.047789
0.168000		0.020000		-0.045929
0.169000		0.020000		-0.044159
0.170000		0.020000		-0.042474
0.171000		0.020000		-0.040869
0.172000		0.020000		-0.039340
0.173000		0.020000		-0.037883
0.174000		0.020000		-0.036494
0.175000		0.020000		-0.035168
