T [fm^-1]		betapi_dfce_muB_0 [fm^-4]
0.580000		0.031832
0.582424		0.032619
0.584848		0.033425
0.587273		0.034249
0.589697		0.035092
0.592121		0.035954
0.594545		0.036836
0.596970		0.037738
0.599394		0.038661
0.601818		0.039604
0.604242		0.040569
0.606667		0.041556
0.609091		0.042565
0.611515		0.043597
0.613939		0.044653
0.616364		0.045732
0.618788		0.046836
0.621212		0.047965
0.623636		0.049119
0.626061		0.050300
0.628485		0.051507
0.630909		0.052741
0.633333		0.054003
0.635758		0.055293
0.638182		0.056613
0.640606		0.057962
0.643030		0.059341
0.645455		0.060752
0.647879		0.062194
0.650303		0.063668
0.652727		0.065176
0.655152		0.066717
0.657576		0.068292
0.660000		0.069903
0.662424		0.071550
0.664848		0.073233
0.667273		0.074954
0.669697		0.076713
0.672121		0.078511
0.674545		0.080349
0.676970		0.082228
0.679394		0.084149
0.681818		0.086112
0.684242		0.088118
0.686667		0.090169
0.689091		0.092265
0.691515		0.094407
0.693939		0.096597
0.696364		0.098834
0.698788		0.101121
0.701212		0.103458
0.703636		0.105846
0.706061		0.108286
0.708485		0.110780
0.710909		0.113328
0.713333		0.115932
0.715758		0.118592
0.718182		0.121310
0.720606		0.124088
0.723030		0.126925
0.725455		0.129824
0.727879		0.132786
0.730303		0.135812
0.732727		0.138903
0.735152		0.142061
0.737576		0.145286
0.740000		0.148581
0.742424		0.151947
0.744848		0.155385
0.747273		0.158896
0.749697		0.162482
0.752121		0.166145
0.754545		0.169885
0.756970		0.173705
0.759394		0.177607
0.761818		0.181591
0.764242		0.185659
0.766667		0.189813
0.769091		0.194055
0.771515		0.198385
0.773939		0.202807
0.776364		0.207322
0.778788		0.211931
0.781212		0.216637
0.783636		0.221441
0.786061		0.226344
0.788485		0.231350
0.790909		0.236460
0.793333		0.241675
0.795758		0.246999
0.798182		0.252432
0.800606		0.257977
0.803030		0.263636
0.805455		0.269411
0.807879		0.275305
0.810303		0.281318
0.812727		0.287455
0.815152		0.293716
0.817576		0.300105
0.820000		0.306623
