T [fm^-1]		betabulk_dfce_muB_0 [fm^-4]
0.580000		-0.035799
0.582424		-0.037641
0.584848		-0.039564
0.587273		-0.041571
0.589697		-0.043665
0.592121		-0.045850
0.594545		-0.048128
0.596970		-0.050504
0.599394		-0.052982
0.601818		-0.055563
0.604242		-0.058254
0.606667		-0.061057
0.609091		-0.063976
0.611515		-0.067016
0.613939		-0.070182
0.616364		-0.073477
0.618788		-0.076906
0.621212		-0.080474
0.623636		-0.084186
0.626061		-0.088047
0.628485		-0.092061
0.630909		-0.096236
0.633333		-0.100574
0.635758		-0.105084
0.638182		-0.109770
0.640606		-0.114638
0.643030		-0.119694
0.645455		-0.124946
0.647879		-0.130398
0.650303		-0.136059
0.652727		-0.141935
0.655152		-0.148032
0.657576		-0.154359
0.660000		-0.160923
0.662424		-0.167731
0.664848		-0.174792
0.667273		-0.182113
0.669697		-0.189703
0.672121		-0.197571
0.674545		-0.205725
0.676970		-0.214174
0.679394		-0.222928
0.681818		-0.231996
0.684242		-0.241388
0.686667		-0.251113
0.689091		-0.261184
0.691515		-0.271608
0.693939		-0.282399
0.696364		-0.293567
0.698788		-0.305122
0.701212		-0.317078
0.703636		-0.329445
0.706061		-0.342237
0.708485		-0.355465
0.710909		-0.369144
0.713333		-0.383285
0.715758		-0.397902
0.718182		-0.413010
0.720606		-0.428623
0.723030		-0.444755
0.725455		-0.461421
0.727879		-0.478636
0.730303		-0.496417
0.732727		-0.514778
0.735152		-0.533737
0.737576		-0.553310
0.740000		-0.573515
0.742424		-0.594368
0.744848		-0.615889
0.747273		-0.638095
0.749697		-0.661005
0.752121		-0.684638
0.754545		-0.709014
0.756970		-0.734153
0.759394		-0.760076
0.761818		-0.786804
0.764242		-0.814358
0.766667		-0.842759
0.769091		-0.872031
0.771515		-0.902197
0.773939		-0.933279
0.776364		-0.965302
0.778788		-0.998290
0.781212		-1.032268
0.783636		-1.067261
0.786061		-1.103296
0.788485		-1.140399
0.790909		-1.178597
0.793333		-1.217917
0.795758		-1.258388
0.798182		-1.300039
0.800606		-1.342899
0.803030		-1.386998
0.805455		-1.432366
0.807879		-1.479035
0.810303		-1.527036
0.812727		-1.576403
0.815152		-1.627167
0.817576		-1.679363
0.820000		-1.733025
