100
100
T [fm^-1]		muB [fm^-1]		c0_df14 [fm^4]
0.580000		0.000000		-12.465253
0.582424		0.000000		-12.004710
0.584848		0.000000		-11.563033
0.587273		0.000000		-11.139371
0.589697		0.000000		-10.732912
0.592121		0.000000		-10.342886
0.594545		0.000000		-9.968561
0.596970		0.000000		-9.609239
0.599394		0.000000		-9.264258
0.601818		0.000000		-8.932987
0.604242		0.000000		-8.614825
0.606667		0.000000		-8.309200
0.609091		0.000000		-8.015569
0.611515		0.000000		-7.733414
0.613939		0.000000		-7.462239
0.616364		0.000000		-7.201575
0.618788		0.000000		-6.950973
0.621212		0.000000		-6.710006
0.623636		0.000000		-6.478266
0.626061		0.000000		-6.255364
0.628485		0.000000		-6.040930
0.630909		0.000000		-5.834609
0.633333		0.000000		-5.636066
0.635758		0.000000		-5.444976
0.638182		0.000000		-5.261033
0.640606		0.000000		-5.083943
0.643030		0.000000		-4.913426
0.645455		0.000000		-4.749213
0.647879		0.000000		-4.591049
0.650303		0.000000		-4.438689
0.652727		0.000000		-4.291900
0.655152		0.000000		-4.150458
0.657576		0.000000		-4.014149
0.660000		0.000000		-3.882770
0.662424		0.000000		-3.756124
0.664848		0.000000		-3.634025
0.667273		0.000000		-3.516293
0.669697		0.000000		-3.402759
0.672121		0.000000		-3.293257
0.674545		0.000000		-3.187632
0.676970		0.000000		-3.085732
0.679394		0.000000		-2.987415
0.681818		0.000000		-2.892541
0.684242		0.000000		-2.800980
0.686667		0.000000		-2.712605
0.689091		0.000000		-2.627294
0.691515		0.000000		-2.544932
0.693939		0.000000		-2.465407
0.696364		0.000000		-2.388613
0.698788		0.000000		-2.314446
0.701212		0.000000		-2.242809
0.703636		0.000000		-2.173607
0.706061		0.000000		-2.106751
0.708485		0.000000		-2.042153
0.710909		0.000000		-1.979731
0.713333		0.000000		-1.919403
0.715758		0.000000		-1.861094
0.718182		0.000000		-1.804731
0.720606		0.000000		-1.750241
0.723030		0.000000		-1.697558
0.725455		0.000000		-1.646615
0.727879		0.000000		-1.597351
0.730303		0.000000		-1.549705
0.732727		0.000000		-1.503620
0.735152		0.000000		-1.459039
0.737576		0.000000		-1.415909
0.740000		0.000000		-1.374179
0.742424		0.000000		-1.333799
0.744848		0.000000		-1.294722
0.747273		0.000000		-1.256902
0.749697		0.000000		-1.220295
0.752121		0.000000		-1.184858
0.754545		0.000000		-1.150552
0.756970		0.000000		-1.117336
0.759394		0.000000		-1.085174
0.761818		0.000000		-1.054028
0.764242		0.000000		-1.023864
0.766667		0.000000		-0.994648
0.769091		0.000000		-0.966348
0.771515		0.000000		-0.938933
0.773939		0.000000		-0.912372
0.776364		0.000000		-0.886637
0.778788		0.000000		-0.861700
0.781212		0.000000		-0.837534
0.783636		0.000000		-0.814112
0.786061		0.000000		-0.791411
0.788485		0.000000		-0.769405
0.790909		0.000000		-0.748073
0.793333		0.000000		-0.727391
0.795758		0.000000		-0.707338
0.798182		0.000000		-0.687893
0.800606		0.000000		-0.669036
0.803030		0.000000		-0.650748
0.805455		0.000000		-0.633011
0.807879		0.000000		-0.615805
0.810303		0.000000		-0.599115
0.812727		0.000000		-0.582922
0.815152		0.000000		-0.567212
0.817576		0.000000		-0.551968
0.820000		0.000000		-0.537175
0.580000		0.027475		-12.466288
0.582424		0.027475		-12.005681
0.584848		0.027475		-11.563945
0.587273		0.027475		-11.140226
0.589697		0.027475		-10.733713
0.592121		0.027475		-10.343636
0.594545		0.027475		-9.969263
0.596970		0.027475		-9.609896
0.599394		0.027475		-9.264872
0.601818		0.027475		-8.933560
0.604242		0.027475		-8.615359
0.606667		0.027475		-8.309698
0.609091		0.027475		-8.016033
0.611515		0.027475		-7.733845
0.613939		0.027475		-7.462639
0.616364		0.027475		-7.201946
0.618788		0.027475		-6.951317
0.621212		0.027475		-6.710324
0.623636		0.027475		-6.478560
0.626061		0.027475		-6.255635
0.628485		0.027475		-6.041179
0.630909		0.027475		-5.834839
0.633333		0.027475		-5.636276
0.635758		0.027475		-5.445168
0.638182		0.027475		-5.261208
0.640606		0.027475		-5.084102
0.643030		0.027475		-4.913570
0.645455		0.027475		-4.749343
0.647879		0.027475		-4.591166
0.650303		0.027475		-4.438794
0.652727		0.027475		-4.291993
0.655152		0.027475		-4.150540
0.657576		0.027475		-4.014221
0.660000		0.027475		-3.882831
0.662424		0.027475		-3.756176
0.664848		0.027475		-3.634069
0.667273		0.027475		-3.516330
0.669697		0.027475		-3.402788
0.672121		0.027475		-3.293279
0.674545		0.027475		-3.187647
0.676970		0.027475		-3.085742
0.679394		0.027475		-2.987419
0.681818		0.027475		-2.892540
0.684242		0.027475		-2.800974
0.686667		0.027475		-2.712595
0.689091		0.027475		-2.627280
0.691515		0.027475		-2.544914
0.693939		0.027475		-2.465385
0.696364		0.027475		-2.388587
0.698788		0.027475		-2.314418
0.701212		0.027475		-2.242778
0.703636		0.027475		-2.173574
0.706061		0.027475		-2.106715
0.708485		0.027475		-2.042115
0.710909		0.027475		-1.979691
0.713333		0.027475		-1.919362
0.715758		0.027475		-1.861051
0.718182		0.027475		-1.804686
0.720606		0.027475		-1.750195
0.723030		0.027475		-1.697511
0.725455		0.027475		-1.646567
0.727879		0.027475		-1.597303
0.730303		0.027475		-1.549656
0.732727		0.027475		-1.503570
0.735152		0.027475		-1.458988
0.737576		0.027475		-1.415858
0.740000		0.027475		-1.374128
0.742424		0.027475		-1.333748
0.744848		0.027475		-1.294670
0.747273		0.027475		-1.256850
0.749697		0.027475		-1.220243
0.752121		0.027475		-1.184806
0.754545		0.027475		-1.150500
0.756970		0.027475		-1.117285
0.759394		0.027475		-1.085122
0.761818		0.027475		-1.053977
0.764242		0.027475		-1.023813
0.766667		0.027475		-0.994598
0.769091		0.027475		-0.966298
0.771515		0.027475		-0.938883
0.773939		0.027475		-0.912323
0.776364		0.027475		-0.886588
0.778788		0.027475		-0.861651
0.781212		0.027475		-0.837486
0.783636		0.027475		-0.814065
0.786061		0.027475		-0.791364
0.788485		0.027475		-0.769359
0.790909		0.027475		-0.748027
0.793333		0.027475		-0.727346
0.795758		0.027475		-0.707293
0.798182		0.027475		-0.687849
0.800606		0.027475		-0.668993
0.803030		0.027475		-0.650705
0.805455		0.027475		-0.632968
0.807879		0.027475		-0.615763
0.810303		0.027475		-0.599073
0.812727		0.027475		-0.582882
0.815152		0.027475		-0.567172
0.817576		0.027475		-0.551929
0.820000		0.027475		-0.537137
0.580000		0.054949		-12.469375
0.582424		0.054949		-12.008580
0.584848		0.054949		-11.566664
0.587273		0.054949		-11.142776
0.589697		0.054949		-10.736103
0.592121		0.054949		-10.345874
0.594545		0.054949		-9.971357
0.596970		0.054949		-9.611854
0.599394		0.054949		-9.266702
0.601818		0.054949		-8.935268
0.604242		0.054949		-8.616953
0.606667		0.054949		-8.311183
0.609091		0.054949		-8.017416
0.611515		0.054949		-7.735130
0.613939		0.054949		-7.463834
0.616364		0.054949		-7.203054
0.618788		0.054949		-6.952343
0.621212		0.054949		-6.711273
0.623636		0.054949		-6.479436
0.626061		0.054949		-6.256443
0.628485		0.054949		-6.041923
0.630909		0.054949		-5.835522
0.633333		0.054949		-5.636901
0.635758		0.054949		-5.445740
0.638182		0.054949		-5.261729
0.640606		0.054949		-5.084575
0.643030		0.054949		-4.913998
0.645455		0.054949		-4.749729
0.647879		0.054949		-4.591512
0.650303		0.054949		-4.439103
0.652727		0.054949		-4.292267
0.655152		0.054949		-4.150781
0.657576		0.054949		-4.014431
0.660000		0.054949		-3.883013
0.662424		0.054949		-3.756331
0.664848		0.054949		-3.634198
0.667273		0.054949		-3.516436
0.669697		0.054949		-3.402872
0.672121		0.054949		-3.293343
0.674545		0.054949		-3.187692
0.676970		0.054949		-3.085768
0.679394		0.054949		-2.987428
0.681818		0.054949		-2.892534
0.684242		0.054949		-2.800954
0.686667		0.054949		-2.712561
0.689091		0.054949		-2.627234
0.691515		0.054949		-2.544857
0.693939		0.054949		-2.465318
0.696364		0.054949		-2.388510
0.698788		0.054949		-2.314332
0.701212		0.054949		-2.242684
0.703636		0.054949		-2.173472
0.706061		0.054949		-2.106607
0.708485		0.054949		-2.042001
0.710909		0.054949		-1.979570
0.713333		0.054949		-1.919236
0.715758		0.054949		-1.860921
0.718182		0.054949		-1.804552
0.720606		0.054949		-1.750057
0.723030		0.054949		-1.697370
0.725455		0.054949		-1.646423
0.727879		0.054949		-1.597156
0.730303		0.054949		-1.549507
0.732727		0.054949		-1.503419
0.735152		0.054949		-1.458836
0.737576		0.054949		-1.415705
0.740000		0.054949		-1.373973
0.742424		0.054949		-1.333593
0.744848		0.054949		-1.294515
0.747273		0.054949		-1.256694
0.749697		0.054949		-1.220087
0.752121		0.054949		-1.184651
0.754545		0.054949		-1.150345
0.756970		0.054949		-1.117130
0.759394		0.054949		-1.084968
0.761818		0.054949		-1.053823
0.764242		0.054949		-1.023660
0.766667		0.054949		-0.994446
0.769091		0.054949		-0.966147
0.771515		0.054949		-0.938733
0.773939		0.054949		-0.912174
0.776364		0.054949		-0.886441
0.778788		0.054949		-0.861506
0.781212		0.054949		-0.837341
0.783636		0.054949		-0.813922
0.786061		0.054949		-0.791222
0.788485		0.054949		-0.769219
0.790909		0.054949		-0.747889
0.793333		0.054949		-0.727209
0.795758		0.054949		-0.707158
0.798182		0.054949		-0.687716
0.800606		0.054949		-0.668862
0.803030		0.054949		-0.650576
0.805455		0.054949		-0.632841
0.807879		0.054949		-0.615638
0.810303		0.054949		-0.598950
0.812727		0.054949		-0.582760
0.815152		0.054949		-0.567052
0.817576		0.054949		-0.551810
0.820000		0.054949		-0.537020
0.580000		0.082424		-12.474466
0.582424		0.082424		-12.013358
0.584848		0.082424		-11.571148
0.587273		0.082424		-11.146979
0.589697		0.082424		-10.740041
0.592121		0.082424		-10.349562
0.594545		0.082424		-9.974808
0.596970		0.082424		-9.615081
0.599394		0.082424		-9.269716
0.601818		0.082424		-8.938082
0.604242		0.082424		-8.619577
0.606667		0.082424		-8.313628
0.609091		0.082424		-8.019691
0.611515		0.082424		-7.737246
0.613939		0.082424		-7.465798
0.616364		0.082424		-7.204876
0.618788		0.082424		-6.954030
0.621212		0.082424		-6.712833
0.623636		0.082424		-6.480877
0.626061		0.082424		-6.257770
0.628485		0.082424		-6.043144
0.630909		0.082424		-5.836642
0.633333		0.082424		-5.637927
0.635758		0.082424		-5.446676
0.638182		0.082424		-5.262582
0.640606		0.082424		-5.085349
0.643030		0.082424		-4.914698
0.645455		0.082424		-4.750359
0.647879		0.082424		-4.592077
0.650303		0.082424		-4.439606
0.652727		0.082424		-4.292713
0.655152		0.082424		-4.151173
0.657576		0.082424		-4.014772
0.660000		0.082424		-3.883307
0.662424		0.082424		-3.756580
0.664848		0.082424		-3.634406
0.667273		0.082424		-3.516604
0.669697		0.082424		-3.403004
0.672121		0.082424		-3.293441
0.674545		0.082424		-3.187758
0.676970		0.082424		-3.085806
0.679394		0.082424		-2.987438
0.681818		0.082424		-2.892519
0.684242		0.082424		-2.800915
0.686667		0.082424		-2.712500
0.689091		0.082424		-2.627153
0.691515		0.082424		-2.544757
0.693939		0.082424		-2.465201
0.696364		0.082424		-2.388377
0.698788		0.082424		-2.314184
0.701212		0.082424		-2.242523
0.703636		0.082424		-2.173299
0.706061		0.082424		-2.106422
0.708485		0.082424		-2.041806
0.710909		0.082424		-1.979366
0.713333		0.082424		-1.919024
0.715758		0.082424		-1.860701
0.718182		0.082424		-1.804325
0.720606		0.082424		-1.749825
0.723030		0.082424		-1.697132
0.725455		0.082424		-1.646181
0.727879		0.082424		-1.596909
0.730303		0.082424		-1.549257
0.732727		0.082424		-1.503166
0.735152		0.082424		-1.458581
0.737576		0.082424		-1.415447
0.740000		0.082424		-1.373714
0.742424		0.082424		-1.333332
0.744848		0.082424		-1.294254
0.747273		0.082424		-1.256433
0.749697		0.082424		-1.219826
0.752121		0.082424		-1.184390
0.754545		0.082424		-1.150084
0.756970		0.082424		-1.116870
0.759394		0.082424		-1.084709
0.761818		0.082424		-1.053565
0.764242		0.082424		-1.023404
0.766667		0.082424		-0.994191
0.769091		0.082424		-0.965894
0.771515		0.082424		-0.938483
0.773939		0.082424		-0.911926
0.776364		0.082424		-0.886195
0.778788		0.082424		-0.861262
0.781212		0.082424		-0.837100
0.783636		0.082424		-0.813683
0.786061		0.082424		-0.790986
0.788485		0.082424		-0.768986
0.790909		0.082424		-0.747658
0.793333		0.082424		-0.726981
0.795758		0.082424		-0.706934
0.798182		0.082424		-0.687494
0.800606		0.082424		-0.668643
0.803030		0.082424		-0.650360
0.805455		0.082424		-0.632628
0.807879		0.082424		-0.615428
0.810303		0.082424		-0.598743
0.812727		0.082424		-0.582556
0.815152		0.082424		-0.566852
0.817576		0.082424		-0.551613
0.820000		0.082424		-0.536826
0.580000		0.109899		-12.481478
0.582424		0.109899		-12.019940
0.584848		0.109899		-11.577321
0.587273		0.109899		-11.152767
0.589697		0.109899		-10.745463
0.592121		0.109899		-10.354638
0.594545		0.109899		-9.979557
0.596970		0.109899		-9.619520
0.599394		0.109899		-9.273862
0.601818		0.109899		-8.941951
0.604242		0.109899		-8.623184
0.606667		0.109899		-8.316988
0.609091		0.109899		-8.022817
0.611515		0.109899		-7.740151
0.613939		0.109899		-7.468494
0.616364		0.109899		-7.207375
0.618788		0.109899		-6.956344
0.621212		0.109899		-6.714971
0.623636		0.109899		-6.482849
0.626061		0.109899		-6.259587
0.628485		0.109899		-6.044813
0.630909		0.109899		-5.838173
0.633333		0.109899		-5.639328
0.635758		0.109899		-5.447954
0.638182		0.109899		-5.263744
0.640606		0.109899		-5.086403
0.643030		0.109899		-4.915649
0.645455		0.109899		-4.751214
0.647879		0.109899		-4.592842
0.650303		0.109899		-4.440286
0.652727		0.109899		-4.293313
0.655152		0.109899		-4.151699
0.657576		0.109899		-4.015228
0.660000		0.109899		-3.883697
0.662424		0.109899		-3.756910
0.664848		0.109899		-3.634678
0.667273		0.109899		-3.516823
0.669697		0.109899		-3.403173
0.672121		0.109899		-3.293563
0.674545		0.109899		-3.187837
0.676970		0.109899		-3.085844
0.679394		0.109899		-2.987439
0.681818		0.109899		-2.892485
0.684242		0.109899		-2.800849
0.686667		0.109899		-2.712404
0.689091		0.109899		-2.627029
0.691515		0.109899		-2.544607
0.693939		0.109899		-2.465027
0.696364		0.109899		-2.388182
0.698788		0.109899		-2.313968
0.701212		0.109899		-2.242289
0.703636		0.109899		-2.173048
0.706061		0.109899		-2.106156
0.708485		0.109899		-2.041526
0.710909		0.109899		-1.979074
0.713333		0.109899		-1.918720
0.715758		0.109899		-1.860387
0.718182		0.109899		-1.804002
0.720606		0.109899		-1.749493
0.723030		0.109899		-1.696793
0.725455		0.109899		-1.645836
0.727879		0.109899		-1.596559
0.730303		0.109899		-1.548903
0.732727		0.109899		-1.502808
0.735152		0.109899		-1.458219
0.737576		0.109899		-1.415083
0.740000		0.109899		-1.373348
0.742424		0.109899		-1.332965
0.744848		0.109899		-1.293885
0.747273		0.109899		-1.256064
0.749697		0.109899		-1.219457
0.752121		0.109899		-1.184021
0.754545		0.109899		-1.149716
0.756970		0.109899		-1.116503
0.759394		0.109899		-1.084344
0.761818		0.109899		-1.053202
0.764242		0.109899		-1.023043
0.766667		0.109899		-0.993833
0.769091		0.109899		-0.965539
0.771515		0.109899		-0.938130
0.773939		0.109899		-0.911576
0.776364		0.109899		-0.885848
0.778788		0.109899		-0.860918
0.781212		0.109899		-0.836760
0.783636		0.109899		-0.813347
0.786061		0.109899		-0.790654
0.788485		0.109899		-0.768658
0.790909		0.109899		-0.747334
0.793333		0.109899		-0.726661
0.795758		0.109899		-0.706618
0.798182		0.109899		-0.687182
0.800606		0.109899		-0.668335
0.803030		0.109899		-0.650057
0.805455		0.109899		-0.632329
0.807879		0.109899		-0.615134
0.810303		0.109899		-0.598453
0.812727		0.109899		-0.582271
0.815152		0.109899		-0.566571
0.817576		0.109899		-0.551337
0.820000		0.109899		-0.536554
0.580000		0.137374		-12.490300
0.582424		0.137374		-12.028218
0.584848		0.137374		-11.585084
0.587273		0.137374		-11.160042
0.589697		0.137374		-10.752278
0.592121		0.137374		-10.361016
0.594545		0.137374		-9.985521
0.596970		0.137374		-9.625093
0.599394		0.137374		-9.279066
0.601818		0.137374		-8.946805
0.604242		0.137374		-8.627708
0.606667		0.137374		-8.321199
0.609091		0.137374		-8.026733
0.611515		0.137374		-7.743788
0.613939		0.137374		-7.471869
0.616364		0.137374		-7.210501
0.618788		0.137374		-6.959235
0.621212		0.137374		-6.717642
0.623636		0.137374		-6.485311
0.626061		0.137374		-6.261852
0.628485		0.137374		-6.046893
0.630909		0.137374		-5.840078
0.633333		0.137374		-5.641068
0.635758		0.137374		-5.449540
0.638182		0.137374		-5.265184
0.640606		0.137374		-5.087706
0.643030		0.137374		-4.916823
0.645455		0.137374		-4.752267
0.647879		0.137374		-4.593781
0.650303		0.137374		-4.441119
0.652727		0.137374		-4.294046
0.655152		0.137374		-4.152337
0.657576		0.137374		-4.015779
0.660000		0.137374		-3.884166
0.662424		0.137374		-3.757301
0.664848		0.137374		-3.634997
0.667273		0.137374		-3.517075
0.669697		0.137374		-3.403362
0.672121		0.137374		-3.293694
0.674545		0.137374		-3.187913
0.676970		0.137374		-3.085869
0.679394		0.137374		-2.987417
0.681818		0.137374		-2.892419
0.684242		0.137374		-2.800742
0.686667		0.137374		-2.712260
0.689091		0.137374		-2.626850
0.691515		0.137374		-2.544396
0.693939		0.137374		-2.464787
0.696364		0.137374		-2.387914
0.698788		0.137374		-2.313676
0.701212		0.137374		-2.241973
0.703636		0.137374		-2.172712
0.706061		0.137374		-2.105801
0.708485		0.137374		-2.041153
0.710909		0.137374		-1.978686
0.713333		0.137374		-1.918318
0.715758		0.137374		-1.859973
0.718182		0.137374		-1.803576
0.720606		0.137374		-1.749058
0.723030		0.137374		-1.696349
0.725455		0.137374		-1.645384
0.727879		0.137374		-1.596101
0.730303		0.137374		-1.548438
0.732727		0.137374		-1.502339
0.735152		0.137374		-1.457747
0.737576		0.137374		-1.414608
0.740000		0.137374		-1.372871
0.742424		0.137374		-1.332486
0.744848		0.137374		-1.293405
0.747273		0.137374		-1.255584
0.749697		0.137374		-1.218977
0.752121		0.137374		-1.183542
0.754545		0.137374		-1.149239
0.756970		0.137374		-1.116028
0.759394		0.137374		-1.083871
0.761818		0.137374		-1.052732
0.764242		0.137374		-1.022575
0.766667		0.137374		-0.993368
0.769091		0.137374		-0.965078
0.771515		0.137374		-0.937673
0.773939		0.137374		-0.911123
0.776364		0.137374		-0.885399
0.778788		0.137374		-0.860474
0.781212		0.137374		-0.836321
0.783636		0.137374		-0.812912
0.786061		0.137374		-0.790224
0.788485		0.137374		-0.768233
0.790909		0.137374		-0.746915
0.793333		0.137374		-0.726247
0.795758		0.137374		-0.706209
0.798182		0.137374		-0.686779
0.800606		0.137374		-0.667938
0.803030		0.137374		-0.649666
0.805455		0.137374		-0.631943
0.807879		0.137374		-0.614754
0.810303		0.137374		-0.598079
0.812727		0.137374		-0.581902
0.815152		0.137374		-0.566208
0.817576		0.137374		-0.550980
0.820000		0.137374		-0.536203
0.580000		0.164848		-12.500788
0.582424		0.164848		-12.038057
0.584848		0.164848		-11.594310
0.587273		0.164848		-11.168686
0.589697		0.164848		-10.760370
0.592121		0.164848		-10.368587
0.594545		0.164848		-9.992599
0.596970		0.164848		-9.631705
0.599394		0.164848		-9.285236
0.601818		0.164848		-8.952558
0.604242		0.164848		-8.633066
0.606667		0.164848		-8.326185
0.609091		0.164848		-8.031366
0.611515		0.164848		-7.748088
0.613939		0.164848		-7.475854
0.616364		0.164848		-7.214190
0.618788		0.164848		-6.962645
0.621212		0.164848		-6.720787
0.623636		0.164848		-6.488207
0.626061		0.164848		-6.264514
0.628485		0.164848		-6.049333
0.630909		0.164848		-5.842310
0.633333		0.164848		-5.643104
0.635758		0.164848		-5.451391
0.638182		0.164848		-5.266861
0.640606		0.164848		-5.089220
0.643030		0.164848		-4.918184
0.645455		0.164848		-4.753484
0.647879		0.164848		-4.594862
0.650303		0.164848		-4.442073
0.652727		0.164848		-4.294880
0.655152		0.164848		-4.153060
0.657576		0.164848		-4.016397
0.660000		0.164848		-3.884686
0.662424		0.164848		-3.757730
0.664848		0.164848		-3.635341
0.667273		0.164848		-3.517339
0.669697		0.164848		-3.403551
0.672121		0.164848		-3.293814
0.674545		0.164848		-3.187968
0.676970		0.164848		-3.085864
0.679394		0.164848		-2.987356
0.681818		0.164848		-2.892306
0.684242		0.164848		-2.800581
0.686667		0.164848		-2.712054
0.689091		0.164848		-2.626603
0.691515		0.164848		-2.544112
0.693939		0.164848		-2.464467
0.696364		0.164848		-2.387563
0.698788		0.164848		-2.313295
0.701212		0.164848		-2.241566
0.703636		0.164848		-2.172280
0.706061		0.164848		-2.105347
0.708485		0.164848		-2.040679
0.710909		0.164848		-1.978194
0.713333		0.164848		-1.917809
0.715758		0.164848		-1.859450
0.718182		0.164848		-1.803040
0.720606		0.164848		-1.748510
0.723030		0.164848		-1.695792
0.725455		0.164848		-1.644818
0.727879		0.164848		-1.595528
0.730303		0.164848		-1.547859
0.732727		0.164848		-1.501755
0.735152		0.164848		-1.457158
0.737576		0.164848		-1.414016
0.740000		0.164848		-1.372277
0.742424		0.164848		-1.331891
0.744848		0.164848		-1.292810
0.747273		0.164848		-1.254989
0.749697		0.164848		-1.218383
0.752121		0.164848		-1.182949
0.754545		0.164848		-1.148648
0.756970		0.164848		-1.115439
0.759394		0.164848		-1.083285
0.761818		0.164848		-1.052150
0.764242		0.164848		-1.021998
0.766667		0.164848		-0.992795
0.769091		0.164848		-0.964509
0.771515		0.164848		-0.937109
0.773939		0.164848		-0.910564
0.776364		0.164848		-0.884846
0.778788		0.164848		-0.859927
0.781212		0.164848		-0.835779
0.783636		0.164848		-0.812377
0.786061		0.164848		-0.789696
0.788485		0.164848		-0.767711
0.790909		0.164848		-0.746399
0.793333		0.164848		-0.725739
0.795758		0.164848		-0.705707
0.798182		0.164848		-0.686284
0.800606		0.164848		-0.667450
0.803030		0.164848		-0.649184
0.805455		0.164848		-0.631469
0.807879		0.164848		-0.614287
0.810303		0.164848		-0.597619
0.812727		0.164848		-0.581450
0.815152		0.164848		-0.565762
0.817576		0.164848		-0.550541
0.820000		0.164848		-0.535772
0.580000		0.192323		-12.512774
0.582424		0.192323		-12.049298
0.584848		0.192323		-11.604845
0.587273		0.192323		-11.178553
0.589697		0.192323		-10.769604
0.592121		0.192323		-10.377222
0.594545		0.192323		-10.000668
0.596970		0.192323		-9.639237
0.599394		0.192323		-9.292261
0.601818		0.192323		-8.959103
0.604242		0.192323		-8.639158
0.606667		0.192323		-8.331849
0.609091		0.192323		-8.036626
0.611515		0.192323		-7.752966
0.613939		0.192323		-7.480371
