T [fm^-1]		c3_df14_muB_0 [..]
0.580000		-985.789999
0.582424		-935.155044
0.584848		-887.406311
0.587273		-842.363528
0.589697		-799.858645
0.592121		-759.734936
0.594545		-721.846183
0.596970		-686.055915
0.599394		-652.236704
0.601818		-620.269528
0.604242		-590.043166
0.606667		-561.453650
0.609091		-534.403757
0.611515		-508.802534
0.613939		-484.564865
0.616364		-461.611066
0.618788		-439.866514
0.621212		-419.261294
0.623636		-399.729888
0.626061		-381.210868
0.628485		-363.646627
0.630909		-346.983120
0.633333		-331.169627
0.635758		-316.158532
0.638182		-301.905120
0.640606		-288.367384
0.643030		-275.505850
0.645455		-263.283409
0.647879		-251.665170
0.650303		-240.618311
0.652727		-230.111950
0.655152		-220.117021
0.657576		-210.606158
0.660000		-201.553587
0.662424		-192.935029
0.664848		-184.727602
0.667273		-176.909739
0.669697		-169.461103
0.672121		-162.362513
0.674545		-155.595871
0.676970		-149.144101
0.679394		-142.991078
0.681818		-137.121581
0.684242		-131.521230
0.686667		-126.176441
0.689091		-121.074376
0.691515		-116.202899
0.693939		-111.550535
0.696364		-107.106431
0.698788		-102.860319
0.701212		-98.802484
0.703636		-94.923729
0.706061		-91.215347
0.708485		-87.669092
0.710909		-84.277153
0.713333		-81.032129
0.715758		-77.927007
0.718182		-74.955137
0.720606		-72.110215
0.723030		-69.386262
0.725455		-66.777604
0.727879		-64.278860
0.730303		-61.884922
0.732727		-59.590940
0.735152		-57.392310
0.737576		-55.284657
0.740000		-53.263828
0.742424		-51.325875
0.744848		-49.467047
0.747273		-47.683776
0.749697		-45.972672
0.752121		-44.330509
0.754545		-42.754221
0.756970		-41.240888
0.759394		-39.787733
0.761818		-38.392112
0.764242		-37.051508
0.766667		-35.763525
0.769091		-34.525879
0.771515		-33.336396
0.773939		-32.193005
0.776364		-31.093729
0.778788		-30.036688
0.781212		-29.020087
0.783636		-28.042214
0.786061		-27.101437
0.788485		-26.196200
0.790909		-25.325016
0.793333		-24.486469
0.795758		-23.679205
0.798182		-22.901932
0.800606		-22.153416
0.803030		-21.432481
0.805455		-20.737999
0.807879		-20.068897
0.810303		-19.424147
0.812727		-18.802766
0.815152		-18.203818
0.817576		-17.626403
0.820000		-17.069665
