   1.0009999999999999     
  2.00000000000000004E-002         501
   0.2812531646   0.0000000000   0.0000000000
   0.2811332691   0.0000000000   0.0000000000
   0.2810132175   0.0000000000   0.0000000000
   0.2808930092   0.0000000000   0.0000000000
   0.2807726439   0.0000000000   0.0000000000
   0.2806521209   0.0000000000   0.0000000000
   0.2805314399   0.0000000000   0.0000000000
   0.2804106004   0.0000000000   0.0000000000
   0.2802896018   0.0000000000   0.0000000000
   0.2801684437   0.0000000000   0.0000000000
   0.2800471257   0.0000000000   0.0000000000
   0.2799256473   0.0000000000   0.0000000000
   0.2798040080   0.0000000000   0.0000000000
   0.2796822073   0.0000000000   0.0000000000
   0.2795602446   0.0000000000   0.0000000000
   0.2794381196   0.0000000000   0.0000000000
   0.2793158316   0.0000000000   0.0000000000
   0.2791933802   0.0000000000   0.0000000000
   0.2790707652   0.0000000000   0.0000000000
   0.2789479855   0.0000000000   0.0000000000
   0.2788250411   0.0000000000   0.0000000000
   0.2787019313   0.0000000000   0.0000000000
   0.2785786555   0.0000000000   0.0000000000
   0.2784552134   0.0000000000   0.0000000000
   0.2783316044   0.0000000000   0.0000000000
   0.2782078279   0.0000000000   0.0000000000
   0.2780838834   0.0000000000   0.0000000000
   0.2779597705   0.0000000000   0.0000000000
   0.2778354887   0.0000000000   0.0000000000
   0.2777110372   0.0000000000   0.0000000000
   0.2775864159   0.0000000000   0.0000000000
   0.2774616238   0.0000000000   0.0000000000
   0.2773366608   0.0000000000   0.0000000000
   0.2772115260   0.0000000000   0.0000000000
   0.2770862190   0.0000000000   0.0000000000
   0.2769607395   0.0000000000   0.0000000000
   0.2768350866   0.0000000000   0.0000000000
   0.2767092599   0.0000000000   0.0000000000
   0.2765832590   0.0000000000   0.0000000000
   0.2764570831   0.0000000000   0.0000000000
   0.2763307317   0.0000000000   0.0000000000
   0.2762042043   0.0000000000   0.0000000000
   0.2760775005   0.0000000000   0.0000000000
   0.2759506195   0.0000000000   0.0000000000
   0.2758235609   0.0000000000   0.0000000000
   0.2756963239   0.0000000000   0.0000000000
   0.2755689081   0.0000000000   0.0000000000
   0.2754413130   0.0000000000   0.0000000000
   0.2753135379   0.0000000000   0.0000000000
   0.2751855823   0.0000000000   0.0000000000
   0.2750574455   0.0000000000   0.0000000000
   0.2749291272   0.0000000000   0.0000000000
   0.2748006264   0.0000000000   0.0000000000
   0.2746719429   0.0000000000   0.0000000000
   0.2745430759   0.0000000000   0.0000000000
   0.2744140248   0.0000000000   0.0000000000
   0.2742847890   0.0000000000   0.0000000000
   0.2741553681   0.0000000000   0.0000000000
   0.2740257613   0.0000000000   0.0000000000
   0.2738959680   0.0000000000   0.0000000000
   0.2737659877   0.0000000000   0.0000000000
   0.2736358196   0.0000000000   0.0000000000
   0.2735054633   0.0000000000   0.0000000000
   0.2733749181   0.0000000000   0.0000000000
   0.2732441834   0.0000000000   0.0000000000
   0.2731132585   0.0000000000   0.0000000000
   0.2729821428   0.0000000000   0.0000000000
   0.2728508357   0.0000000000   0.0000000000
   0.2727193367   0.0000000000   0.0000000000
   0.2725876448   0.0000000000   0.0000000000
   0.2724557597   0.0000000000   0.0000000000
   0.2723236807   0.0000000000   0.0000000000
   0.2721914072   0.0000000000   0.0000000000
   0.2720589382   0.0000000000   0.0000000000
   0.2719262735   0.0000000000   0.0000000000
   0.2717934120   0.0000000000   0.0000000000
   0.2716603535   0.0000000000   0.0000000000
   0.2715270971   0.0000000000   0.0000000000
   0.2713936421   0.0000000000   0.0000000000
   0.2712599879   0.0000000000   0.0000000000
   0.2711261339   0.0000000000   0.0000000000
   0.2709920794   0.0000000000   0.0000000000
   0.2708578235   0.0000000000   0.0000000000
   0.2707233657   0.0000000000   0.0000000000
   0.2705887054   0.0000000000   0.0000000000
   0.2704538418   0.0000000000   0.0000000000
   0.2703187741   0.0000000000   0.0000000000
   0.2701835018   0.0000000000   0.0000000000
   0.2700480242   0.0000000000   0.0000000000
   0.2699123404   0.0000000000   0.0000000000
   0.2697764499   0.0000000000   0.0000000000
   0.2696403519   0.0000000000   0.0000000000
   0.2695040456   0.0000000000   0.0000000000
   0.2693675304   0.0000000000   0.0000000000
   0.2692308057   0.0000000000   0.0000000000
   0.2690938704   0.0000000000   0.0000000000
   0.2689567242   0.0000000000   0.0000000000
   0.2688193660   0.0000000000   0.0000000000
   0.2686817954   0.0000000000   0.0000000000
   0.2685440113   0.0000000000   0.0000000000
   0.2684060133   0.0000000000   0.0000000000
   0.2682678004   0.0000000000   0.0000000000
   0.2681293721   0.0000000000   0.0000000000
   0.2679907273   0.0000000000   0.0000000000
   0.2678518656   0.0000000000   0.0000000000
   0.2677127860   0.0000000000   0.0000000000
   0.2675734878   0.0000000000   0.0000000000
   0.2674339702   0.0000000000   0.0000000000
   0.2672942325   0.0000000000   0.0000000000
   0.2671542738   0.0000000000   0.0000000000
   0.2670140935   0.0000000000   0.0000000000
   0.2668736906   0.0000000000   0.0000000000
   0.2667330644   0.0000000000   0.0000000000
   0.2665922143   0.0000000000   0.0000000000
   0.2664511392   0.0000000000   0.0000000000
   0.2663098384   0.0000000000   0.0000000000
   0.2661683110   0.0000000000   0.0000000000
   0.2660265565   0.0000000000   0.0000000000
   0.2658845738   0.0000000000   0.0000000000
   0.2657423621   0.0000000000   0.0000000000
   0.2655999206   0.0000000000   0.0000000000
   0.2654572485   0.0000000000   0.0000000000
   0.2653143451   0.0000000000   0.0000000000
   0.2651712093   0.0000000000   0.0000000000
   0.2650278404   0.0000000000   0.0000000000
   0.2648842376   0.0000000000   0.0000000000
   0.2647403999   0.0000000000   0.0000000000
   0.2645963266   0.0000000000   0.0000000000
   0.2644520166   0.0000000000   0.0000000000
   0.2643074694   0.0000000000   0.0000000000
   0.2641626837   0.0000000000   0.0000000000
   0.2640176589   0.0000000000   0.0000000000
   0.2638723942   0.0000000000   0.0000000000
   0.2637268884   0.0000000000   0.0000000000
   0.2635811409   0.0000000000   0.0000000000
   0.2634351507   0.0000000000   0.0000000000
   0.2632889168   0.0000000000   0.0000000000
   0.2631424385   0.0000000000   0.0000000000
   0.2629957147   0.0000000000   0.0000000000
   0.2628487445   0.0000000000   0.0000000000
   0.2627015272   0.0000000000   0.0000000000
   0.2625540617   0.0000000000   0.0000000000
   0.2624063469   0.0000000000   0.0000000000
   0.2622583823   0.0000000000   0.0000000000
   0.2621101665   0.0000000000   0.0000000000
   0.2619616990   0.0000000000   0.0000000000
   0.2618129784   0.0000000000   0.0000000000
   0.2616640040   0.0000000000   0.0000000000
   0.2615147749   0.0000000000   0.0000000000
   0.2613652901   0.0000000000   0.0000000000
   0.2612155484   0.0000000000   0.0000000000
   0.2610655490   0.0000000000   0.0000000000
   0.2609152909   0.0000000000   0.0000000000
   0.2607647733   0.0000000000   0.0000000000
   0.2606139948   0.0000000000   0.0000000000
   0.2604629547   0.0000000000   0.0000000000
   0.2603116519   0.0000000000   0.0000000000
   0.2601600855   0.0000000000   0.0000000000
   0.2600082543   0.0000000000   0.0000000000
   0.2598561575   0.0000000000   0.0000000000
   0.2597037938   0.0000000000   0.0000000000
   0.2595511624   0.0000000000   0.0000000000
   0.2593982622   0.0000000000   0.0000000000
   0.2592450920   0.0000000000   0.0000000000
   0.2590916511   0.0000000000   0.0000000000
   0.2589379381   0.0000000000   0.0000000000
   0.2587839520   0.0000000000   0.0000000000
   0.2586296919   0.0000000000   0.0000000000
   0.2584751566   0.0000000000   0.0000000000
   0.2583203451   0.0000000000   0.0000000000
   0.2581652562   0.0000000000   0.0000000000
   0.2580098889   0.0000000000   0.0000000000
   0.2578542420   0.0000000000   0.0000000000
   0.2576983145   0.0000000000   0.0000000000
   0.2575421053   0.0000000000   0.0000000000
   0.2573856132   0.0000000000   0.0000000000
   0.2572288372   0.0000000000   0.0000000000
   0.2570717759   0.0000000000   0.0000000000
   0.2569144286   0.0000000000   0.0000000000
   0.2567567937   0.0000000000   0.0000000000
   0.2565988704   0.0000000000   0.0000000000
   0.2564406573   0.0000000000   0.0000000000
   0.2562821534   0.0000000000   0.0000000000
   0.2561233576   0.0000000000   0.0000000000
   0.2559642684   0.0000000000   0.0000000000
   0.2558048849   0.0000000000   0.0000000000
   0.2556452058   0.0000000000   0.0000000000
   0.2554852299   0.0000000000   0.0000000000
   0.2553249562   0.0000000000   0.0000000000
   0.2551643831   0.0000000000   0.0000000000
   0.2550035097   0.0000000000   0.0000000000
   0.2548423348   0.0000000000   0.0000000000
   0.2546808569   0.0000000000   0.0000000000
   0.2545190750   0.0000000000   0.0000000000
   0.2543569878   0.0000000000   0.0000000000
   0.2541945939   0.0000000000   0.0000000000
   0.2540318923   0.0000000000   0.0000000000
   0.2538688815   0.0000000000   0.0000000000
   0.2537055603   0.0000000000   0.0000000000
   0.2535419276   0.0000000000   0.0000000000
   0.2533779819   0.0000000000   0.0000000000
   0.2532137219   0.0000000000   0.0000000000
   0.2530491463   0.0000000000   0.0000000000
   0.2528842539   0.0000000000   0.0000000000
   0.2527190434   0.0000000000   0.0000000000
   0.2525535134   0.0000000000   0.0000000000
   0.2523876626   0.0000000000   0.0000000000
   0.2522214896   0.0000000000   0.0000000000
   0.2520549931   0.0000000000   0.0000000000
   0.2518881717   0.0000000000   0.0000000000
   0.2517210240   0.0000000000   0.0000000000
   0.2515535488   0.0000000000   0.0000000000
   0.2513857446   0.0000000000   0.0000000000
   0.2512176100   0.0000000000   0.0000000000
   0.2510491436   0.0000000000   0.0000000000
   0.2508803441   0.0000000000   0.0000000000
   0.2507112100   0.0000000000   0.0000000000
   0.2505417398   0.0000000000   0.0000000000
   0.2503719323   0.0000000000   0.0000000000
   0.2502017859   0.0000000000   0.0000000000
   0.2500312991   0.0000000000   0.0000000000
   0.2498604706   0.0000000000   0.0000000000
   0.2496892989   0.0000000000   0.0000000000
   0.2495177825   0.0000000000   0.0000000000
   0.2493459199   0.0000000000   0.0000000000
   0.2491737095   0.0000000000   0.0000000000
   0.2490011501   0.0000000000   0.0000000000
   0.2488282400   0.0000000000   0.0000000000
   0.2486549778   0.0000000000   0.0000000000
   0.2484813618   0.0000000000   0.0000000000
   0.2483073906   0.0000000000   0.0000000000
   0.2481330625   0.0000000000   0.0000000000
   0.2479583763   0.0000000000   0.0000000000
   0.2477833301   0.0000000000   0.0000000000
   0.2476079224   0.0000000000   0.0000000000
   0.2474321517   0.0000000000   0.0000000000
   0.2472560165   0.0000000000   0.0000000000
   0.2470795151   0.0000000000   0.0000000000
   0.2469026458   0.0000000000   0.0000000000
   0.2467254072   0.0000000000   0.0000000000
   0.2465477975   0.0000000000   0.0000000000
   0.2463698151   0.0000000000   0.0000000000
   0.2461914584   0.0000000000   0.0000000000
   0.2460127258   0.0000000000   0.0000000000
   0.2458336155   0.0000000000   0.0000000000
   0.2456541260   0.0000000000   0.0000000000
   0.2454742555   0.0000000000   0.0000000000
   0.2452940024   0.0000000000   0.0000000000
   0.2451133649   0.0000000000   0.0000000000
   0.2449323414   0.0000000000   0.0000000000
   0.2447509301   0.0000000000   0.0000000000
   0.2445691293   0.0000000000   0.0000000000
   0.2443869372   0.0000000000   0.0000000000
   0.2442043523   0.0000000000   0.0000000000
   0.2440213725   0.0000000000   0.0000000000
   0.2438379963   0.0000000000   0.0000000000
   0.2436542217   0.0000000000   0.0000000000
   0.2434700471   0.0000000000   0.0000000000
   0.2432854706   0.0000000000   0.0000000000
   0.2431004906   0.0000000000   0.0000000000
   0.2429151049   0.0000000000   0.0000000000
   0.2427293120   0.0000000000   0.0000000000
   0.2425431100   0.0000000000   0.0000000000
   0.2423564969   0.0000000000   0.0000000000
   0.2421694709   0.0000000000   0.0000000000
   0.2419820303   0.0000000000   0.0000000000
   0.2417941730   0.0000000000   0.0000000000
   0.2416058974   0.0000000000   0.0000000000
   0.2414172013   0.0000000000   0.0000000000
   0.2412280828   0.0000000000   0.0000000000
   0.2410385402   0.0000000000   0.0000000000
   0.2408485714   0.0000000000   0.0000000000
   0.2406581747   0.0000000000   0.0000000000
   0.2404673477   0.0000000000   0.0000000000
   0.2402760889   0.0000000000   0.0000000000
   0.2400843960   0.0000000000   0.0000000000
   0.2398922671   0.0000000000   0.0000000000
   0.2396997003   0.0000000000   0.0000000000
   0.2395066936   0.0000000000   0.0000000000
   0.2393132450   0.0000000000   0.0000000000
   0.2391193522   0.0000000000   0.0000000000
   0.2389250135   0.0000000000   0.0000000000
   0.2387302267   0.0000000000   0.0000000000
   0.2385349897   0.0000000000   0.0000000000
   0.2383393005   0.0000000000   0.0000000000
   0.2381431570   0.0000000000   0.0000000000
   0.2379465571   0.0000000000   0.0000000000
   0.2377494988   0.0000000000   0.0000000000
   0.2375519799   0.0000000000   0.0000000000
   0.2373539981   0.0000000000   0.0000000000
   0.2371555516   0.0000000000   0.0000000000
   0.2369566381   0.0000000000   0.0000000000
   0.2367572554   0.0000000000   0.0000000000
   0.2365574014   0.0000000000   0.0000000000
   0.2363570739   0.0000000000   0.0000000000
   0.2361562707   0.0000000000   0.0000000000
   0.2359549896   0.0000000000   0.0000000000
   0.2357532284   0.0000000000   0.0000000000
   0.2355509849   0.0000000000   0.0000000000
   0.2353482568   0.0000000000   0.0000000000
   0.2351450419   0.0000000000   0.0000000000
   0.2349413381   0.0000000000   0.0000000000
   0.2347371428   0.0000000000   0.0000000000
   0.2345324541   0.0000000000   0.0000000000
   0.2343272694   0.0000000000   0.0000000000
   0.2341215866   0.0000000000   0.0000000000
   0.2339154033   0.0000000000   0.0000000000
   0.2337087173   0.0000000000   0.0000000000
   0.2335015261   0.0000000000   0.0000000000
   0.2332938275   0.0000000000   0.0000000000
   0.2330856191   0.0000000000   0.0000000000
   0.2328768986   0.0000000000   0.0000000000
   0.2326676635   0.0000000000   0.0000000000
   0.2324579116   0.0000000000   0.0000000000
   0.2322476403   0.0000000000   0.0000000000
   0.2320368475   0.0000000000   0.0000000000
   0.2318255305   0.0000000000   0.0000000000
   0.2316136870   0.0000000000   0.0000000000
   0.2314013146   0.0000000000   0.0000000000
   0.2311884108   0.0000000000   0.0000000000
   0.2309749733   0.0000000000   0.0000000000
   0.2307609995   0.0000000000   0.0000000000
   0.2305464869   0.0000000000   0.0000000000
   0.2303314332   0.0000000000   0.0000000000
   0.2301158357   0.0000000000   0.0000000000
   0.2298996922   0.0000000000   0.0000000000
   0.2296829999   0.0000000000   0.0000000000
   0.2294657565   0.0000000000   0.0000000000
   0.2292479594   0.0000000000   0.0000000000
   0.2290296061   0.0000000000   0.0000000000
   0.2288106940   0.0000000000   0.0000000000
   0.2285912207   0.0000000000   0.0000000000
   0.2283711834   0.0000000000   0.0000000000
   0.2281505799   0.0000000000   0.0000000000
   0.2279294073   0.0000000000   0.0000000000
   0.2277076633   0.0000000000   0.0000000000
   0.2274853451   0.0000000000   0.0000000000
   0.2272624502   0.0000000000   0.0000000000
   0.2270389760   0.0000000000   0.0000000000
   0.2268149200   0.0000000000   0.0000000000
   0.2265902795   0.0000000000   0.0000000000
   0.2263650518   0.0000000000   0.0000000000
   0.2261392345   0.0000000000   0.0000000000
   0.2259128248   0.0000000000   0.0000000000
   0.2256858201   0.0000000000   0.0000000000
   0.2254582179   0.0000000000   0.0000000000
   0.2252300154   0.0000000000   0.0000000000
   0.2250012099   0.0000000000   0.0000000000
   0.2247717990   0.0000000000   0.0000000000
   0.2245417799   0.0000000000   0.0000000000
   0.2243111499   0.0000000000   0.0000000000
   0.2240799064   0.0000000000   0.0000000000
   0.2238480468   0.0000000000   0.0000000000
   0.2236155684   0.0000000000   0.0000000000
   0.2233824684   0.0000000000   0.0000000000
   0.2231487443   0.0000000000   0.0000000000
   0.2229143933   0.0000000000   0.0000000000
   0.2226794128   0.0000000000   0.0000000000
   0.2224438001   0.0000000000   0.0000000000
   0.2222075525   0.0000000000   0.0000000000
   0.2219706674   0.0000000000   0.0000000000
   0.2217331420   0.0000000000   0.0000000000
   0.2214949737   0.0000000000   0.0000000000
   0.2212561598   0.0000000000   0.0000000000
   0.2210166976   0.0000000000   0.0000000000
   0.2207765844   0.0000000000   0.0000000000
   0.2205358177   0.0000000000   0.0000000000
   0.2202943946   0.0000000000   0.0000000000
   0.2200523125   0.0000000000   0.0000000000
   0.2198095687   0.0000000000   0.0000000000
   0.2195661606   0.0000000000   0.0000000000
   0.2193220855   0.0000000000   0.0000000000
   0.2190773406   0.0000000000   0.0000000000
   0.2188319235   0.0000000000   0.0000000000
   0.2185858313   0.0000000000   0.0000000000
   0.2183390614   0.0000000000   0.0000000000
   0.2180916113   0.0000000000   0.0000000000
   0.2178434782   0.0000000000   0.0000000000
   0.2175946594   0.0000000000   0.0000000000
   0.2173451524   0.0000000000   0.0000000000
   0.2170949545   0.0000000000   0.0000000000
   0.2168440632   0.0000000000   0.0000000000
   0.2165924756   0.0000000000   0.0000000000
   0.2163401893   0.0000000000   0.0000000000
   0.2160872016   0.0000000000   0.0000000000
   0.2158335099   0.0000000000   0.0000000000
   0.2155791116   0.0000000000   0.0000000000
   0.2153240041   0.0000000000   0.0000000000
   0.2150681849   0.0000000000   0.0000000000
   0.2148116513   0.0000000000   0.0000000000
   0.2145544006   0.0000000000   0.0000000000
   0.2142964305   0.0000000000   0.0000000000
   0.2140377382   0.0000000000   0.0000000000
   0.2137783213   0.0000000000   0.0000000000
   0.2135181771   0.0000000000   0.0000000000
   0.2132573032   0.0000000000   0.0000000000
   0.2129956968   0.0000000000   0.0000000000
   0.2127333556   0.0000000000   0.0000000000
   0.2124702769   0.0000000000   0.0000000000
   0.2122064581   0.0000000000   0.0000000000
   0.2119418968   0.0000000000   0.0000000000
   0.2116765904   0.0000000000   0.0000000000
   0.2114105362   0.0000000000   0.0000000000
   0.2111437318   0.0000000000   0.0000000000
   0.2108761746   0.0000000000   0.0000000000
   0.2106078620   0.0000000000   0.0000000000
   0.2103387915   0.0000000000   0.0000000000
   0.2100689604   0.0000000000   0.0000000000
   0.2097983661   0.0000000000   0.0000000000
   0.2095270061   0.0000000000   0.0000000000
   0.2092548777   0.0000000000   0.0000000000
   0.2089819782   0.0000000000   0.0000000000
   0.2087083050   0.0000000000   0.0000000000
   0.2084338553   0.0000000000   0.0000000000
   0.2081586265   0.0000000000   0.0000000000
   0.2078826157   0.0000000000   0.0000000000
   0.2076058201   0.0000000000   0.0000000000
   0.2073282370   0.0000000000   0.0000000000
   0.2070498633   0.0000000000   0.0000000000
   0.2067706961   0.0000000000   0.0000000000
   0.2064907325   0.0000000000   0.0000000000
   0.2062099693   0.0000000000   0.0000000000
   0.2059284034   0.0000000000   0.0000000000
   0.2056460315   0.0000000000   0.0000000000
   0.2053628504   0.0000000000   0.0000000000
   0.2050788565   0.0000000000   0.0000000000
   0.2047940464   0.0000000000   0.0000000000
   0.2045084164   0.0000000000   0.0000000000
   0.2042219627   0.0000000000   0.0000000000
   0.2039346815   0.0000000000   0.0000000000
   0.2036465686   0.0000000000   0.0000000000
   0.2033576198   0.0000000000   0.0000000000
   0.2030678308   0.0000000000   0.0000000000
   0.2027771967   0.0000000000   0.0000000000
   0.2024857130   0.0000000000   0.0000000000
   0.2021933744   0.0000000000   0.0000000000
   0.2019001757   0.0000000000   0.0000000000
   0.2016061113   0.0000000000   0.0000000000
   0.2013111752   0.0000000000   0.0000000000
   0.2010153613   0.0000000000   0.0000000000
   0.2007186630   0.0000000000   0.0000000000
   0.2004210734   0.0000000000   0.0000000000
   0.2001225851   0.0000000000   0.0000000000
   0.1998231905   0.0000000000   0.0000000000
   0.1995228811   0.0000000000   0.0000000000
   0.1992216481   0.0000000000   0.0000000000
   0.1989194824   0.0000000000   0.0000000000
   0.1986163739   0.0000000000   0.0000000000
   0.1983123120   0.0000000000   0.0000000000
   0.1980072855   0.0000000000   0.0000000000
   0.1977012822   0.0000000000   0.0000000000
   0.1973942894   0.0000000000   0.0000000000
   0.1970862932   0.0000000000   0.0000000000
   0.1967772789   0.0000000000   0.0000000000
   0.1964672307   0.0000000000   0.0000000000
   0.1961561317   0.0000000000   0.0000000000
   0.1958439639   0.0000000000   0.0000000000
   0.1955307076   0.0000000000   0.0000000000
   0.1952163422   0.0000000000   0.0000000000
   0.1949008450   0.0000000000   0.0000000000
   0.1945841921   0.0000000000   0.0000000000
   0.1942663574   0.0000000000   0.0000000000
   0.1939473131   0.0000000000   0.0000000000
   0.1936270289   0.0000000000   0.0000000000
   0.1933054725   0.0000000000   0.0000000000
   0.1929826087   0.0000000000   0.0000000000
   0.1926583999   0.0000000000   0.0000000000
   0.1923328051   0.0000000000   0.0000000000
   0.1920057799   0.0000000000   0.0000000000
   0.1916772766   0.0000000000   0.0000000000
   0.1913472432   0.0000000000   0.0000000000
   0.1910156232   0.0000000000   0.0000000000
   0.1906823555   0.0000000000   0.0000000000
   0.1903473734   0.0000000000   0.0000000000
   0.1900106044   0.0000000000   0.0000000000
   0.1896719693   0.0000000000   0.0000000000
   0.1893313816   0.0000000000   0.0000000000
   0.1889887467   0.0000000000   0.0000000000
