   61.000999999999998     
  0.50000000000000000              501
   0.6335744695   0.0000000000   0.0000000000
   0.6333224185   0.0000000000   0.0000000000
   0.6330700640   0.0000000000   0.0000000000
   0.6328174050   0.0000000000   0.0000000000
   0.6325644408   0.0000000000   0.0000000000
   0.6323111705   0.0000000000   0.0000000000
   0.6320575933   0.0000000000   0.0000000000
   0.6318037082   0.0000000000   0.0000000000
   0.6315495144   0.0000000000   0.0000000000
   0.6312950112   0.0000000000   0.0000000000
   0.6310401974   0.0000000000   0.0000000000
   0.6307850723   0.0000000000   0.0000000000
   0.6305296348   0.0000000000   0.0000000000
   0.6302738841   0.0000000000   0.0000000000
   0.6300178195   0.0000000000   0.0000000000
   0.6297614400   0.0000000000   0.0000000000
   0.6295047445   0.0000000000   0.0000000000
   0.6292477326   0.0000000000   0.0000000000
   0.6289904026   0.0000000000   0.0000000000
   0.6287327544   0.0000000000   0.0000000000
   0.6284747864   0.0000000000   0.0000000000
   0.6282164983   0.0000000000   0.0000000000
   0.6279578884   0.0000000000   0.0000000000
   0.6276989566   0.0000000000   0.0000000000
   0.6274397014   0.0000000000   0.0000000000
   0.6271801220   0.0000000000   0.0000000000
   0.6269202174   0.0000000000   0.0000000000
   0.6266599868   0.0000000000   0.0000000000
   0.6263994290   0.0000000000   0.0000000000
   0.6261385433   0.0000000000   0.0000000000
   0.6258773286   0.0000000000   0.0000000000
   0.6256157841   0.0000000000   0.0000000000
   0.6253539084   0.0000000000   0.0000000000
   0.6250917010   0.0000000000   0.0000000000
   0.6248291607   0.0000000000   0.0000000000
   0.6245662866   0.0000000000   0.0000000000
   0.6243030776   0.0000000000   0.0000000000
   0.6240395327   0.0000000000   0.0000000000
   0.6237756507   0.0000000000   0.0000000000
   0.6235114310   0.0000000000   0.0000000000
   0.6232468725   0.0000000000   0.0000000000
   0.6229819743   0.0000000000   0.0000000000
   0.6227167348   0.0000000000   0.0000000000
   0.6224511535   0.0000000000   0.0000000000
   0.6221852292   0.0000000000   0.0000000000
   0.6219189609   0.0000000000   0.0000000000
   0.6216523476   0.0000000000   0.0000000000
   0.6213853879   0.0000000000   0.0000000000
   0.6211180813   0.0000000000   0.0000000000
   0.6208504267   0.0000000000   0.0000000000
   0.6205824224   0.0000000000   0.0000000000
   0.6203140680   0.0000000000   0.0000000000
   0.6200453619   0.0000000000   0.0000000000
   0.6197763036   0.0000000000   0.0000000000
   0.6195068918   0.0000000000   0.0000000000
   0.6192371250   0.0000000000   0.0000000000
   0.6189670028   0.0000000000   0.0000000000
   0.6186965234   0.0000000000   0.0000000000
   0.6184256865   0.0000000000   0.0000000000
   0.6181544901   0.0000000000   0.0000000000
   0.6178829337   0.0000000000   0.0000000000
   0.6176110159   0.0000000000   0.0000000000
   0.6173387359   0.0000000000   0.0000000000
   0.6170660923   0.0000000000   0.0000000000
   0.6167930840   0.0000000000   0.0000000000
   0.6165197096   0.0000000000   0.0000000000
   0.6162459685   0.0000000000   0.0000000000
   0.6159718592   0.0000000000   0.0000000000
   0.6156973807   0.0000000000   0.0000000000
   0.6154225315   0.0000000000   0.0000000000
   0.6151473109   0.0000000000   0.0000000000
   0.6148717175   0.0000000000   0.0000000000
   0.6145957501   0.0000000000   0.0000000000
   0.6143194075   0.0000000000   0.0000000000
   0.6140426884   0.0000000000   0.0000000000
   0.6137655921   0.0000000000   0.0000000000
   0.6134881167   0.0000000000   0.0000000000
   0.6132102616   0.0000000000   0.0000000000
   0.6129320250   0.0000000000   0.0000000000
   0.6126534061   0.0000000000   0.0000000000
   0.6123744036   0.0000000000   0.0000000000
   0.6120950164   0.0000000000   0.0000000000
   0.6118152429   0.0000000000   0.0000000000
   0.6115350820   0.0000000000   0.0000000000
   0.6112545325   0.0000000000   0.0000000000
   0.6109735928   0.0000000000   0.0000000000
   0.6106922625   0.0000000000   0.0000000000
   0.6104105393   0.0000000000   0.0000000000
   0.6101284225   0.0000000000   0.0000000000
   0.6098459108   0.0000000000   0.0000000000
   0.6095630027   0.0000000000   0.0000000000
   0.6092796971   0.0000000000   0.0000000000
   0.6089959927   0.0000000000   0.0000000000
   0.6087118880   0.0000000000   0.0000000000
   0.6084273816   0.0000000000   0.0000000000
   0.6081424723   0.0000000000   0.0000000000
   0.6078571592   0.0000000000   0.0000000000
   0.6075714402   0.0000000000   0.0000000000
   0.6072853143   0.0000000000   0.0000000000
   0.6069987802   0.0000000000   0.0000000000
   0.6067118366   0.0000000000   0.0000000000
   0.6064244820   0.0000000000   0.0000000000
   0.6061367149   0.0000000000   0.0000000000
   0.6058485339   0.0000000000   0.0000000000
   0.6055599381   0.0000000000   0.0000000000
