   1561.0010000000000     
   12.500000000000000              501
   1.4121762681   0.0000000000   0.0000000000
   1.4116121912   0.0000000000   0.0000000000
   1.4110474360   0.0000000000   0.0000000000
   1.4104820007   0.0000000000   0.0000000000
   1.4099158835   0.0000000000   0.0000000000
   1.4093490833   0.0000000000   0.0000000000
   1.4087815970   0.0000000000   0.0000000000
   1.4082134229   0.0000000000   0.0000000000
   1.4076445591   0.0000000000   0.0000000000
   1.4070750040   0.0000000000   0.0000000000
   1.4065047556   0.0000000000   0.0000000000
   1.4059338111   0.0000000000   0.0000000000
   1.4053621697   0.0000000000   0.0000000000
   1.4047898286   0.0000000000   0.0000000000
   1.4042167866   0.0000000000   0.0000000000
   1.4036430406   0.0000000000   0.0000000000
   1.4030685890   0.0000000000   0.0000000000
   1.4024934304   0.0000000000   0.0000000000
   1.4019175619   0.0000000000   0.0000000000
   1.4013409817   0.0000000000   0.0000000000
   1.4007636881   0.0000000000   0.0000000000
   1.4001856792   0.0000000000   0.0000000000
   1.3996069515   0.0000000000   0.0000000000
   1.3990275049   0.0000000000   0.0000000000
   1.3984473359   0.0000000000   0.0000000000
   1.3978664428   0.0000000000   0.0000000000
   1.3972848236   0.0000000000   0.0000000000
   1.3967024761   0.0000000000   0.0000000000
   1.3961193979   0.0000000000   0.0000000000
   1.3955355877   0.0000000000   0.0000000000
   1.3949510425   0.0000000000   0.0000000000
   1.3943657601   0.0000000000   0.0000000000
   1.3937797391   0.0000000000   0.0000000000
   1.3931929767   0.0000000000   0.0000000000
   1.3926054710   0.0000000000   0.0000000000
   1.3920172191   0.0000000000   0.0000000000
   1.3914282203   0.0000000000   0.0000000000
   1.3908384704   0.0000000000   0.0000000000
   1.3902479690   0.0000000000   0.0000000000
   1.3896567124   0.0000000000   0.0000000000
   1.3890646994   0.0000000000   0.0000000000
   1.3884719276   0.0000000000   0.0000000000
   1.3878783941   0.0000000000   0.0000000000
   1.3872840971   0.0000000000   0.0000000000
   1.3866890341   0.0000000000   0.0000000000
   1.3860932028   0.0000000000   0.0000000000
   1.3854966009   0.0000000000   0.0000000000
   1.3848992264   0.0000000000   0.0000000000
   1.3843010765   0.0000000000   0.0000000000
   1.3837021494   0.0000000000   0.0000000000
   1.3831024420   0.0000000000   0.0000000000
   1.3825019526   0.0000000000   0.0000000000
   1.3819006777   0.0000000000   0.0000000000
   1.3812986165   0.0000000000   0.0000000000
   1.3806957656   0.0000000000   0.0000000000
   1.3800921225   0.0000000000   0.0000000000
   1.3794876855   0.0000000000   0.0000000000
   1.3788824516   0.0000000000   0.0000000000
   1.3782764184   0.0000000000   0.0000000000
   1.3776695835   0.0000000000   0.0000000000
   1.3770619440   0.0000000000   0.0000000000
   1.3764534986   0.0000000000   0.0000000000
   1.3758442432   0.0000000000   0.0000000000
   1.3752341765   0.0000000000   0.0000000000
   1.3746232957   0.0000000000   0.0000000000
   1.3740115976   0.0000000000   0.0000000000
   1.3733990806   0.0000000000   0.0000000000
   1.3727857417   0.0000000000   0.0000000000
   1.3721715784   0.0000000000   0.0000000000
   1.3715565878   0.0000000000   0.0000000000
   1.3709407675   0.0000000000   0.0000000000
   1.3703241151   0.0000000000   0.0000000000
   1.3697066277   0.0000000000   0.0000000000
   1.3690883022   0.0000000000   0.0000000000
   1.3684691375   0.0000000000   0.0000000000
   1.3678491294   0.0000000000   0.0000000000
   1.3672282755   0.0000000000   0.0000000000
   1.3666065734   0.0000000000   0.0000000000
   1.3659840208   0.0000000000   0.0000000000
   1.3653606140   0.0000000000   0.0000000000
