   1.00100000000000     
  2.000000000000000E-002         501
   0.2810349459   0.0000000000   0.0000000000
   0.2809151238   0.0000000000   0.0000000000
   0.2807951464   0.0000000000   0.0000000000
   0.2806750131   0.0000000000   0.0000000000
   0.2805547236   0.0000000000   0.0000000000
   0.2804342774   0.0000000000   0.0000000000
   0.2803136739   0.0000000000   0.0000000000
   0.2801929128   0.0000000000   0.0000000000
   0.2800719935   0.0000000000   0.0000000000
   0.2799509156   0.0000000000   0.0000000000
   0.2798296788   0.0000000000   0.0000000000
   0.2797082823   0.0000000000   0.0000000000
   0.2795867257   0.0000000000   0.0000000000
   0.2794650087   0.0000000000   0.0000000000
   0.2793431306   0.0000000000   0.0000000000
   0.2792210910   0.0000000000   0.0000000000
   0.2790988895   0.0000000000   0.0000000000
   0.2789765254   0.0000000000   0.0000000000
   0.2788539986   0.0000000000   0.0000000000
   0.2787313081   0.0000000000   0.0000000000
   0.2786084538   0.0000000000   0.0000000000
   0.2784854349   0.0000000000   0.0000000000
   0.2783622511   0.0000000000   0.0000000000
   0.2782389020   0.0000000000   0.0000000000
   0.2781153869   0.0000000000   0.0000000000
   0.2779917052   0.0000000000   0.0000000000
   0.2778678565   0.0000000000   0.0000000000
   0.2777438404   0.0000000000   0.0000000000
   0.2776196564   0.0000000000   0.0000000000
   0.2774953038   0.0000000000   0.0000000000
   0.2773707821   0.0000000000   0.0000000000
   0.2772460908   0.0000000000   0.0000000000
   0.2771212295   0.0000000000   0.0000000000
   0.2769961976   0.0000000000   0.0000000000
   0.2768709946   0.0000000000   0.0000000000
   0.2767456198   0.0000000000   0.0000000000
   0.2766200728   0.0000000000   0.0000000000
   0.2764943531   0.0000000000   0.0000000000
   0.2763684601   0.0000000000   0.0000000000
   0.2762423933   0.0000000000   0.0000000000
   0.2761161520   0.0000000000   0.0000000000
   0.2759897359   0.0000000000   0.0000000000
   0.2758631442   0.0000000000   0.0000000000
   0.2757363765   0.0000000000   0.0000000000
   0.2756094323   0.0000000000   0.0000000000
   0.2754823109   0.0000000000   0.0000000000
   0.2753550117   0.0000000000   0.0000000000
   0.2752275344   0.0000000000   0.0000000000
   0.2750998782   0.0000000000   0.0000000000
   0.2749720425   0.0000000000   0.0000000000
   0.2748440269   0.0000000000   0.0000000000
   0.2747158308   0.0000000000   0.0000000000
   0.2745874536   0.0000000000   0.0000000000
   0.2744588946   0.0000000000   0.0000000000
   0.2743301533   0.0000000000   0.0000000000
   0.2742012291   0.0000000000   0.0000000000
   0.2740721215   0.0000000000   0.0000000000
   0.2739428299   0.0000000000   0.0000000000
   0.2738133536   0.0000000000   0.0000000000
   0.2736836919   0.0000000000   0.0000000000
   0.2735538445   0.0000000000   0.0000000000
   0.2734238106   0.0000000000   0.0000000000
   0.2732935896   0.0000000000   0.0000000000
   0.2731631811   0.0000000000   0.0000000000
   0.2730325842   0.0000000000   0.0000000000
   0.2729017983   0.0000000000   0.0000000000
   0.2727708231   0.0000000000   0.0000000000
   0.2726396577   0.0000000000   0.0000000000
