   11.0010000000000     
  0.100000000000000              501
   0.4243483248   0.0000000000   0.0000000000
   0.4241782838   0.0000000000   0.0000000000
   0.4240080350   0.0000000000   0.0000000000
   0.4238375777   0.0000000000   0.0000000000
   0.4236669111   0.0000000000   0.0000000000
   0.4234960348   0.0000000000   0.0000000000
   0.4233249484   0.0000000000   0.0000000000
   0.4231536507   0.0000000000   0.0000000000
   0.4229821416   0.0000000000   0.0000000000
   0.4228104205   0.0000000000   0.0000000000
   0.4226384864   0.0000000000   0.0000000000
   0.4224663391   0.0000000000   0.0000000000
   0.4222939777   0.0000000000   0.0000000000
   0.4221214017   0.0000000000   0.0000000000
   0.4219486105   0.0000000000   0.0000000000
   0.4217756033   0.0000000000   0.0000000000
   0.4216023796   0.0000000000   0.0000000000
   0.4214289388   0.0000000000   0.0000000000
   0.4212552800   0.0000000000   0.0000000000
   0.4210814030   0.0000000000   0.0000000000
   0.4209073068   0.0000000000   0.0000000000
   0.4207329911   0.0000000000   0.0000000000
   0.4205584548   0.0000000000   0.0000000000
   0.4203836976   0.0000000000   0.0000000000
   0.4202087186   0.0000000000   0.0000000000
   0.4200335173   0.0000000000   0.0000000000
   0.4198580931   0.0000000000   0.0000000000
   0.4196824452   0.0000000000   0.0000000000
   0.4195065730   0.0000000000   0.0000000000
   0.4193304757   0.0000000000   0.0000000000
   0.4191541528   0.0000000000   0.0000000000
   0.4189776036   0.0000000000   0.0000000000
   0.4188008272   0.0000000000   0.0000000000
   0.4186238232   0.0000000000   0.0000000000
   0.4184465909   0.0000000000   0.0000000000
   0.4182691294   0.0000000000   0.0000000000
   0.4180914381   0.0000000000   0.0000000000
   0.4179135164   0.0000000000   0.0000000000
   0.4177353635   0.0000000000   0.0000000000
   0.4175569786   0.0000000000   0.0000000000
   0.4173783612   0.0000000000   0.0000000000
   0.4171995104   0.0000000000   0.0000000000
   0.4170204258   0.0000000000   0.0000000000
   0.4168411064   0.0000000000   0.0000000000
   0.4166615514   0.0000000000   0.0000000000
   0.4164817603   0.0000000000   0.0000000000
   0.4163017323   0.0000000000   0.0000000000
   0.4161214667   0.0000000000   0.0000000000
   0.4159409627   0.0000000000   0.0000000000
   0.4157602197   0.0000000000   0.0000000000
   0.4155792367   0.0000000000   0.0000000000
   0.4153980133   0.0000000000   0.0000000000
   0.4152165484   0.0000000000   0.0000000000
   0.4150348414   0.0000000000   0.0000000000
   0.4148528917   0.0000000000   0.0000000000
   0.4146706983   0.0000000000   0.0000000000
   0.4144882604   0.0000000000   0.0000000000
   0.4143055775   0.0000000000   0.0000000000
   0.4141226488   0.0000000000   0.0000000000
   0.4139394733   0.0000000000   0.0000000000
   0.4137560503   0.0000000000   0.0000000000
   0.4135723790   0.0000000000   0.0000000000
   0.4133884587   0.0000000000   0.0000000000
   0.4132042887   0.0000000000   0.0000000000
   0.4130198681   0.0000000000   0.0000000000
   0.4128351959   0.0000000000   0.0000000000
   0.4126502716   0.0000000000   0.0000000000
   0.4124650943   0.0000000000   0.0000000000
   0.4122796630   0.0000000000   0.0000000000
   0.4120939773   0.0000000000   0.0000000000
   0.4119080358   0.0000000000   0.0000000000
   0.4117218384   0.0000000000   0.0000000000
   0.4115353836   0.0000000000   0.0000000000
   0.4113486708   0.0000000000   0.0000000000
   0.4111616994   0.0000000000   0.0000000000
   0.4109744684   0.0000000000   0.0000000000
   0.4107869768   0.0000000000   0.0000000000
   0.4105992239   0.0000000000   0.0000000000
   0.4104112088   0.0000000000   0.0000000000
   0.4102229309   0.0000000000   0.0000000000
   0.4100343889   0.0000000000   0.0000000000
   0.4098455821   0.0000000000   0.0000000000
   0.4096565097   0.0000000000   0.0000000000
   0.4094671708   0.0000000000   0.0000000000
   0.4092775647   0.0000000000   0.0000000000
   0.4090876902   0.0000000000   0.0000000000
   0.4088975465   0.0000000000   0.0000000000
   0.4087071329   0.0000000000   0.0000000000
   0.4085164481   0.0000000000   0.0000000000
   0.4083254917   0.0000000000   0.0000000000
   0.4081342624   0.0000000000   0.0000000000
   0.4079427595   0.0000000000   0.0000000000
   0.4077509820   0.0000000000   0.0000000000
   0.4075589290   0.0000000000   0.0000000000
   0.4073665995   0.0000000000   0.0000000000
   0.4071739928   0.0000000000   0.0000000000
   0.4069811077   0.0000000000   0.0000000000
   0.4067879434   0.0000000000   0.0000000000
   0.4065944989   0.0000000000   0.0000000000
   0.4064007730   0.0000000000   0.0000000000
   0.4062067653   0.0000000000   0.0000000000
   0.4060124744   0.0000000000   0.0000000000
   0.4058178997   0.0000000000   0.0000000000
   0.4056230399   0.0000000000   0.0000000000
   0.4054278940   0.0000000000   0.0000000000
   0.4052324611   0.0000000000   0.0000000000
   0.4050367404   0.0000000000   0.0000000000
   0.4048407307   0.0000000000   0.0000000000
   0.4046444311   0.0000000000   0.0000000000
   0.4044478406   0.0000000000   0.0000000000
   0.4042509581   0.0000000000   0.0000000000
   0.4040537826   0.0000000000   0.0000000000
   0.4038563130   0.0000000000   0.0000000000
   0.4036585487   0.0000000000   0.0000000000
   0.4034604881   0.0000000000   0.0000000000
   0.4032621304   0.0000000000   0.0000000000
   0.4030634747   0.0000000000   0.0000000000
   0.4028645198   0.0000000000   0.0000000000
   0.4026652647   0.0000000000   0.0000000000
   0.4024657082   0.0000000000   0.0000000000
   0.4022658494   0.0000000000   0.0000000000
   0.4020656871   0.0000000000   0.0000000000
   0.4018652205   0.0000000000   0.0000000000
   0.4016644480   0.0000000000   0.0000000000
   0.4014633691   0.0000000000   0.0000000000
   0.4012619823   0.0000000000   0.0000000000
   0.4010602866   0.0000000000   0.0000000000
   0.4008582808   0.0000000000   0.0000000000
   0.4006559641   0.0000000000   0.0000000000
   0.4004533350   0.0000000000   0.0000000000
   0.4002503925   0.0000000000   0.0000000000
   0.4000471358   0.0000000000   0.0000000000
   0.3998435632   0.0000000000   0.0000000000
   0.3996396739   0.0000000000   0.0000000000
   0.3994354666   0.0000000000   0.0000000000
   0.3992309402   0.0000000000   0.0000000000
   0.3990260936   0.0000000000   0.0000000000
   0.3988209255   0.0000000000   0.0000000000
   0.3986154349   0.0000000000   0.0000000000
   0.3984096203   0.0000000000   0.0000000000
   0.3982034808   0.0000000000   0.0000000000
   0.3979970151   0.0000000000   0.0000000000
   0.3977902220   0.0000000000   0.0000000000
   0.3975831002   0.0000000000   0.0000000000
   0.3973756486   0.0000000000   0.0000000000
   0.3971678659   0.0000000000   0.0000000000
   0.3969597509   0.0000000000   0.0000000000
   0.3967513021   0.0000000000   0.0000000000
   0.3965425188   0.0000000000   0.0000000000
   0.3963333992   0.0000000000   0.0000000000
   0.3961239425   0.0000000000   0.0000000000
   0.3959141470   0.0000000000   0.0000000000
   0.3957040116   0.0000000000   0.0000000000
   0.3954935351   0.0000000000   0.0000000000
   0.3952827160   0.0000000000   0.0000000000
   0.3950715531   0.0000000000   0.0000000000
   0.3948600453   0.0000000000   0.0000000000
   0.3946481908   0.0000000000   0.0000000000
   0.3944359888   0.0000000000   0.0000000000
   0.3942234374   0.0000000000   0.0000000000
   0.3940105359   0.0000000000   0.0000000000
   0.3937972824   0.0000000000   0.0000000000
   0.3935836757   0.0000000000   0.0000000000
   0.3933697147   0.0000000000   0.0000000000
   0.3931553976   0.0000000000   0.0000000000
   0.3929407234   0.0000000000   0.0000000000
   0.3927256904   0.0000000000   0.0000000000
   0.3925102973   0.0000000000   0.0000000000
   0.3922945427   0.0000000000   0.0000000000
   0.3920784252   0.0000000000   0.0000000000
   0.3918619434   0.0000000000   0.0000000000
   0.3916450958   0.0000000000   0.0000000000
   0.3914278809   0.0000000000   0.0000000000
   0.3912102975   0.0000000000   0.0000000000
   0.3909923438   0.0000000000   0.0000000000
   0.3907740184   0.0000000000   0.0000000000
   0.3905553200   0.0000000000   0.0000000000
   0.3903362470   0.0000000000   0.0000000000
   0.3901167979   0.0000000000   0.0000000000
   0.3898969712   0.0000000000   0.0000000000
   0.3896767653   0.0000000000   0.0000000000
   0.3894561787   0.0000000000   0.0000000000
   0.3892352099   0.0000000000   0.0000000000
   0.3890138575   0.0000000000   0.0000000000
   0.3887921196   0.0000000000   0.0000000000
   0.3885699948   0.0000000000   0.0000000000
   0.3883474816   0.0000000000   0.0000000000
   0.3881245784   0.0000000000   0.0000000000
   0.3879012833   0.0000000000   0.0000000000
   0.3876775951   0.0000000000   0.0000000000
   0.3874535121   0.0000000000   0.0000000000
   0.3872290323   0.0000000000   0.0000000000
   0.3870041544   0.0000000000   0.0000000000
   0.3867788769   0.0000000000   0.0000000000
   0.3865531976   0.0000000000   0.0000000000
   0.3863271153   0.0000000000   0.0000000000
   0.3861006280   0.0000000000   0.0000000000
   0.3858737343   0.0000000000   0.0000000000
   0.3856464323   0.0000000000   0.0000000000
   0.3854187204   0.0000000000   0.0000000000
   0.3851905965   0.0000000000   0.0000000000
   0.3849620594   0.0000000000   0.0000000000
   0.3847331069   0.0000000000   0.0000000000
   0.3845037376   0.0000000000   0.0000000000
   0.3842739495   0.0000000000   0.0000000000
   0.3840437407   0.0000000000   0.0000000000
   0.3838131098   0.0000000000   0.0000000000
   0.3835820545   0.0000000000   0.0000000000
   0.3833505733   0.0000000000   0.0000000000
   0.3831186643   0.0000000000   0.0000000000
   0.3828863255   0.0000000000   0.0000000000
   0.3826535554   0.0000000000   0.0000000000
   0.3824203516   0.0000000000   0.0000000000
   0.3821867126   0.0000000000   0.0000000000
   0.3819526363   0.0000000000   0.0000000000
   0.3817181210   0.0000000000   0.0000000000
   0.3814831645   0.0000000000   0.0000000000
   0.3812477652   0.0000000000   0.0000000000
   0.3810119207   0.0000000000   0.0000000000
   0.3807756294   0.0000000000   0.0000000000
   0.3805388891   0.0000000000   0.0000000000
   0.3803016980   0.0000000000   0.0000000000
   0.3800640539   0.0000000000   0.0000000000
   0.3798259548   0.0000000000   0.0000000000
   0.3795873989   0.0000000000   0.0000000000
   0.3793483838   0.0000000000   0.0000000000
   0.3791089077   0.0000000000   0.0000000000
   0.3788689683   0.0000000000   0.0000000000
   0.3786285637   0.0000000000   0.0000000000
   0.3783876915   0.0000000000   0.0000000000
   0.3781463499   0.0000000000   0.0000000000
   0.3779045367   0.0000000000   0.0000000000
   0.3776622496   0.0000000000   0.0000000000
   0.3774194865   0.0000000000   0.0000000000
   0.3771762451   0.0000000000   0.0000000000
   0.3769325234   0.0000000000   0.0000000000
   0.3766883191   0.0000000000   0.0000000000
   0.3764436298   0.0000000000   0.0000000000
   0.3761984536   0.0000000000   0.0000000000
   0.3759527878   0.0000000000   0.0000000000
   0.3757066305   0.0000000000   0.0000000000
   0.3754599790   0.0000000000   0.0000000000
   0.3752128313   0.0000000000   0.0000000000
   0.3749651850   0.0000000000   0.0000000000
   0.3747170376   0.0000000000   0.0000000000
   0.3744683869   0.0000000000   0.0000000000
   0.3742192305   0.0000000000   0.0000000000
   0.3739695657   0.0000000000   0.0000000000
   0.3737193906   0.0000000000   0.0000000000
   0.3734687022   0.0000000000   0.0000000000
   0.3732174985   0.0000000000   0.0000000000
   0.3729657767   0.0000000000   0.0000000000
   0.3727135345   0.0000000000   0.0000000000
   0.3724607692   0.0000000000   0.0000000000
   0.3722074784   0.0000000000   0.0000000000
   0.3719536595   0.0000000000   0.0000000000
   0.3716993098   0.0000000000   0.0000000000
   0.3714444269   0.0000000000   0.0000000000
   0.3711890080   0.0000000000   0.0000000000
   0.3709330506   0.0000000000   0.0000000000
   0.3706765520   0.0000000000   0.0000000000
   0.3704195097   0.0000000000   0.0000000000
   0.3701619206   0.0000000000   0.0000000000
   0.3699037823   0.0000000000   0.0000000000
   0.3696450918   0.0000000000   0.0000000000
   0.3693858467   0.0000000000   0.0000000000
   0.3691260439   0.0000000000   0.0000000000
   0.3688656807   0.0000000000   0.0000000000
   0.3686047542   0.0000000000   0.0000000000
   0.3683432617   0.0000000000   0.0000000000
   0.3680812002   0.0000000000   0.0000000000
   0.3678185668   0.0000000000   0.0000000000
   0.3675553587   0.0000000000   0.0000000000
   0.3672915728   0.0000000000   0.0000000000
   0.3670272062   0.0000000000   0.0000000000
   0.3667622560   0.0000000000   0.0000000000
   0.3664967191   0.0000000000   0.0000000000
   0.3662305922   0.0000000000   0.0000000000
   0.3659638728   0.0000000000   0.0000000000
   0.3656965573   0.0000000000   0.0000000000
   0.3654286427   0.0000000000   0.0000000000
   0.3651601260   0.0000000000   0.0000000000
   0.3648910039   0.0000000000   0.0000000000
   0.3646212734   0.0000000000   0.0000000000
   0.3643509312   0.0000000000   0.0000000000
   0.3640799738   0.0000000000   0.0000000000
   0.3638083982   0.0000000000   0.0000000000
   0.3635362009   0.0000000000   0.0000000000
   0.3632633788   0.0000000000   0.0000000000
   0.3629899284   0.0000000000   0.0000000000
   0.3627158463   0.0000000000   0.0000000000
   0.3624411292   0.0000000000   0.0000000000
   0.3621657735   0.0000000000   0.0000000000
   0.3618897758   0.0000000000   0.0000000000
   0.3616131326   0.0000000000   0.0000000000
   0.3613358403   0.0000000000   0.0000000000
   0.3610578955   0.0000000000   0.0000000000
   0.3607792945   0.0000000000   0.0000000000
   0.3605000335   0.0000000000   0.0000000000
   0.3602201092   0.0000000000   0.0000000000
   0.3599395175   0.0000000000   0.0000000000
   0.3596582551   0.0000000000   0.0000000000
   0.3593763180   0.0000000000   0.0000000000
   0.3590937024   0.0000000000   0.0000000000
   0.3588104045   0.0000000000   0.0000000000
   0.3585264206   0.0000000000   0.0000000000
   0.3582417465   0.0000000000   0.0000000000
   0.3579563786   0.0000000000   0.0000000000
   0.3576703126   0.0000000000   0.0000000000
   0.3573835448   0.0000000000   0.0000000000
   0.3570960712   0.0000000000   0.0000000000
   0.3568078875   0.0000000000   0.0000000000
   0.3565189898   0.0000000000   0.0000000000
   0.3562293738   0.0000000000   0.0000000000
   0.3559390352   0.0000000000   0.0000000000
   0.3556479701   0.0000000000   0.0000000000
   0.3553561741   0.0000000000   0.0000000000
   0.3550636428   0.0000000000   0.0000000000
   0.3547703720   0.0000000000   0.0000000000
   0.3544763574   0.0000000000   0.0000000000
   0.3541815944   0.0000000000   0.0000000000
   0.3538860786   0.0000000000   0.0000000000
   0.3535898055   0.0000000000   0.0000000000
   0.3532927705   0.0000000000   0.0000000000
   0.3529949691   0.0000000000   0.0000000000
   0.3526963968   0.0000000000   0.0000000000
   0.3523970486   0.0000000000   0.0000000000
   0.3520969201   0.0000000000   0.0000000000
   0.3517960064   0.0000000000   0.0000000000
   0.3514943026   0.0000000000   0.0000000000
   0.3511918039   0.0000000000   0.0000000000
   0.3508885054   0.0000000000   0.0000000000
   0.3505844023   0.0000000000   0.0000000000
   0.3502794894   0.0000000000   0.0000000000
   0.3499737618   0.0000000000   0.0000000000
   0.3496672144   0.0000000000   0.0000000000
   0.3493598419   0.0000000000   0.0000000000
   0.3490516392   0.0000000000   0.0000000000
   0.3487426011   0.0000000000   0.0000000000
   0.3484327222   0.0000000000   0.0000000000
   0.3481219972   0.0000000000   0.0000000000
   0.3478104208   0.0000000000   0.0000000000
   0.3474979873   0.0000000000   0.0000000000
   0.3471846914   0.0000000000   0.0000000000
   0.3468705274   0.0000000000   0.0000000000
   0.3465554897   0.0000000000   0.0000000000
   0.3462395726   0.0000000000   0.0000000000
   0.3459227705   0.0000000000   0.0000000000
   0.3456050774   0.0000000000   0.0000000000
   0.3452864874   0.0000000000   0.0000000000
   0.3449669949   0.0000000000   0.0000000000
   0.3446465936   0.0000000000   0.0000000000
   0.3443252776   0.0000000000   0.0000000000
   0.3440030407   0.0000000000   0.0000000000
   0.3436798767   0.0000000000   0.0000000000
   0.3433557796   0.0000000000   0.0000000000
   0.3430307430   0.0000000000   0.0000000000
   0.3427047602   0.0000000000   0.0000000000
   0.3423778252   0.0000000000   0.0000000000
   0.3420499311   0.0000000000   0.0000000000
   0.3417210717   0.0000000000   0.0000000000
   0.3413912400   0.0000000000   0.0000000000
