   7811.0010000000002     
   62.500000000000000              501
   2.1104945855   0.0000000000   0.0000000000
   2.1096506803   0.0000000000   0.0000000000
   2.1088057595   0.0000000000   0.0000000000
   2.1079598217   0.0000000000   0.0000000000
   2.1071128636   0.0000000000   0.0000000000
   2.1062648820   0.0000000000   0.0000000000
   2.1054158746   0.0000000000   0.0000000000
   2.1045658373   0.0000000000   0.0000000000
   2.1037147688   0.0000000000   0.0000000000
   2.1028626656   0.0000000000   0.0000000000
   2.1020095252   0.0000000000   0.0000000000
   2.1011553430   0.0000000000   0.0000000000
   2.1003001176   0.0000000000   0.0000000000
   2.0994438445   0.0000000000   0.0000000000
   2.0985865223   0.0000000000   0.0000000000
   2.0977281480   0.0000000000   0.0000000000
   2.0968687176   0.0000000000   0.0000000000
   2.0960082280   0.0000000000   0.0000000000
   2.0951466774   0.0000000000   0.0000000000
   2.0942840611   0.0000000000   0.0000000000
   2.0934203779   0.0000000000   0.0000000000
   2.0925556230   0.0000000000   0.0000000000
   2.0916897940   0.0000000000   0.0000000000
   2.0908228873   0.0000000000   0.0000000000
   2.0899549007   0.0000000000   0.0000000000
   2.0890858304   0.0000000000   0.0000000000
   2.0882156741   0.0000000000   0.0000000000
   2.0873444270   0.0000000000   0.0000000000
   2.0864720874   0.0000000000   0.0000000000
   2.0855986517   0.0000000000   0.0000000000
   2.0847241156   0.0000000000   0.0000000000
   2.0838484775   0.0000000000   0.0000000000
   2.0829717331   0.0000000000   0.0000000000
   2.0820938795   0.0000000000   0.0000000000
   2.0812149136   0.0000000000   0.0000000000
   2.0803348320   0.0000000000   0.0000000000
   2.0794536310   0.0000000000   0.0000000000
   2.0785713070   0.0000000000   0.0000000000
   2.0776878577   0.0000000000   0.0000000000
   2.0768032794   0.0000000000   0.0000000000
   2.0759175687   0.0000000000   0.0000000000
   2.0750307219   0.0000000000   0.0000000000
   2.0741427355   0.0000000000   0.0000000000
   2.0732536071   0.0000000000   0.0000000000
   2.0723633318   0.0000000000   0.0000000000
   2.0714719074   0.0000000000   0.0000000000
   2.0705793290   0.0000000000   0.0000000000
   2.0696855949   0.0000000000   0.0000000000
   2.0687907003   0.0000000000   0.0000000000
   2.0678946423   0.0000000000   0.0000000000
   2.0669974171   0.0000000000   0.0000000000
   2.0660990213   0.0000000000   0.0000000000
   2.0651994508   0.0000000000   0.0000000000
   2.0642987030   0.0000000000   0.0000000000
   2.0633967727   0.0000000000   0.0000000000
   2.0624936586   0.0000000000   0.0000000000
   2.0615893548   0.0000000000   0.0000000000
   2.0606838589   0.0000000000   0.0000000000
   2.0597771674   0.0000000000   0.0000000000
   2.0588692754   0.0000000000   0.0000000000
   2.0579601806   0.0000000000   0.0000000000
   2.0570498782   0.0000000000   0.0000000000
   2.0561383646   0.0000000000   0.0000000000
   2.0552256369   0.0000000000   0.0000000000
   2.0543116902   0.0000000000   0.0000000000
   2.0533965217   0.0000000000   0.0000000000
   2.0524801265   0.0000000000   0.0000000000
   2.0515625023   0.0000000000   0.0000000000
   2.0506436431   0.0000000000   0.0000000000
   2.0497235464   0.0000000000   0.0000000000
   2.0488022088   0.0000000000   0.0000000000
   2.0478796255   0.0000000000   0.0000000000
   2.0469557922   0.0000000000   0.0000000000
   2.0460307055   0.0000000000   0.0000000000
   2.0451043623   0.0000000000   0.0000000000
   2.0441767567   0.0000000000   0.0000000000
   2.0432478862   0.0000000000   0.0000000000
   2.0423177462   0.0000000000   0.0000000000
   2.0413863330   0.0000000000   0.0000000000
   2.0404536419   0.0000000000   0.0000000000
   2.0395196693   0.0000000000   0.0000000000
   2.0385844111   0.0000000000   0.0000000000
   2.0376478623   0.0000000000   0.0000000000
   2.0367100202   0.0000000000   0.0000000000
   2.0357708799   0.0000000000   0.0000000000
