#eps (GeV/fm^3)   P (GeV/fm^3)      s (fm^-3)    n_b (fm^-3)     T (MeV)  mu_b (MeV)  mu_s (MeV) 
0.0156156915  0.0034833744  0.1909000632  0.0000000000  100.00  0.00000  0.00000 
0.0208588490  0.0045569206  0.2420341912  0.0000000000  105.00  0.00000  0.00000 
0.0277649637  0.0059227410  0.3062026942  0.0000000000  110.00  0.00000  0.00000 
0.0367687812  0.0076441041  0.3861835831  0.0000000000  115.00  0.00000  0.00000 
0.0485163886  0.0098156396  0.4860809416  0.0000000000  120.00  0.00000  0.00000 
0.0637661983  0.0125454000  0.6104753767  0.0000000000  125.00  0.00000  0.00000 
0.0834826507  0.0159695827  0.7650075426  0.0000000000  130.00  0.00000  0.00000 
0.1088617851  0.0202556920  0.9564232723  0.0000000000  135.00  0.00000  0.00000 
0.1413701444  0.0256080585  1.1926972686  0.0000000000  140.00  0.00000  0.00000 
0.1827776026  0.0322726787  1.4831033576  0.0000000000  145.00  0.00000  0.00000 
0.2352223025  0.0405470055  1.8384605642  0.0000000000  150.00  0.00000  0.00000 
0.3012490206  0.0507860476  2.2711927608  0.0000000000  155.00  0.00000  0.00000 
0.3838654061  0.0634114308  2.7954781477  0.0000000000  160.00  0.00000  0.00000 
0.4865923753  0.0789199625  3.4273464556  0.0000000000  165.00  0.00000  0.00000 
0.6135242431  0.0978939875  4.1848121693  0.0000000000  170.00  0.00000  0.00000 
0.7693784197  0.1210106674  5.0879370583  0.0000000000  175.00  0.00000  0.00000 
0.9595539369  0.1490529623  6.1589266260  0.0000000000  180.00  0.00000  0.00000 
