  1.00000000000000002E-003
  2.00000000000000004E-003         501
   0.1809716334   0.0000000000   0.0000000000
   0.1809255711   0.0000000000   0.0000000000
   0.1808794273   0.0000000000   0.0000000000
   0.1808332016   0.0000000000   0.0000000000
   0.1807868938   0.0000000000   0.0000000000
   0.1807405035   0.0000000000   0.0000000000
   0.1806940303   0.0000000000   0.0000000000
   0.1806474741   0.0000000000   0.0000000000
   0.1806008344   0.0000000000   0.0000000000
   0.1805541109   0.0000000000   0.0000000000
   0.1805073033   0.0000000000   0.0000000000
   0.1804604112   0.0000000000   0.0000000000
   0.1804134344   0.0000000000   0.0000000000
   0.1803663726   0.0000000000   0.0000000000
   0.1803192252   0.0000000000   0.0000000000
   0.1802719921   0.0000000000   0.0000000000
   0.1802246730   0.0000000000   0.0000000000
   0.1801772673   0.0000000000   0.0000000000
   0.1801297749   0.0000000000   0.0000000000
   0.1800821953   0.0000000000   0.0000000000
   0.1800345283   0.0000000000   0.0000000000
   0.1799867734   0.0000000000   0.0000000000
   0.1799389304   0.0000000000   0.0000000000
   0.1798909988   0.0000000000   0.0000000000
   0.1798429784   0.0000000000   0.0000000000
   0.1797948687   0.0000000000   0.0000000000
   0.1797466694   0.0000000000   0.0000000000
   0.1796983801   0.0000000000   0.0000000000
   0.1796500005   0.0000000000   0.0000000000
   0.1796015302   0.0000000000   0.0000000000
   0.1795529688   0.0000000000   0.0000000000
   0.1795043160   0.0000000000   0.0000000000
   0.1794555714   0.0000000000   0.0000000000
   0.1794067346   0.0000000000   0.0000000000
   0.1793578052   0.0000000000   0.0000000000
   0.1793087829   0.0000000000   0.0000000000
   0.1792596673   0.0000000000   0.0000000000
   0.1792104580   0.0000000000   0.0000000000
   0.1791611545   0.0000000000   0.0000000000
   0.1791117566   0.0000000000   0.0000000000
   0.1790622638   0.0000000000   0.0000000000
   0.1790126757   0.0000000000   0.0000000000
   0.1789629919   0.0000000000   0.0000000000
   0.1789132121   0.0000000000   0.0000000000
   0.1788633358   0.0000000000   0.0000000000
   0.1788133626   0.0000000000   0.0000000000
   0.1787632921   0.0000000000   0.0000000000
   0.1787131239   0.0000000000   0.0000000000
   0.1786628576   0.0000000000   0.0000000000
   0.1786124928   0.0000000000   0.0000000000
   0.1785620290   0.0000000000   0.0000000000
   0.1785114659   0.0000000000   0.0000000000
   0.1784608029   0.0000000000   0.0000000000
   0.1784100398   0.0000000000   0.0000000000
   0.1783591760   0.0000000000   0.0000000000
   0.1783082111   0.0000000000   0.0000000000
   0.1782571447   0.0000000000   0.0000000000
   0.1782059763   0.0000000000   0.0000000000
   0.1781547056   0.0000000000   0.0000000000
   0.1781033320   0.0000000000   0.0000000000
   0.1780518551   0.0000000000   0.0000000000
