   1.0009999999999999     
  2.00000000000000004E-002         501
   0.2813477613   0.0000000000   0.0000000000
   0.2812277904   0.0000000000   0.0000000000
   0.2811076629   0.0000000000   0.0000000000
   0.2809873784   0.0000000000   0.0000000000
   0.2808669361   0.0000000000   0.0000000000
   0.2807463358   0.0000000000   0.0000000000
   0.2806255771   0.0000000000   0.0000000000
   0.2805046593   0.0000000000   0.0000000000
   0.2803835820   0.0000000000   0.0000000000
   0.2802623446   0.0000000000   0.0000000000
   0.2801409469   0.0000000000   0.0000000000
   0.2800193883   0.0000000000   0.0000000000
   0.2798976682   0.0000000000   0.0000000000
   0.2797757862   0.0000000000   0.0000000000
   0.2796537419   0.0000000000   0.0000000000
   0.2795315345   0.0000000000   0.0000000000
   0.2794091638   0.0000000000   0.0000000000
   0.2792866292   0.0000000000   0.0000000000
   0.2791639303   0.0000000000   0.0000000000
   0.2790410664   0.0000000000   0.0000000000
   0.2789180372   0.0000000000   0.0000000000
   0.2787948420   0.0000000000   0.0000000000
   0.2786714803   0.0000000000   0.0000000000
   0.2785479519   0.0000000000   0.0000000000
   0.2784242560   0.0000000000   0.0000000000
   0.2783003920   0.0000000000   0.0000000000
   0.2781763597   0.0000000000   0.0000000000
   0.2780521583   0.0000000000   0.0000000000
   0.2779277874   0.0000000000   0.0000000000
   0.2778032464   0.0000000000   0.0000000000
   0.2776785349   0.0000000000   0.0000000000
   0.2775536523   0.0000000000   0.0000000000
   0.2774285980   0.0000000000   0.0000000000
   0.2773033716   0.0000000000   0.0000000000
   0.2771779724   0.0000000000   0.0000000000
   0.2770524000   0.0000000000   0.0000000000
   0.2769266538   0.0000000000   0.0000000000
   0.2768007332   0.0000000000   0.0000000000
   0.2766746378   0.0000000000   0.0000000000
   0.2765483668   0.0000000000   0.0000000000
   0.2764219200   0.0000000000   0.0000000000
   0.2762952965   0.0000000000   0.0000000000
   0.2761684959   0.0000000000   0.0000000000
   0.2760415176   0.0000000000   0.0000000000
   0.2759143611   0.0000000000   0.0000000000
   0.2757870258   0.0000000000   0.0000000000
   0.2756595111   0.0000000000   0.0000000000
   0.2755318164   0.0000000000   0.0000000000
   0.2754039412   0.0000000000   0.0000000000
   0.2752758849   0.0000000000   0.0000000000
   0.2751476469   0.0000000000   0.0000000000
   0.2750192266   0.0000000000   0.0000000000
   0.2748906235   0.0000000000   0.0000000000
   0.2747618369   0.0000000000   0.0000000000
   0.2746328662   0.0000000000   0.0000000000
   0.2745037109   0.0000000000   0.0000000000
   0.2743743703   0.0000000000   0.0000000000
   0.2742448439   0.0000000000   0.0000000000
   0.2741151311   0.0000000000   0.0000000000
   0.2739852313   0.0000000000   0.0000000000
   0.2738551437   0.0000000000   0.0000000000
   0.2737248679   0.0000000000   0.0000000000
   0.2735944032   0.0000000000   0.0000000000
   0.2734637491   0.0000000000   0.0000000000
   0.2733329046   0.0000000000   0.0000000000
   0.2732018696   0.0000000000   0.0000000000
   0.2730706431   0.0000000000   0.0000000000
   0.2729392245   0.0000000000   0.0000000000
   0.2728076134   0.0000000000   0.0000000000
   0.2726758089   0.0000000000   0.0000000000
   0.2725438105   0.0000000000   0.0000000000
   0.2724116176   0.0000000000   0.0000000000
   0.2722792294   0.0000000000   0.0000000000
   0.2721466453   0.0000000000   0.0000000000
   0.2720138648   0.0000000000   0.0000000000
   0.2718808870   0.0000000000   0.0000000000
   0.2717477114   0.0000000000   0.0000000000
   0.2716143373   0.0000000000   0.0000000000
   0.2714807640   0.0000000000   0.0000000000
   0.2713469909   0.0000000000   0.0000000000
   0.2712130172   0.0000000000   0.0000000000
   0.2710788424   0.0000000000   0.0000000000
   0.2709444657   0.0000000000   0.0000000000
   0.2708098864   0.0000000000   0.0000000000
   0.2706751040   0.0000000000   0.0000000000
   0.2705401175   0.0000000000   0.0000000000
   0.2704049264   0.0000000000   0.0000000000
   0.2702695300   0.0000000000   0.0000000000
   0.2701339276   0.0000000000   0.0000000000
   0.2699981184   0.0000000000   0.0000000000
   0.2698621018   0.0000000000   0.0000000000
   0.2697258772   0.0000000000   0.0000000000
   0.2695894435   0.0000000000   0.0000000000
   0.2694528004   0.0000000000   0.0000000000
   0.2693159469   0.0000000000   0.0000000000
   0.2691788825   0.0000000000   0.0000000000
   0.2690416061   0.0000000000   0.0000000000
   0.2689041174   0.0000000000   0.0000000000
   0.2687664153   0.0000000000   0.0000000000
   0.2686284994   0.0000000000   0.0000000000
   0.2684903688   0.0000000000   0.0000000000
   0.2683520226   0.0000000000   0.0000000000
   0.2682134603   0.0000000000   0.0000000000
   0.2680746809   0.0000000000   0.0000000000
   0.2679356839   0.0000000000   0.0000000000
   0.2677964683   0.0000000000   0.0000000000
   0.2676570335   0.0000000000   0.0000000000
   0.2675173786   0.0000000000   0.0000000000
   0.2673775029   0.0000000000   0.0000000000
   0.2672374056   0.0000000000   0.0000000000
   0.2670970860   0.0000000000   0.0000000000
   0.2669565432   0.0000000000   0.0000000000
   0.2668157764   0.0000000000   0.0000000000
   0.2666747849   0.0000000000   0.0000000000
   0.2665335677   0.0000000000   0.0000000000
   0.2663921243   0.0000000000   0.0000000000
   0.2662504537   0.0000000000   0.0000000000
   0.2661085550   0.0000000000   0.0000000000
   0.2659664277   0.0000000000   0.0000000000
   0.2658240706   0.0000000000   0.0000000000
   0.2656814832   0.0000000000   0.0000000000
   0.2655386645   0.0000000000   0.0000000000
   0.2653956137   0.0000000000   0.0000000000
   0.2652523299   0.0000000000   0.0000000000
   0.2651088123   0.0000000000   0.0000000000
   0.2649650600   0.0000000000   0.0000000000
   0.2648210724   0.0000000000   0.0000000000
   0.2646768483   0.0000000000   0.0000000000
   0.2645323871   0.0000000000   0.0000000000
   0.2643876877   0.0000000000   0.0000000000
   0.2642427495   0.0000000000   0.0000000000
   0.2640975714   0.0000000000   0.0000000000
   0.2639521526   0.0000000000   0.0000000000
   0.2638064922   0.0000000000   0.0000000000
   0.2636605893   0.0000000000   0.0000000000
   0.2635144432   0.0000000000   0.0000000000
   0.2633680527   0.0000000000   0.0000000000
   0.2632214171   0.0000000000   0.0000000000
   0.2630745353   0.0000000000   0.0000000000
   0.2629274066   0.0000000000   0.0000000000
   0.2627800300   0.0000000000   0.0000000000
   0.2626324046   0.0000000000   0.0000000000
   0.2624845293   0.0000000000   0.0000000000
   0.2623364035   0.0000000000   0.0000000000
   0.2621880260   0.0000000000   0.0000000000
   0.2620393959   0.0000000000   0.0000000000
   0.2618905123   0.0000000000   0.0000000000
   0.2617413744   0.0000000000   0.0000000000
   0.2615919809   0.0000000000   0.0000000000
   0.2614423311   0.0000000000   0.0000000000
   0.2612924239   0.0000000000   0.0000000000
   0.2611422583   0.0000000000   0.0000000000
   0.2609918335   0.0000000000   0.0000000000
   0.2608411484   0.0000000000   0.0000000000
   0.2606902020   0.0000000000   0.0000000000
   0.2605389934   0.0000000000   0.0000000000
   0.2603875215   0.0000000000   0.0000000000
   0.2602357853   0.0000000000   0.0000000000
   0.2600837838   0.0000000000   0.0000000000
   0.2599315160   0.0000000000   0.0000000000
   0.2597789810   0.0000000000   0.0000000000
   0.2596261775   0.0000000000   0.0000000000
   0.2594731047   0.0000000000   0.0000000000
   0.2593197615   0.0000000000   0.0000000000
   0.2591661467   0.0000000000   0.0000000000
   0.2590122595   0.0000000000   0.0000000000
   0.2588580988   0.0000000000   0.0000000000
   0.2587036633   0.0000000000   0.0000000000
   0.2585489523   0.0000000000   0.0000000000
   0.2583939644   0.0000000000   0.0000000000
   0.2582386986   0.0000000000   0.0000000000
   0.2580831540   0.0000000000   0.0000000000
   0.2579273294   0.0000000000   0.0000000000
   0.2577712236   0.0000000000   0.0000000000
   0.2576148356   0.0000000000   0.0000000000
   0.2574581644   0.0000000000   0.0000000000
   0.2573012087   0.0000000000   0.0000000000
   0.2571439674   0.0000000000   0.0000000000
   0.2569864394   0.0000000000   0.0000000000
   0.2568286236   0.0000000000   0.0000000000
   0.2566705190   0.0000000000   0.0000000000
   0.2565121241   0.0000000000   0.0000000000
   0.2563534380   0.0000000000   0.0000000000
   0.2561944596   0.0000000000   0.0000000000
   0.2560351876   0.0000000000   0.0000000000
   0.2558756209   0.0000000000   0.0000000000
   0.2557157583   0.0000000000   0.0000000000
   0.2555555985   0.0000000000   0.0000000000
   0.2553951404   0.0000000000   0.0000000000
   0.2552343830   0.0000000000   0.0000000000
   0.2550733248   0.0000000000   0.0000000000
   0.2549119648   0.0000000000   0.0000000000
   0.2547503016   0.0000000000   0.0000000000
   0.2545883340   0.0000000000   0.0000000000
   0.2544260611   0.0000000000   0.0000000000
   0.2542634813   0.0000000000   0.0000000000
   0.2541005934   0.0000000000   0.0000000000
   0.2539373963   0.0000000000   0.0000000000
   0.2537738887   0.0000000000   0.0000000000
   0.2536100692   0.0000000000   0.0000000000
   0.2534459368   0.0000000000   0.0000000000
   0.2532814900   0.0000000000   0.0000000000
   0.2531167275   0.0000000000   0.0000000000
   0.2529516482   0.0000000000   0.0000000000
   0.2527862506   0.0000000000   0.0000000000
   0.2526205336   0.0000000000   0.0000000000
   0.2524544958   0.0000000000   0.0000000000
   0.2522881358   0.0000000000   0.0000000000
   0.2521214523   0.0000000000   0.0000000000
   0.2519544440   0.0000000000   0.0000000000
   0.2517871097   0.0000000000   0.0000000000
   0.2516194478   0.0000000000   0.0000000000
   0.2514514572   0.0000000000   0.0000000000
   0.2512831363   0.0000000000   0.0000000000
   0.2511144839   0.0000000000   0.0000000000
   0.2509454985   0.0000000000   0.0000000000
   0.2507761788   0.0000000000   0.0000000000
   0.2506065234   0.0000000000   0.0000000000
   0.2504365309   0.0000000000   0.0000000000
   0.2502661999   0.0000000000   0.0000000000
   0.2500955290   0.0000000000   0.0000000000
