   11.000999999999999     
  0.10000000000000001              501
   0.4245490981   0.0000000000   0.0000000000
   0.4243792472   0.0000000000   0.0000000000
   0.4242091887   0.0000000000   0.0000000000
   0.4240389221   0.0000000000   0.0000000000
   0.4238684466   0.0000000000   0.0000000000
   0.4236977617   0.0000000000   0.0000000000
   0.4235268668   0.0000000000   0.0000000000
   0.4233557612   0.0000000000   0.0000000000
   0.4231844447   0.0000000000   0.0000000000
   0.4230129161   0.0000000000   0.0000000000
   0.4228411751   0.0000000000   0.0000000000
   0.4226692211   0.0000000000   0.0000000000
   0.4224970534   0.0000000000   0.0000000000
   0.4223246714   0.0000000000   0.0000000000
   0.4221520745   0.0000000000   0.0000000000
   0.4219792622   0.0000000000   0.0000000000
   0.4218062334   0.0000000000   0.0000000000
   0.4216329881   0.0000000000   0.0000000000
   0.4214595251   0.0000000000   0.0000000000
   0.4212858441   0.0000000000   0.0000000000
   0.4211119445   0.0000000000   0.0000000000
   0.4209378254   0.0000000000   0.0000000000
   0.4207634862   0.0000000000   0.0000000000
   0.4205889266   0.0000000000   0.0000000000
   0.4204141455   0.0000000000   0.0000000000
   0.4202391424   0.0000000000   0.0000000000
   0.4200639167   0.0000000000   0.0000000000
   0.4198884676   0.0000000000   0.0000000000
   0.4197127945   0.0000000000   0.0000000000
   0.4195368969   0.0000000000   0.0000000000
   0.4193607739   0.0000000000   0.0000000000
   0.4191844249   0.0000000000   0.0000000000
   0.4190078493   0.0000000000   0.0000000000
   0.4188310463   0.0000000000   0.0000000000
   0.4186540153   0.0000000000   0.0000000000
   0.4184767555   0.0000000000   0.0000000000
   0.4182992663   0.0000000000   0.0000000000
   0.4181215470   0.0000000000   0.0000000000
   0.4179435968   0.0000000000   0.0000000000
   0.4177654152   0.0000000000   0.0000000000
   0.4175870012   0.0000000000   0.0000000000
   0.4174083545   0.0000000000   0.0000000000
   0.4172294741   0.0000000000   0.0000000000
   0.4170503592   0.0000000000   0.0000000000
   0.4168710094   0.0000000000   0.0000000000
   0.4166914236   0.0000000000   0.0000000000
   0.4165116014   0.0000000000   0.0000000000
   0.4163315419   0.0000000000   0.0000000000
   0.4161512444   0.0000000000   0.0000000000
   0.4159707082   0.0000000000   0.0000000000
   0.4157899325   0.0000000000   0.0000000000
   0.4156089165   0.0000000000   0.0000000000
   0.4154276597   0.0000000000   0.0000000000
   0.4152461611   0.0000000000   0.0000000000
   0.4150644200   0.0000000000   0.0000000000
   0.4148824359   0.0000000000   0.0000000000
   0.4147002075   0.0000000000   0.0000000000
   0.4145177346   0.0000000000   0.0000000000
   0.4143350159   0.0000000000   0.0000000000
   0.4141520511   0.0000000000   0.0000000000
   0.4139688393   0.0000000000   0.0000000000
   0.4137853794   0.0000000000   0.0000000000
   0.4136016711   0.0000000000   0.0000000000
   0.4134177131   0.0000000000   0.0000000000
   0.4132335050   0.0000000000   0.0000000000
   0.4130490459   0.0000000000   0.0000000000
   0.4128643349   0.0000000000   0.0000000000
   0.4126793713   0.0000000000   0.0000000000
   0.4124941543   0.0000000000   0.0000000000
   0.4123086832   0.0000000000   0.0000000000
   0.4121229567   0.0000000000   0.0000000000
   0.4119369744   0.0000000000   0.0000000000
   0.4117507356   0.0000000000   0.0000000000
   0.4115642389   0.0000000000   0.0000000000
   0.4113774841   0.0000000000   0.0000000000
   0.4111904699   0.0000000000   0.0000000000
   0.4110031957   0.0000000000   0.0000000000
   0.4108156607   0.0000000000   0.0000000000
   0.4106278638   0.0000000000   0.0000000000
   0.4104398043   0.0000000000   0.0000000000
   0.4102514813   0.0000000000   0.0000000000
   0.4100628940   0.0000000000   0.0000000000
   0.4098740414   0.0000000000   0.0000000000
   0.4096849228   0.0000000000   0.0000000000
   0.4094955372   0.0000000000   0.0000000000
   0.4093058837   0.0000000000   0.0000000000
   0.4091159616   0.0000000000   0.0000000000
   0.4089257697   0.0000000000   0.0000000000
   0.4087353074   0.0000000000   0.0000000000
   0.4085445736   0.0000000000   0.0000000000
   0.4083535675   0.0000000000   0.0000000000
   0.4081622881   0.0000000000   0.0000000000
   0.4079707346   0.0000000000   0.0000000000
   0.4077789060   0.0000000000   0.0000000000
   0.4075868014   0.0000000000   0.0000000000
   0.4073944198   0.0000000000   0.0000000000
   0.4072017603   0.0000000000   0.0000000000
   0.4070088222   0.0000000000   0.0000000000
   0.4068156042   0.0000000000   0.0000000000
   0.4066221055   0.0000000000   0.0000000000
   0.4064283249   0.0000000000   0.0000000000
   0.4062342621   0.0000000000   0.0000000000
   0.4060399155   0.0000000000   0.0000000000
   0.4058452842   0.0000000000   0.0000000000
   0.4056503675   0.0000000000   0.0000000000
   0.4054551642   0.0000000000   0.0000000000
   0.4052596735   0.0000000000   0.0000000000
   0.4050638943   0.0000000000   0.0000000000
   0.4048678256   0.0000000000   0.0000000000
   0.4046714664   0.0000000000   0.0000000000
   0.4044748155   0.0000000000   0.0000000000
   0.4042778724   0.0000000000   0.0000000000
   0.4040806355   0.0000000000   0.0000000000
   0.4038831041   0.0000000000   0.0000000000
   0.4036852772   0.0000000000   0.0000000000
   0.4034871536   0.0000000000   0.0000000000
   0.4032887322   0.0000000000   0.0000000000
   0.4030900121   0.0000000000   0.0000000000
   0.4028909925   0.0000000000   0.0000000000
   0.4026916718   0.0000000000   0.0000000000
   0.4024920493   0.0000000000   0.0000000000
   0.4022921237   0.0000000000   0.0000000000
   0.4020918942   0.0000000000   0.0000000000
   0.4018913595   0.0000000000   0.0000000000
   0.4016905186   0.0000000000   0.0000000000
   0.4014893702   0.0000000000   0.0000000000
   0.4012879137   0.0000000000   0.0000000000
   0.4010861475   0.0000000000   0.0000000000
   0.4008840706   0.0000000000   0.0000000000
   0.4006816818   0.0000000000   0.0000000000
   0.4004789805   0.0000000000   0.0000000000
   0.4002759650   0.0000000000   0.0000000000
   0.4000726341   0.0000000000   0.0000000000
   0.3998689871   0.0000000000   0.0000000000
   0.3996650227   0.0000000000   0.0000000000
   0.3994607396   0.0000000000   0.0000000000
   0.3992561366   0.0000000000   0.0000000000
   0.3990512127   0.0000000000   0.0000000000
   0.3988459668   0.0000000000   0.0000000000
   0.3986403974   0.0000000000   0.0000000000
   0.3984345034   0.0000000000   0.0000000000
   0.3982282839   0.0000000000   0.0000000000
   0.3980217374   0.0000000000   0.0000000000
   0.3978148626   0.0000000000   0.0000000000
   0.3976076586   0.0000000000   0.0000000000
   0.3974001238   0.0000000000   0.0000000000
   0.3971922574   0.0000000000   0.0000000000
   0.3969840578   0.0000000000   0.0000000000
   0.3967755239   0.0000000000   0.0000000000
   0.3965666544   0.0000000000   0.0000000000
   0.3963574480   0.0000000000   0.0000000000
   0.3961479036   0.0000000000   0.0000000000
   0.3959380198   0.0000000000   0.0000000000
   0.3957277951   0.0000000000   0.0000000000
   0.3955172286   0.0000000000   0.0000000000
   0.3953063188   0.0000000000   0.0000000000
   0.3950950643   0.0000000000   0.0000000000
   0.3948834639   0.0000000000   0.0000000000
   0.3946715162   0.0000000000   0.0000000000
   0.3944592199   0.0000000000   0.0000000000
   0.3942465738   0.0000000000   0.0000000000
   0.3940335763   0.0000000000   0.0000000000
   0.3938202263   0.0000000000   0.0000000000
   0.3936065222   0.0000000000   0.0000000000
   0.3933924626   0.0000000000   0.0000000000
   0.3931780463   0.0000000000   0.0000000000
   0.3929632720   0.0000000000   0.0000000000
   0.3927481379   0.0000000000   0.0000000000
   0.3925326428   0.0000000000   0.0000000000
   0.3923167855   0.0000000000   0.0000000000
   0.3921005643   0.0000000000   0.0000000000
   0.3918839777   0.0000000000   0.0000000000
   0.3916670246   0.0000000000   0.0000000000
   0.3914497032   0.0000000000   0.0000000000
   0.3912320121   0.0000000000   0.0000000000
   0.3910139500   0.0000000000   0.0000000000
   0.3907955154   0.0000000000   0.0000000000
   0.3905767066   0.0000000000   0.0000000000
   0.3903575223   0.0000000000   0.0000000000
   0.3901379608   0.0000000000   0.0000000000
   0.3899180207   0.0000000000   0.0000000000
   0.3896977005   0.0000000000   0.0000000000
   0.3894769987   0.0000000000   0.0000000000
   0.3892559136   0.0000000000   0.0000000000
   0.3890344436   0.0000000000   0.0000000000
   0.3888125873   0.0000000000   0.0000000000
   0.3885903432   0.0000000000   0.0000000000
   0.3883677094   0.0000000000   0.0000000000
   0.3881446847   0.0000000000   0.0000000000
   0.3879212669   0.0000000000   0.0000000000
   0.3876974551   0.0000000000   0.0000000000
   0.3874732471   0.0000000000   0.0000000000
   0.3872486415   0.0000000000   0.0000000000
   0.3870236366   0.0000000000   0.0000000000
   0.3867982306   0.0000000000   0.0000000000
   0.3865724223   0.0000000000   0.0000000000
   0.3863462094   0.0000000000   0.0000000000
   0.3861195906   0.0000000000   0.0000000000
   0.3858925641   0.0000000000   0.0000000000
   0.3856651281   0.0000000000   0.0000000000
   0.3854372811   0.0000000000   0.0000000000
   0.3852090210   0.0000000000   0.0000000000
   0.3849803463   0.0000000000   0.0000000000
   0.3847512553   0.0000000000   0.0000000000
   0.3845217460   0.0000000000   0.0000000000
   0.3842918166   0.0000000000   0.0000000000
   0.3840614655   0.0000000000   0.0000000000
   0.3838306907   0.0000000000   0.0000000000
   0.3835994906   0.0000000000   0.0000000000
   0.3833678631   0.0000000000   0.0000000000
   0.3831358065   0.0000000000   0.0000000000
   0.3829033191   0.0000000000   0.0000000000
   0.3826703986   0.0000000000   0.0000000000
   0.3824370434   0.0000000000   0.0000000000
   0.3822032516   0.0000000000   0.0000000000
   0.3819690212   0.0000000000   0.0000000000
   0.3817343502   0.0000000000   0.0000000000
   0.3814992369   0.0000000000   0.0000000000
   0.3812636792   0.0000000000   0.0000000000
   0.3810276750   0.0000000000   0.0000000000
   0.3807912225   0.0000000000   0.0000000000
   0.3805543197   0.0000000000   0.0000000000
   0.3803169646   0.0000000000   0.0000000000
   0.3800791550   0.0000000000   0.0000000000
   0.3798408890   0.0000000000   0.0000000000
   0.3796021645   0.0000000000   0.0000000000
   0.3793629796   0.0000000000   0.0000000000
   0.3791233320   0.0000000000   0.0000000000
   0.3788832197   0.0000000000   0.0000000000
   0.3786426405   0.0000000000   0.0000000000
   0.3784015923   0.0000000000   0.0000000000
   0.3781600731   0.0000000000   0.0000000000
   0.3779180806   0.0000000000   0.0000000000
   0.3776756126   0.0000000000   0.0000000000
   0.3774326671   0.0000000000   0.0000000000
   0.3771892417   0.0000000000   0.0000000000
   0.3769453341   0.0000000000   0.0000000000
   0.3767009424   0.0000000000   0.0000000000
   0.3764560642   0.0000000000   0.0000000000
   0.3762106971   0.0000000000   0.0000000000
   0.3759648389   0.0000000000   0.0000000000
   0.3757184873   0.0000000000   0.0000000000
   0.3754716400   0.0000000000   0.0000000000
   0.3752242944   0.0000000000   0.0000000000
   0.3749764486   0.0000000000   0.0000000000
   0.3747281001   0.0000000000   0.0000000000
   0.3744792462   0.0000000000   0.0000000000
   0.3742298848   0.0000000000   0.0000000000
   0.3739800133   0.0000000000   0.0000000000
   0.3737296294   0.0000000000   0.0000000000
   0.3734787305   0.0000000000   0.0000000000
   0.3732273143   0.0000000000   0.0000000000
   0.3729753781   0.0000000000   0.0000000000
   0.3727229195   0.0000000000   0.0000000000
   0.3724699359   0.0000000000   0.0000000000
   0.3722164249   0.0000000000   0.0000000000
   0.3719623836   0.0000000000   0.0000000000
   0.3717078095   0.0000000000   0.0000000000
   0.3714527003   0.0000000000   0.0000000000
   0.3711970530   0.0000000000   0.0000000000
   0.3709408650   0.0000000000   0.0000000000
   0.3706841338   0.0000000000   0.0000000000
   0.3704268566   0.0000000000   0.0000000000
   0.3701690306   0.0000000000   0.0000000000
   0.3699106533   0.0000000000   0.0000000000
   0.3696517215   0.0000000000   0.0000000000
