   7811.0010000000002     
   62.500000000000000              502
   2.1111559043   0.0000000000   0.0000000000
   2.1103130982   0.0000000000   0.0000000000
   2.1094692806   0.0000000000   0.0000000000
   2.1086244479   0.0000000000   0.0000000000
   2.1077785984   0.0000000000   0.0000000000
   2.1069317285   0.0000000000   0.0000000000
   2.1060838357   0.0000000000   0.0000000000
   2.1052349166   0.0000000000   0.0000000000
   2.1043849686   0.0000000000   0.0000000000
   2.1035339890   0.0000000000   0.0000000000
   2.1026819745   0.0000000000   0.0000000000
   2.1018289224   0.0000000000   0.0000000000
   2.1009748296   0.0000000000   0.0000000000
   2.1001196936   0.0000000000   0.0000000000
   2.0992635099   0.0000000000   0.0000000000
   2.0984062777   0.0000000000   0.0000000000
   2.0975479922   0.0000000000   0.0000000000
   2.0966886518   0.0000000000   0.0000000000
   2.0958282528   0.0000000000   0.0000000000
   2.0949667916   0.0000000000   0.0000000000
   2.0941042659   0.0000000000   0.0000000000
   2.0932406721   0.0000000000   0.0000000000
   2.0923760078   0.0000000000   0.0000000000
   2.0915102694   0.0000000000   0.0000000000
   2.0906434534   0.0000000000   0.0000000000
   2.0897755573   0.0000000000   0.0000000000
   2.0889065776   0.0000000000   0.0000000000
   2.0880365119   0.0000000000   0.0000000000
   2.0871653566   0.0000000000   0.0000000000
   2.0862931076   0.0000000000   0.0000000000
   2.0854197625   0.0000000000   0.0000000000
   2.0845453183   0.0000000000   0.0000000000
   2.0836697725   0.0000000000   0.0000000000
   2.0827931193   0.0000000000   0.0000000000
   2.0819153575   0.0000000000   0.0000000000
   2.0810364834   0.0000000000   0.0000000000
   2.0801564936   0.0000000000   0.0000000000
   2.0792753849   0.0000000000   0.0000000000
   2.0783931539   0.0000000000   0.0000000000
   2.0775097964   0.0000000000   0.0000000000
   2.0766253111   0.0000000000   0.0000000000
   2.0757396928   0.0000000000   0.0000000000
   2.0748529390   0.0000000000   0.0000000000
   2.0739650456   0.0000000000   0.0000000000
   2.0730760095   0.0000000000   0.0000000000
   2.0721858273   0.0000000000   0.0000000000
   2.0712944958   0.0000000000   0.0000000000
   2.0704020116   0.0000000000   0.0000000000
   2.0695083711   0.0000000000   0.0000000000
   2.0686135701   0.0000000000   0.0000000000
   2.0677176062   0.0000000000   0.0000000000
   2.0668204740   0.0000000000   0.0000000000
   2.0659221724   0.0000000000   0.0000000000
   2.0650226966   0.0000000000   0.0000000000
   2.0641220430   0.0000000000   0.0000000000
   2.0632202075   0.0000000000   0.0000000000
   2.0623171876   0.0000000000   0.0000000000
   2.0614129785   0.0000000000   0.0000000000
   2.0605075780   0.0000000000   0.0000000000
   2.0596009806   0.0000000000   0.0000000000
   2.0586931840   0.0000000000   0.0000000000
   2.0577841846   0.0000000000   0.0000000000
   2.0568739776   0.0000000000   0.0000000000
   2.0559625594   0.0000000000   0.0000000000
   2.0550499276   0.0000000000   0.0000000000
   2.0541360763   0.0000000000   0.0000000000
   2.0532210038   0.0000000000   0.0000000000
   2.0523047052   0.0000000000   0.0000000000
   2.0513871763   0.0000000000   0.0000000000
   2.0504684136   0.0000000000   0.0000000000
   2.0495484135   0.0000000000   0.0000000000
   2.0486271725   0.0000000000   0.0000000000
   2.0477046857   0.0000000000   0.0000000000
   2.0467809496   0.0000000000   0.0000000000
   2.0458559606   0.0000000000   0.0000000000
   2.0449297140   0.0000000000   0.0000000000
   2.0440022061   0.0000000000   0.0000000000
   2.0430734334   0.0000000000   0.0000000000
   2.0421433905   0.0000000000   0.0000000000
   2.0412120751   0.0000000000   0.0000000000
   2.0402794818   0.0000000000   0.0000000000
   2.0393456069   0.0000000000   0.0000000000
   2.0384104470   0.0000000000   0.0000000000
   2.0374739972   0.0000000000   0.0000000000
   2.0365362529   0.0000000000   0.0000000000
   2.0355972109   0.0000000000   0.0000000000
   2.0346568666   0.0000000000   0.0000000000
   2.0337152157   0.0000000000   0.0000000000
   2.0327722535   0.0000000000   0.0000000000
   2.0318279777   0.0000000000   0.0000000000
   2.0308823810   0.0000000000   0.0000000000
   2.0299354611   0.0000000000   0.0000000000
   2.0289872137   0.0000000000   0.0000000000
   2.0280376343   0.0000000000   0.0000000000
   2.0270867173   0.0000000000   0.0000000000
   2.0261344591   0.0000000000   0.0000000000
   2.0251808564   0.0000000000   0.0000000000
   2.0242259029   0.0000000000   0.0000000000
   2.0232695953   0.0000000000   0.0000000000
   2.0223119286   0.0000000000   0.0000000000
   2.0213528982   0.0000000000   0.0000000000
   2.0203925005   0.0000000000   0.0000000000
   2.0194307295   0.0000000000   0.0000000000
   2.0184675816   0.0000000000   0.0000000000
   2.0175030521   0.0000000000   0.0000000000
   2.0165371368   0.0000000000   0.0000000000
   2.0155698297   0.0000000000   0.0000000000
   2.0146011273   0.0000000000   0.0000000000
   2.0136310247   0.0000000000   0.0000000000
   2.0126595161   0.0000000000   0.0000000000
   2.0116865978   0.0000000000   0.0000000000
   2.0107122657   0.0000000000   0.0000000000
   2.0097365127   0.0000000000   0.0000000000
   2.0087593362   0.0000000000   0.0000000000
   2.0077807305   0.0000000000   0.0000000000
   2.0068006907   0.0000000000   0.0000000000
   2.0058192120   0.0000000000   0.0000000000
   2.0048362885   0.0000000000   0.0000000000
   2.0038519166   0.0000000000   0.0000000000
   2.0028660915   0.0000000000   0.0000000000
   2.0018788067   0.0000000000   0.0000000000
   2.0008900580   0.0000000000   0.0000000000
   1.9998998401   0.0000000000   0.0000000000
   1.9989081488   0.0000000000   0.0000000000
   1.9979149774   0.0000000000   0.0000000000
   1.9969203214   0.0000000000   0.0000000000
   1.9959241763   0.0000000000   0.0000000000
   1.9949265364   0.0000000000   0.0000000000
   1.9939273963   0.0000000000   0.0000000000
   1.9929267511   0.0000000000   0.0000000000
   1.9919245944   0.0000000000   0.0000000000
   1.9909209225   0.0000000000   0.0000000000
   1.9899157283   0.0000000000   0.0000000000
   1.9889090083   0.0000000000   0.0000000000
   1.9879007558   0.0000000000   0.0000000000
   1.9868909661   0.0000000000   0.0000000000
   1.9858796326   0.0000000000   0.0000000000
   1.9848667506   0.0000000000   0.0000000000
   1.9838523141   0.0000000000   0.0000000000
   1.9828363184   0.0000000000   0.0000000000
   1.9818187574   0.0000000000   0.0000000000
   1.9807996247   0.0000000000   0.0000000000
   1.9797789154   0.0000000000   0.0000000000
   1.9787566242   0.0000000000   0.0000000000
   1.9777327452   0.0000000000   0.0000000000
   1.9767072717   0.0000000000   0.0000000000
   1.9756801990   0.0000000000   0.0000000000
   1.9746515200   0.0000000000   0.0000000000
   1.9736212299   0.0000000000   0.0000000000
   1.9725893233   0.0000000000   0.0000000000
   1.9715557925   0.0000000000   0.0000000000
   1.9705206326   0.0000000000   0.0000000000
   1.9694838379   0.0000000000   0.0000000000
   1.9684454016   0.0000000000   0.0000000000
   1.9674053184   0.0000000000   0.0000000000
   1.9663635812   0.0000000000   0.0000000000
   1.9653201846   0.0000000000   0.0000000000
   1.9642751221   0.0000000000   0.0000000000
   1.9632283882   0.0000000000   0.0000000000
   1.9621799759   0.0000000000   0.0000000000
   1.9611298785   0.0000000000   0.0000000000
   1.9600780902   0.0000000000   0.0000000000
   1.9590246055   0.0000000000   0.0000000000
   1.9579694167   0.0000000000   0.0000000000
   1.9569125179   0.0000000000   0.0000000000
   1.9558539025   0.0000000000   0.0000000000
   1.9547935639   0.0000000000   0.0000000000
   1.9537314961   0.0000000000   0.0000000000
   1.9526676915   0.0000000000   0.0000000000
   1.9516021440   0.0000000000   0.0000000000
   1.9505348471   0.0000000000   0.0000000000
   1.9494657937   0.0000000000   0.0000000000
   1.9483949778   0.0000000000   0.0000000000
   1.9473223922   0.0000000000   0.0000000000
   1.9462480292   0.0000000000   0.0000000000
   1.9451718829   0.0000000000   0.0000000000
   1.9440939460   0.0000000000   0.0000000000
   1.9430142126   0.0000000000   0.0000000000
   1.9419326732   0.0000000000   0.0000000000
   1.9408493230   0.0000000000   0.0000000000
   1.9397641549   0.0000000000   0.0000000000
   1.9386771605   0.0000000000   0.0000000000
   1.9375883327   0.0000000000   0.0000000000
   1.9364976654   0.0000000000   0.0000000000
   1.9354051504   0.0000000000   0.0000000000
   1.9343107805   0.0000000000   0.0000000000
   1.9332145486   0.0000000000   0.0000000000
   1.9321164475   0.0000000000   0.0000000000
   1.9310164688   0.0000000000   0.0000000000
   1.9299146060   0.0000000000   0.0000000000
   1.9288108507   0.0000000000   0.0000000000
   1.9277051965   0.0000000000   0.0000000000
   1.9265976349   0.0000000000   0.0000000000
   1.9254881576   0.0000000000   0.0000000000
   1.9243767581   0.0000000000   0.0000000000
   1.9232634280   0.0000000000   0.0000000000
   1.9221481595   0.0000000000   0.0000000000
   1.9210309444   0.0000000000   0.0000000000
   1.9199117760   0.0000000000   0.0000000000
   1.9187906448   0.0000000000   0.0000000000
   1.9176675431   0.0000000000   0.0000000000
   1.9165424637   0.0000000000   0.0000000000
   1.9154153971   0.0000000000   0.0000000000
   1.9142863361   0.0000000000   0.0000000000
   1.9131552724   0.0000000000   0.0000000000
   1.9120221976   0.0000000000   0.0000000000
   1.9108871023   0.0000000000   0.0000000000
   1.9097499797   0.0000000000   0.0000000000
   1.9086108205   0.0000000000   0.0000000000
   1.9074696157   0.0000000000   0.0000000000
   1.9063263581   0.0000000000   0.0000000000
   1.9051810370   0.0000000000   0.0000000000
   1.9040336458   0.0000000000   0.0000000000
   1.9028841750   0.0000000000   0.0000000000
   1.9017326144   0.0000000000   0.0000000000
   1.9005789576   0.0000000000   0.0000000000
   1.8994231937   0.0000000000   0.0000000000
   1.8982653151   0.0000000000   0.0000000000
   1.8971053115   0.0000000000   0.0000000000
   1.8959431747   0.0000000000   0.0000000000
   1.8947788946   0.0000000000   0.0000000000
   1.8936124626   0.0000000000   0.0000000000
   1.8924438695   0.0000000000   0.0000000000
   1.8912731061   0.0000000000   0.0000000000
   1.8901001624   0.0000000000   0.0000000000
   1.8889250288   0.0000000000   0.0000000000
   1.8877476964   0.0000000000   0.0000000000
   1.8865681551   0.0000000000   0.0000000000
   1.8853863952   0.0000000000   0.0000000000
   1.8842024074   0.0000000000   0.0000000000
   1.8830161808   0.0000000000   0.0000000000
   1.8818277071   0.0000000000   0.0000000000
   1.8806369743   0.0000000000   0.0000000000
   1.8794439749   0.0000000000   0.0000000000
   1.8782486967   0.0000000000   0.0000000000
   1.8770511303   0.0000000000   0.0000000000
   1.8758512656   0.0000000000   0.0000000000
   1.8746490917   0.0000000000   0.0000000000
   1.8734445987   0.0000000000   0.0000000000
   1.8722377763   0.0000000000   0.0000000000
   1.8710286138   0.0000000000   0.0000000000
   1.8698170999   0.0000000000   0.0000000000
   1.8686032251   0.0000000000   0.0000000000
   1.8673869768   0.0000000000   0.0000000000
   1.8661683468   0.0000000000   0.0000000000
   1.8649473218   0.0000000000   0.0000000000
   1.8637238923   0.0000000000   0.0000000000
   1.8624980465   0.0000000000   0.0000000000
   1.8612697724   0.0000000000   0.0000000000
   1.8600390605   0.0000000000   0.0000000000
   1.8588058988   0.0000000000   0.0000000000
   1.8575702760   0.0000000000   0.0000000000
   1.8563321803   0.0000000000   0.0000000000
   1.8550915996   0.0000000000   0.0000000000
   1.8538485233   0.0000000000   0.0000000000
   1.8526029388   0.0000000000   0.0000000000
   1.8513548354   0.0000000000   0.0000000000
   1.8501042000   0.0000000000   0.0000000000
   1.8488510207   0.0000000000   0.0000000000
   1.8475952861   0.0000000000   0.0000000000
   1.8463369832   0.0000000000   0.0000000000
   1.8450761006   0.0000000000   0.0000000000
   1.8438126252   0.0000000000   0.0000000000
   1.8425465450   0.0000000000   0.0000000000
   1.8412778471   0.0000000000   0.0000000000
   1.8400065187   0.0000000000   0.0000000000
   1.8387325469   0.0000000000   0.0000000000
   1.8374559203   0.0000000000   0.0000000000
   1.8361766241   0.0000000000   0.0000000000
   1.8348946462   0.0000000000   0.0000000000
   1.8336099730   0.0000000000   0.0000000000
   1.8323225919   0.0000000000   0.0000000000
   1.8310324887   0.0000000000   0.0000000000
   1.8297396509   0.0000000000   0.0000000000
   1.8284440640   0.0000000000   0.0000000000
   1.8271457145   0.0000000000   0.0000000000
   1.8258445892   0.0000000000   0.0000000000
   1.8245406739   0.0000000000   0.0000000000
   1.8232339541   0.0000000000   0.0000000000
   1.8219244162   0.0000000000   0.0000000000
   1.8206120459   0.0000000000   0.0000000000
   1.8192968295   0.0000000000   0.0000000000
   1.8179787514   0.0000000000   0.0000000000
   1.8166577975   0.0000000000   0.0000000000
   1.8153339533   0.0000000000   0.0000000000
   1.8140072039   0.0000000000   0.0000000000
   1.8126775340   0.0000000000   0.0000000000
   1.8113449291   0.0000000000   0.0000000000
   1.8100093738   0.0000000000   0.0000000000
   1.8086708526   0.0000000000   0.0000000000
   1.8073293511   0.0000000000   0.0000000000
   1.8059848521   0.0000000000   0.0000000000
   1.8046373413   0.0000000000   0.0000000000
   1.8032868019   0.0000000000   0.0000000000
   1.8019332186   0.0000000000   0.0000000000
   1.8005765752   0.0000000000   0.0000000000
   1.7992168561   0.0000000000   0.0000000000
   1.7978540442   0.0000000000   0.0000000000
   1.7964881227   0.0000000000   0.0000000000
   1.7951190761   0.0000000000   0.0000000000
   1.7937468872   0.0000000000   0.0000000000
   1.7923715386   0.0000000000   0.0000000000
   1.7909930137   0.0000000000   0.0000000000
   1.7896112958   0.0000000000   0.0000000000
   1.7882263664   0.0000000000   0.0000000000
   1.7868382088   0.0000000000   0.0000000000
   1.7854468063   0.0000000000   0.0000000000
   1.7840521387   0.0000000000   0.0000000000
   1.7826541904   0.0000000000   0.0000000000
   1.7812529425   0.0000000000   0.0000000000
   1.7798483763   0.0000000000   0.0000000000
   1.7784404740   0.0000000000   0.0000000000
   1.7770292173   0.0000000000   0.0000000000
   1.7756145862   0.0000000000   0.0000000000
   1.7741965631   0.0000000000   0.0000000000
