 #eps (GeV/fm^3)   P (GeV/fm^3)      s (fm^-3)    n_b (fm^-3)     T (MeV)  mu_b (MeV)  mu_s (MeV)    
   0.0155405468   0.0034695616    0.1901010841   0.0000000000  100.00000     0.00000     0.00000
   0.0207973008   0.0045433613    0.2413396390   0.0000000000  105.00000     0.00000     0.00000
   0.0277032582   0.0059045005    0.3055250794   0.0000000000  110.00000     0.00000     0.00000
   0.0367561844   0.0076255998    0.3859285578   0.0000000000  115.00000     0.00000     0.00000
   0.0485926416   0.0097974904    0.4865844331   0.0000000000  120.00000     0.00000     0.00000
   0.0640193856   0.0125333560    0.6124219326   0.0000000000  125.00000     0.00000     0.00000
   0.0840490035   0.0159735522    0.7694042746   0.0000000000  130.00000     0.00000     0.00000
   0.1099396288   0.0202911346    0.9646723211   0.0000000000  135.00000     0.00000     0.00000
   0.1432384280   0.0256981091    1.2066895510   0.0000000000  140.00000     0.00000     0.00000
   0.1858284309   0.0324524046    1.5053850720   0.0000000000  145.00000     0.00000     0.00000
   0.2399781742   0.0408655480    1.8722914814   0.0000000000  150.00000     0.00000     0.00000
   0.3083935571   0.0513110106    2.3206746304   0.0000000000  155.00000     0.00000     0.00000
   0.3942712567   0.0642331765    2.8656527079   0.0000000000  160.00000     0.00000     0.00000
   0.5013530355   0.0801568760    3.5243024938   0.0000000000  165.00000     0.00000     0.00000
   0.6339802752   0.0996974139    4.3157511123   0.0000000000  170.00000     0.00000     0.00000
   0.7971481001   0.1235710186    5.2612521070   0.0000000000  175.00000     0.00000     0.00000
   0.9965584943   0.1526056300    6.3842451347   0.0000000000  180.00000     0.00000     0.00000
