 eps (GeV/fm^3)   P (GeV/fm^3)      s (fm^-3)    n_b (fm^-3)     T (MeV)  mu_b (MeV)  mu_s (MeV)    
   0.0003891865   0.0000809740    0.0094032096   0.0000000000   50.00000     0.00000     0.00000
   0.0004326192   0.0000908028    0.0102631781   0.0000000000   51.00000     0.00000     0.00000
   0.0004796510   0.0001015181    0.0111763293   0.0000000000   52.00000     0.00000     0.00000
   0.0005304935   0.0001131739    0.0121446686   0.0000000000   53.00000     0.00000     0.00000
   0.0005853683   0.0001258265    0.0131702745   0.0000000000   54.00000     0.00000     0.00000
   0.0006445075   0.0001395343    0.0142553049   0.0000000000   55.00000     0.00000     0.00000
   0.0007081545   0.0001543577    0.0154020023   0.0000000000   56.00000     0.00000     0.00000
   0.0007765643   0.0001703596    0.0166127000   0.0000000000   57.00000     0.00000     0.00000
   0.0008500049   0.0001876052    0.0178898288   0.0000000000   58.00000     0.00000     0.00000
   0.0009287572   0.0002061622    0.0192359226   0.0000000000   59.00000     0.00000     0.00000
   0.0010131166   0.0002261009    0.0206536257   0.0000000000   60.00000     0.00000     0.00000
   0.0011033934   0.0002474943    0.0221456996   0.0000000000   61.00000     0.00000     0.00000
   0.0011999138   0.0002704181    0.0237150297   0.0000000000   62.00000     0.00000     0.00000
   0.0013030208   0.0002949511    0.0253646332   0.0000000000   63.00000     0.00000     0.00000
   0.0014130755   0.0003211752    0.0270976666   0.0000000000   64.00000     0.00000     0.00000
   0.0015304579   0.0003491753    0.0289174337   0.0000000000   65.00000     0.00000     0.00000
   0.0016555679   0.0003790401    0.0308273943   0.0000000000   66.00000     0.00000     0.00000
   0.0017888272   0.0004108614    0.0328311724   0.0000000000   67.00000     0.00000     0.00000
   0.0019306795   0.0004447350    0.0349325660   0.0000000000   68.00000     0.00000     0.00000
   0.0020815930   0.0004807604    0.0371355558   0.0000000000   69.00000     0.00000     0.00000
   0.0022420608   0.0005190413    0.0394443162   0.0000000000   70.00000     0.00000     0.00000
   0.0024126032   0.0005596857    0.0418632240   0.0000000000   71.00000     0.00000     0.00000
   0.0025937687   0.0006028060    0.0443968711   0.0000000000   72.00000     0.00000     0.00000
   0.0027861361   0.0006485193    0.0470500746   0.0000000000   73.00000     0.00000     0.00000
   0.0029903161   0.0006969477    0.0498278888   0.0000000000   74.00000     0.00000     0.00000
   0.0032069529   0.0007482184    0.0527356176   0.0000000000   75.00000     0.00000     0.00000
   0.0034367268   0.0008024641    0.0557788275   0.0000000000   76.00000     0.00000     0.00000
   0.0036803556   0.0008598232    0.0589633608   0.0000000000   77.00000     0.00000     0.00000
   0.0039385973   0.0009204400    0.0622953496   0.0000000000   78.00000     0.00000     0.00000
   0.0042122521   0.0009844652    0.0657812306   0.0000000000   79.00000     0.00000     0.00000
   0.0045021648   0.0010520560    0.0694277603   0.0000000000   80.00000     0.00000     0.00000
   0.0048092279   0.0011233766    0.0732420304   0.0000000000   81.00000     0.00000     0.00000
   0.0051343833   0.0011985984    0.0772314851   0.0000000000   82.00000     0.00000     0.00000
