   11.000999999999999     
  0.10000000000000001              501
   0.4244809414   0.0000000000   0.0000000000
   0.4243110273   0.0000000000   0.0000000000
   0.4241409054   0.0000000000   0.0000000000
   0.4239705753   0.0000000000   0.0000000000
   0.4238000363   0.0000000000   0.0000000000
   0.4236292877   0.0000000000   0.0000000000
   0.4234583291   0.0000000000   0.0000000000
   0.4232871598   0.0000000000   0.0000000000
   0.4231157791   0.0000000000   0.0000000000
   0.4229441866   0.0000000000   0.0000000000
   0.4227723816   0.0000000000   0.0000000000
   0.4226003633   0.0000000000   0.0000000000
   0.4224281312   0.0000000000   0.0000000000
   0.4222556848   0.0000000000   0.0000000000
   0.4220830233   0.0000000000   0.0000000000
   0.4219101463   0.0000000000   0.0000000000
   0.4217370529   0.0000000000   0.0000000000
   0.4215637426   0.0000000000   0.0000000000
   0.4213902148   0.0000000000   0.0000000000
   0.4212164688   0.0000000000   0.0000000000
   0.4210425040   0.0000000000   0.0000000000
   0.4208683195   0.0000000000   0.0000000000
   0.4206939151   0.0000000000   0.0000000000
   0.4205192899   0.0000000000   0.0000000000
   0.4203444433   0.0000000000   0.0000000000
   0.4201693745   0.0000000000   0.0000000000
   0.4199940829   0.0000000000   0.0000000000
   0.4198185680   0.0000000000   0.0000000000
   0.4196428290   0.0000000000   0.0000000000
   0.4194668653   0.0000000000   0.0000000000
   0.4192906761   0.0000000000   0.0000000000
   0.4191142608   0.0000000000   0.0000000000
   0.4189376187   0.0000000000   0.0000000000
   0.4187607492   0.0000000000   0.0000000000
   0.4185836516   0.0000000000   0.0000000000
   0.4184063251   0.0000000000   0.0000000000
   0.4182287691   0.0000000000   0.0000000000
   0.4180509828   0.0000000000   0.0000000000
   0.4178729656   0.0000000000   0.0000000000
   0.4176947167   0.0000000000   0.0000000000
   0.4175162357   0.0000000000   0.0000000000
   0.4173375214   0.0000000000   0.0000000000
   0.4171585735   0.0000000000   0.0000000000
   0.4169793911   0.0000000000   0.0000000000
   0.4167999735   0.0000000000   0.0000000000
   0.4166203200   0.0000000000   0.0000000000
   0.4164404298   0.0000000000   0.0000000000
   0.4162603023   0.0000000000   0.0000000000
   0.4160799366   0.0000000000   0.0000000000
   0.4158993321   0.0000000000   0.0000000000
   0.4157184882   0.0000000000   0.0000000000
   0.4155374038   0.0000000000   0.0000000000
   0.4153560784   0.0000000000   0.0000000000
   0.4151745110   0.0000000000   0.0000000000
   0.4149927012   0.0000000000   0.0000000000
   0.4148106481   0.0000000000   0.0000000000
   0.4146283507   0.0000000000   0.0000000000
   0.4144458085   0.0000000000   0.0000000000
   0.4142630207   0.0000000000   0.0000000000
   0.4140799865   0.0000000000   0.0000000000
   0.4138967052   0.0000000000   0.0000000000
   0.4137131758   0.0000000000   0.0000000000
   0.4135293977   0.0000000000   0.0000000000
   0.4133453700   0.0000000000   0.0000000000
   0.4131610919   0.0000000000   0.0000000000
   0.4129765628   0.0000000000   0.0000000000
   0.4127917817   0.0000000000   0.0000000000
