80
180
L [fm^-1]		aL		c1_vah1 [...]
0.600000		0.200000		-99.235633
0.608228		0.200000		-87.769385
0.616456		0.200000		-77.614302
0.624684		0.200000		-68.622314
0.632911		0.200000		-60.661775
0.641139		0.200000		-53.615711
0.649367		0.200000		-47.380223
0.657595		0.200000		-41.863062
0.665823		0.200000		-36.982345
0.674051		0.200000		-32.665409
0.682278		0.200000		-28.847788
0.690506		0.200000		-25.472300
0.698734		0.200000		-22.488233
0.706962		0.200000		-19.850624
0.715190		0.200000		-17.519613
0.723418		0.200000		-15.459874
0.731646		0.200000		-13.640103
0.739873		0.200000		-12.032567
0.748101		0.200000		-10.612702
0.756329		0.200000		-9.358758
0.764557		0.200000		-8.251478
0.772785		0.200000		-7.273818
0.781013		0.200000		-6.410695
0.789241		0.200000		-5.648766
0.797468		0.200000		-4.976230
0.805696		0.200000		-4.382650
0.813924		0.200000		-3.858801
0.822152		0.200000		-3.396526
0.830380		0.200000		-2.988620
0.838608		0.200000		-2.628715
0.846835		0.200000		-2.311185
0.855063		0.200000		-2.031062
0.863291		0.200000		-1.783959
0.871519		0.200000		-1.566003
0.879747		0.200000		-1.373771
0.887975		0.200000		-1.204245
0.896203		0.200000		-1.054760
0.904430		0.200000		-0.922963
0.912658		0.200000		-0.806778
0.920886		0.200000		-0.704372
0.929114		0.200000		-0.614128
0.937342		0.200000		-0.534618
0.945570		0.200000		-0.464584
0.953797		0.200000		-0.402913
0.962025		0.200000		-0.348624
0.970253		0.200000		-0.300851
0.978481		0.200000		-0.258831
0.986709		0.200000		-0.221887
0.994937		0.200000		-0.189425
1.003165		0.200000		-0.160919
1.011392		0.200000		-0.135904
1.019620		0.200000		-0.113971
1.027848		0.200000		-0.094757
1.036076		0.200000		-0.077943
1.044304		0.200000		-0.063246
1.052532		0.200000		-0.050417
1.060759		0.200000		-0.039236
1.068987		0.200000		-0.029507
1.077215		0.200000		-0.021060
1.085443		0.200000		-0.013741
1.093671		0.200000		-0.007417
1.101899		0.200000		-0.001969
1.110127		0.200000		0.002709
1.118354		0.200000		0.006708
1.126582		0.200000		0.010111
1.134810		0.200000		0.012990
1.143038		0.200000		0.015409
1.151266		0.200000		0.017425
1.159494		0.200000		0.019088
1.167722		0.200000		0.020441
1.175949		0.200000		0.021524
1.184177		0.200000		0.022371
1.192405		0.200000		0.023014
1.200633		0.200000		0.023477
1.208861		0.200000		0.023786
1.217089		0.200000		0.023961
1.225316		0.200000		0.024021
1.233544		0.200000		0.023981
1.241772		0.200000		0.023856
1.250000		0.200000		0.023660
0.600000		0.210056		-87.759202
0.608228		0.210056		-77.629398
0.616456		0.210056		-68.658305
0.624684		0.210056		-60.714849
0.632911		0.210056		-53.682547
0.641139		0.210056		-47.457941
0.649367		0.210056		-41.949169
0.657595		0.210056		-37.074698
0.665823		0.210056		-32.762173
0.674051		0.210056		-28.947405
0.682278		0.210056		-25.573456
0.690506		0.210056		-22.589834
0.698734		0.210056		-19.951766
0.706962		0.210056		-17.619559
0.715190		0.210056		-15.558033
0.723418		0.210056		-13.736010
0.731646		0.210056		-12.125864
0.739873		0.210056		-10.703124
0.748101		0.210056		-9.446116
0.756329		0.210056		-8.335649
0.764557		0.210056		-7.354731
0.772785		0.210056		-6.488325
0.781013		0.210056		-5.723122
0.789241		0.210056		-5.047351
0.797468		0.210056		-4.450596
0.805696		0.210056		-3.923649
0.813924		0.210056		-3.458367
0.822152		0.210056		-3.047554
0.830380		0.210056		-2.684847
0.838608		0.210056		-2.364625
0.846835		0.210056		-2.081923
0.855063		0.210056		-1.832352
0.863291		0.210056		-1.612038
0.871519		0.210056		-1.417559
0.879747		0.210056		-1.245893
0.887975		0.210056		-1.094370
0.896203		0.210056		-0.960635
0.904430		0.210056		-0.842608
0.912658		0.210056		-0.738452
0.920886		0.210056		-0.646547
0.929114		0.210056		-0.565460
0.937342		0.210056		-0.493929
0.945570		0.210056		-0.430838
0.953797		0.210056		-0.375201
0.962025		0.210056		-0.326149
0.970253		0.210056		-0.282915
0.978481		0.210056		-0.244819
0.986709		0.210056		-0.211265
0.994937		0.210056		-0.181721
1.003165		0.210056		-0.155722
1.011392		0.210056		-0.132854
1.019620		0.210056		-0.112753
1.027848		0.210056		-0.095097
1.036076		0.210056		-0.079600
1.044304		0.210056		-0.066012
1.052532		0.210056		-0.054109
1.060759		0.210056		-0.043695
1.068987		0.210056		-0.034597
1.077215		0.210056		-0.026659
1.085443		0.210056		-0.019747
1.093671		0.210056		-0.013739
1.101899		0.210056		-0.008530
1.110127		0.210056		-0.004026
1.118354		0.210056		-0.000142
1.126582		0.210056		0.003194
1.134810		0.210056		0.006048
1.143038		0.210056		0.008478
1.151266		0.210056		0.010534
1.159494		0.210056		0.012262
1.167722		0.210056		0.013702
1.175949		0.210056		0.014889
1.184177		0.210056		0.015855
1.192405		0.210056		0.016626
1.200633		0.210056		0.017229
1.208861		0.210056		0.017683
1.217089		0.210056		0.018009
1.225316		0.210056		0.018223
1.233544		0.210056		0.018341
1.241772		0.210056		0.018375
1.250000		0.210056		0.018337
0.600000		0.220112		-78.181978
0.608228		0.220112		-69.166990
0.616456		0.220112		-61.183520
0.624684		0.220112		-54.114683
0.632911		0.220112		-47.856657
0.641139		0.220112		-42.317263
0.649367		0.220112		-37.414684
0.657595		0.220112		-33.076324
0.665823		0.220112		-29.237783
0.674051		0.220112		-25.841937
0.682278		0.220112		-22.838130
0.690506		0.220112		-20.181447
0.698734		0.220112		-17.832068
0.706962		0.220112		-15.754697
0.715190		0.220112		-13.918055
0.723418		0.220112		-12.294422
0.731646		0.220112		-10.859241
0.739873		0.220112		-9.590760
0.748101		0.220112		-8.469713
0.756329		0.220112		-7.479043
0.764557		0.220112		-6.603649
0.772785		0.220112		-5.830164
0.781013		0.220112		-5.146760
0.789241		0.220112		-4.542974
0.797468		0.220112		-4.009549
0.805696		0.220112		-3.538298
0.813924		0.220112		-3.121984
0.822152		0.220112		-2.754206
0.830380		0.220112		-2.429309
0.838608		0.220112		-2.142293
0.846835		0.220112		-1.888742
0.855063		0.220112		-1.664753
0.863291		0.220112		-1.466879
0.871519		0.220112		-1.292073
0.879747		0.220112		-1.137646
0.887975		0.220112		-1.001223
0.896203		0.220112		-0.880704
0.904430		0.220112		-0.774239
0.912658		0.220112		-0.680189
0.920886		0.220112		-0.597111
0.929114		0.220112		-0.523728
0.937342		0.220112		-0.458913
0.945570		0.220112		-0.401672
0.953797		0.220112		-0.351124
0.962025		0.220112		-0.306493
0.970253		0.220112		-0.267094
0.978481		0.220112		-0.232321
0.986709		0.220112		-0.201637
0.994937		0.220112		-0.174570
1.003165		0.220112		-0.150702
1.011392		0.220112		-0.129663
1.019620		0.220112		-0.111126
1.027848		0.220112		-0.094803
1.036076		0.220112		-0.080437
1.044304		0.220112		-0.067803
1.052532		0.220112		-0.056701
1.060759		0.220112		-0.046954
1.068987		0.220112		-0.038405
1.077215		0.220112		-0.030917
1.085443		0.220112		-0.024366
1.093671		0.220112		-0.018644
1.101899		0.220112		-0.013654
1.110127		0.220112		-0.009312
1.118354		0.220112		-0.005543
1.126582		0.220112		-0.002279
1.134810		0.220112		0.000539
1.143038		0.220112		0.002962
1.151266		0.220112		0.005038
1.159494		0.220112		0.006808
1.167722		0.220112		0.008307
1.175949		0.220112		0.009569
1.184177		0.220112		0.010622
1.192405		0.220112		0.011492
1.200633		0.220112		0.012200
1.208861		0.220112		0.012766
1.217089		0.220112		0.013209
1.225316		0.220112		0.013544
1.233544		0.220112		0.013785
1.241772		0.220112		0.013943
1.250000		0.220112		0.014031
0.600000		0.230168		-70.116571
0.608228		0.230168		-62.040023
0.616456		0.230168		-54.887905
0.624684		0.230168		-48.555287
0.632911		0.230168		-42.949012
0.641139		0.230168		-37.986400
0.649367		0.230168		-33.594096
0.657595		0.230168		-29.707031
0.665823		0.230168		-26.267496
0.674051		0.230168		-23.224319
0.682278		0.230168		-20.532129
0.690506		0.230168		-18.150707
0.698734		0.230168		-16.044402
0.706962		0.230168		-14.181617
0.715190		0.230168		-12.534354
0.723418		0.230168		-11.077806
0.731646		0.230168		-9.789996
0.739873		0.230168		-8.651460
0.748101		0.230168		-7.644960
0.756329		0.230168		-6.755232
0.764557		0.230168		-5.968766
0.772785		0.230168		-5.273601
0.781013		0.230168		-4.659156
0.789241		0.230168		-4.116068
0.797468		0.230168		-3.636052
0.805696		0.230168		-3.211783
0.813924		0.230168		-2.836785
0.822152		0.230168		-2.505328
0.830380		0.230168		-2.212350
0.838608		0.230168		-1.953376
0.846835		0.230168		-1.724450
0.855063		0.230168		-1.522079
0.863291		0.230168		-1.343173
0.871519		0.230168		-1.185005
0.879747		0.230168		-1.045164
0.887975		0.230168		-0.921522
0.896203		0.230168		-0.812197
0.904430		0.230168		-0.715529
0.912658		0.230168		-0.630048
0.920886		0.230168		-0.554459
0.929114		0.230168		-0.487617
0.937342		0.230168		-0.428509
0.945570		0.230168		-0.376242
0.953797		0.230168		-0.330026
0.962025		0.230168		-0.289163
0.970253		0.230168		-0.253035
0.978481		0.230168		-0.221098
0.986709		0.230168		-0.192870
0.994937		0.230168		-0.167925
1.003165		0.230168		-0.145885
1.011392		0.230168		-0.126418
1.019620		0.230168		-0.109228
1.027848		0.230168		-0.094056
1.036076		0.230168		-0.080669
1.044304		0.230168		-0.068865
1.052532		0.230168		-0.058461
1.060759		0.230168		-0.049298
1.068987		0.230168		-0.041235
1.077215		0.230168		-0.034145
1.085443		0.230168		-0.027917
1.093671		0.230168		-0.022453
1.101899		0.230168		-0.017666
1.110127		0.230168		-0.013477
1.118354		0.230168		-0.009819
1.126582		0.230168		-0.006630
1.134810		0.230168		-0.003857
1.143038		0.230168		-0.001452
1.151266		0.230168		0.000629
1.159494		0.230168		0.002422
1.167722		0.230168		0.003962
1.175949		0.230168		0.005276
1.184177		0.230168		0.006393
1.192405		0.230168		0.007336
1.200633		0.230168		0.008124
1.208861		0.230168		0.008777
1.217089		0.230168		0.009311
1.225316		0.230168		0.009741
1.233544		0.230168		0.010078
1.241772		0.230168		0.010335
1.250000		0.230168		0.010522
0.600000		0.240223		-63.267610
0.608228		0.240223		-55.987623
0.616456		0.240223		-49.541150
0.624684		0.240223		-43.833421
0.632911		0.240223		-38.780335
0.641139		0.240223		-34.307285
0.649367		0.240223		-30.348098
0.657595		0.240223		-26.844096
0.665823		0.240223		-23.743252
0.674051		0.240223		-20.999445
0.682278		0.240223		-18.571791
0.690506		0.240223		-16.424054
0.698734		0.240223		-14.524122
0.706962		0.240223		-12.843538
0.715190		0.240223		-11.357087
0.723418		0.240223		-10.042433
0.731646		0.240223		-8.879789
0.739873		0.240223		-7.851632
0.748101		0.240223		-6.942442
0.756329		0.240223		-6.138480
0.764557		0.240223		-5.427583
0.772785		0.240223		-4.798986
0.781013		0.240223		-4.243161
0.789241		0.240223		-3.751679
0.797468		0.240223		-3.317084
0.805696		0.240223		-2.932780
0.813924		0.240223		-2.592934
0.822152		0.240223		-2.292389
0.830380		0.240223		-2.026584
0.838608		0.240223		-1.791489
0.846835		0.240223		-1.583540
0.855063		0.240223		-1.399590
0.863291		0.240223		-1.236855
0.871519		0.240223		-1.092877
0.879747		0.240223		-0.965482
0.887975		0.240223		-0.852750
0.896203		0.240223		-0.752985
0.904430		0.240223		-0.664688
0.912658		0.240223		-0.586534
0.920886		0.240223		-0.517354
0.929114		0.240223		-0.456112
0.937342		0.240223		-0.401895
0.945570		0.240223		-0.353894
0.953797		0.240223		-0.311397
0.962025		0.240223		-0.273770
0.970253		0.240223		-0.240457
0.978481		0.240223		-0.210964
0.986709		0.240223		-0.184854
0.994937		0.240223		-0.161740
1.003165		0.240223		-0.141283
1.011392		0.240223		-0.123178
1.019620		0.240223		-0.107159
1.027848		0.240223		-0.092988
1.036076		0.240223		-0.080457
1.044304		0.240223		-0.069378
1.052532		0.240223		-0.059589
1.060759		0.240223		-0.050942
1.068987		0.240223		-0.043309
1.077215		0.240223		-0.036575
1.085443		0.240223		-0.030639
1.093671		0.240223		-0.025410
1.101899		0.240223		-0.020809
1.110127		0.240223		-0.016765
1.118354		0.240223		-0.013214
1.126582		0.240223		-0.010102
1.134810		0.240223		-0.007378
1.143038		0.240223		-0.004999
1.151266		0.240223		-0.002925
1.159494		0.240223		-0.001121
1.167722		0.240223		0.000442
1.175949		0.240223		0.001793
1.184177		0.240223		0.002956
1.192405		0.240223		0.003953
1.200633		0.240223		0.004802
1.208861		0.240223		0.005522
1.217089		0.240223		0.006126
1.225316		0.240223		0.006630
1.233544		0.240223		0.007044
1.241772		0.240223		0.007379
1.250000		0.240223		0.007645
0.600000		0.250279		-57.407102
0.608228		0.250279		-50.808419
0.616456		0.250279		-44.965472
0.624684		0.250279		-39.792192
0.632911		0.250279		-35.212231
0.641139		0.250279		-31.157888
0.649367		0.250279		-27.569138
0.657595		0.250279		-24.392769
0.665823		0.250279		-21.581616
0.674051		0.250279		-19.093878
0.682278		0.250279		-16.892508
0.690506		0.250279		-14.944678
0.698734		0.250279		-13.221301
0.706962		0.250279		-11.696602
0.715190		0.250279		-10.347751
0.723418		0.250279		-9.154520
0.731646		0.250279		-8.098997
0.739873		0.250279		-7.165316
0.748101		0.250279		-6.339428
0.756329		0.250279		-5.608896
0.764557		0.250279		-4.962710
0.772785		0.250279		-4.391123
0.781013		0.250279		-3.885512
0.789241		0.250279		-3.438247
0.797468		0.250279		-3.042576
0.805696		0.250279		-2.692528
0.813924		0.250279		-2.382821
0.822152		0.250279		-2.108785
0.830380		0.250279		-1.866291
0.838608		0.250279		-1.651687
0.846835		0.250279		-1.461746
0.855063		0.250279		-1.293615
0.863291		0.250279		-1.144772
0.871519		0.250279		-1.012989
0.879747		0.250279		-0.896294
0.887975		0.250279		-0.792948
0.896203		0.250279		-0.701411
0.904430		0.250279		-0.620324
0.912658		0.250279		-0.548484
0.920886		0.250279		-0.484830
0.929114		0.250279		-0.428420
0.937342		0.250279		-0.378426
0.945570		0.250279		-0.334114
0.953797		0.250279		-0.294833
0.962025		0.250279		-0.260010
0.970253		0.250279		-0.229136
0.978481		0.250279		-0.201764
0.986709		0.250279		-0.177494
0.994937		0.250279		-0.155976
1.003165		0.250279		-0.136897
1.011392		0.250279		-0.119982
1.019620		0.250279		-0.104988
1.027848		0.250279		-0.091696
1.036076		0.250279		-0.079917
1.044304		0.250279		-0.069480
1.052532		0.250279		-0.060234
1.060759		0.250279		-0.052046
1.068987		0.250279		-0.044797
1.077215		0.250279		-0.038383
1.085443		0.250279		-0.032711
1.093671		0.250279		-0.027697
1.101899		0.250279		-0.023269
1.110127		0.250279		-0.019360
1.118354		0.250279		-0.015913
1.126582		0.250279		-0.012877
1.134810		0.250279		-0.010206
1.143038		0.250279		-0.007859
1.151266		0.250279		-0.005799
1.159494		0.250279		-0.003996
1.167722		0.250279		-0.002420
1.175949		0.250279		-0.001046
1.184177		0.250279		0.000150
1.192405		0.250279		0.001186
1.200633		0.250279		0.002081
1.208861		0.250279		0.002851
1.217089		0.250279		0.003510
1.225316		0.250279		0.004071
1.233544		0.250279		0.004545
1.241772		0.250279		0.004943
1.250000		0.250279		0.005272
0.600000		0.260335		-52.357072
0.608228		0.260335		-46.345212
0.616456		0.260335		-41.022084
0.624684		0.260335		-36.309118
0.632911		0.260335		-32.136651
0.641139		0.260335		-28.442935
0.649367		0.260335		-25.173239
0.657595		0.260335		-22.279066
0.665823		0.260335		-19.717436
0.674051		0.260335		-17.450270
0.682278		0.260335		-15.443826
0.690506		0.260335		-13.668210
0.698734		0.260335		-12.096940
0.706962		0.260335		-10.706553
0.715190		0.260335		-9.476267
0.723418		0.260335		-8.387675
0.731646		0.260335		-7.424474
0.739873		0.260335		-6.572228
0.748101		0.260335		-5.818153
0.756329		0.260335		-5.150932
0.764557		0.260335		-4.560548
0.772785		0.260335		-4.038133
0.781013		0.260335		-3.575840
0.789241		0.260335		-3.166726
0.797468		0.260335		-2.804647
0.805696		0.260335		-2.484169
0.813924		0.260335		-2.200486
0.822152		0.260335		-1.949347
0.830380		0.260335		-1.726991
0.838608		0.260335		-1.530097
0.846835		0.260335		-1.355723
0.855063		0.260335		-1.201273
0.863291		0.260335		-1.064449
0.871519		0.260335		-0.943221
0.879747		0.260335		-0.835793
0.887975		0.260335		-0.740578
0.896203		0.260335		-0.656174
0.904430		0.260335		-0.581340
0.912658		0.260335		-0.514980
0.920886		0.260335		-0.456124
0.929114		0.260335		-0.403914
0.937342		0.260335		-0.357594
0.945570		0.260335		-0.316491
0.953797		0.260335		-0.280013
0.962025		0.260335		-0.247634
0.970253		0.260335		-0.218891
0.978481		0.260335		-0.193372
0.986709		0.260335		-0.170714
0.994937		0.260335		-0.150594
1.003165		0.260335		-0.132726
1.011392		0.260335		-0.116858
1.019620		0.260335		-0.102766
1.027848		0.260335		-0.090252
1.036076		0.260335		-0.079138
1.044304		0.260335		-0.069270
1.052532		0.260335		-0.060509
1.060759		0.260335		-0.052731
1.068987		0.260335		-0.045829
1.077215		0.260335		-0.039704
1.085443		0.260335		-0.034272
1.093671		0.260335		-0.029455
1.101899		0.260335		-0.025187
1.110127		0.260335		-0.021405
1.118354		0.260335		-0.018058
1.126582		0.260335		-0.015097
1.134810		0.260335		-0.012480
1.143038		0.260335		-0.010170
1.151266		0.260335		-0.008131
1.159494		0.260335		-0.006335
1.167722		0.260335		-0.004756
1.175949		0.260335		-0.003368
1.184177		0.260335		-0.002151
1.192405		0.260335		-0.001087
1.200633		0.260335		-0.000158
1.208861		0.260335		0.000650
1.217089		0.260335		0.001351
1.225316		0.260335		0.001957
1.233544		0.260335		0.002479
1.241772		0.260335		0.002925
1.250000		0.260335		0.003305
0.600000		0.270391		-47.977142
0.608228		0.270391		-42.474012
0.616456		0.270391		-37.601512
0.624684		0.270391		-33.287583
0.632911		0.270391		-29.468362
0.641139		0.270391		-26.087264
0.649367		0.270391		-23.094154
0.657595		0.270391		-20.444618
0.665823		0.270391		-18.099309
0.674051		0.270391		-16.023371
0.682278		0.270391		-14.185931
0.690506		0.270391		-12.559636
0.698734		0.270391		-11.120262
0.706962		0.270391		-9.846349
0.715190		0.270391		-8.718892
0.723418		0.270391		-7.721060
0.731646		0.270391		-6.837945
0.739873		0.270391		-6.056349
0.748101		0.270391		-5.364586
0.756329		0.270391		-4.752308
0.764557		0.270391		-4.210358
0.772785		0.270391		-3.730630
0.781013		0.270391		-3.305948
0.789241		0.270391		-2.929967
0.797468		0.270391		-2.597068
0.805696		0.270391		-2.302283
0.813924		0.270391		-2.041217
0.822152		0.270391		-1.809982
0.830380		0.270391		-1.605140
0.838608		0.270391		-1.423650
0.846835		0.270391		-1.262823
0.855063		0.270391		-1.120282
0.863291		0.270391		-0.993925
0.871519		0.270391		-0.881893
0.879747		0.270391		-0.782541
0.887975		0.270391		-0.694418
0.896203		0.270391		-0.616237
0.904430		0.270391		-0.546862
0.912658		0.270391		-0.485289
0.920886		0.270391		-0.430627
0.929114		0.270391		-0.382092
0.937342		0.270391		-0.338987
0.945570		0.270391		-0.300697
0.953797		0.270391		-0.266677
0.962025		0.270391		-0.236445
0.970253		0.270391		-0.209574
0.978481		0.270391		-0.185686
0.986709		0.270391		-0.164447
0.994937		0.270391		-0.145560
1.003165		0.270391		-0.128763
1.011392		0.270391		-0.113822
1.019620		0.270391		-0.100530
1.027848		0.270391		-0.088706
1.036076		0.270391		-0.078186
1.044304		0.270391		-0.068827
1.052532		0.270391		-0.060500
1.060759		0.270391		-0.053092
1.068987		0.270391		-0.046502
1.077215		0.270391		-0.040641
1.085443		0.270391		-0.035428
1.093671		0.270391		-0.030793
1.101899		0.270391		-0.026673
1.110127		0.270391		-0.023012
1.118354		0.270391		-0.019760
1.126582		0.270391		-0.016873
1.134810		0.270391		-0.014311
1.143038		0.270391		-0.012039
1.151266		0.270391		-0.010026
1.159494		0.270391		-0.008243
1.167722		0.270391		-0.006666
1.175949		0.270391		-0.005273
1.184177		0.270391		-0.004044
1.192405		0.270391		-0.002960
1.200633		0.270391		-0.002007
1.208861		0.270391		-0.001170
1.217089		0.270391		-0.000437
1.225316		0.270391		0.000204
1.233544		0.270391		0.000762
1.241772		0.270391		0.001248
1.250000		0.270391		0.001667
0.600000		0.280447		-44.155533
0.608228		0.280447		-39.096082
0.616456		0.280447		-34.616578
0.624684		0.280447		-30.650646
0.632911		0.280447		-27.139485
0.641139		0.280447		-24.031018
0.649367		0.280447		-21.279117
0.657595		0.280447		-18.842933
0.665823		0.280447		-16.686286
0.674051		0.280447		-14.777136
0.682278		0.280447		-13.087104
0.690506		0.280447		-11.591060
0.698734		0.280447		-10.266744
0.706962		0.280447		-9.094445
0.715190		0.280447		-8.056706
0.723418		0.280447		-7.138069
0.731646		0.280447		-6.324844
0.739873		0.280447		-5.604912
0.748101		0.280447		-4.967540
0.756329		0.280447		-4.403231
0.764557		0.280447		-3.903573
0.772785		0.280447		-3.461125
0.781013		0.280447		-3.069299
0.789241		0.280447		-2.722265
0.797468		0.280447		-2.414867
0.805696		0.280447		-2.142541
0.813924		0.280447		-1.901250
0.822152		0.280447		-1.687423
0.830380		0.280447		-1.497902
0.838608		0.280447		-1.329894
0.846835		0.280447		-1.180927
0.855063		0.280447		-1.048816
0.863291		0.280447		-0.931629
0.871519		0.280447		-0.827657
0.879747		0.280447		-0.735389
0.887975		0.280447		-0.653487
0.896203		0.280447		-0.580769
0.904430		0.280447		-0.516189
0.912658		0.280447		-0.458823
0.920886		0.280447		-0.407851
0.929114		0.280447		-0.362549
0.937342		0.280447		-0.322276
0.945570		0.280447		-0.286465
0.953797		0.280447		-0.254614
0.962025		0.280447		-0.226278
0.970253		0.280447		-0.201062
0.978481		0.280447		-0.178618
0.986709		0.280447		-0.158637
0.994937		0.280447		-0.140845
1.003165		0.280447		-0.124999
1.011392		0.280447		-0.110883
1.019620		0.280447		-0.098306
1.027848		0.280447		-0.087099
1.036076		0.280447		-0.077112
1.044304		0.280447		-0.068209
1.052532		0.280447		-0.060274
1.060759		0.280447		-0.053200
