101
81
T [GeV]		muB [GeV]		F_over_T [fm^-1 / GeV]
0.100000		0.000000		-0.207274
0.101000		0.000000		-0.205843
0.102000		0.000000		-0.204410
0.103000		0.000000		-0.202977
0.104000		0.000000		-0.201545
0.105000		0.000000		-0.200116
0.106000		0.000000		-0.198692
0.107000		0.000000		-0.197274
0.108000		0.000000		-0.195864
0.109000		0.000000		-0.194464
0.110000		0.000000		-0.193073
0.111000		0.000000		-0.191694
0.112000		0.000000		-0.190328
0.113000		0.000000		-0.188976
0.114000		0.000000		-0.187639
0.115000		0.000000		-0.186318
0.116000		0.000000		-0.185013
0.117000		0.000000		-0.183726
0.118000		0.000000		-0.182457
0.119000		0.000000		-0.181208
0.120000		0.000000		-0.179978
0.121000		0.000000		-0.178768
0.122000		0.000000		-0.177579
0.123000		0.000000		-0.176410
0.124000		0.000000		-0.175264
0.125000		0.000000		-0.174139
0.126000		0.000000		-0.173037
0.127000		0.000000		-0.171957
0.128000		0.000000		-0.170899
0.129000		0.000000		-0.169864
0.130000		0.000000		-0.168852
0.131000		0.000000		-0.167864
0.132000		0.000000		-0.166898
0.133000		0.000000		-0.165955
0.134000		0.000000		-0.165035
0.135000		0.000000		-0.164138
0.136000		0.000000		-0.163263
0.137000		0.000000		-0.162412
0.138000		0.000000		-0.161583
0.139000		0.000000		-0.160776
0.140000		0.000000		-0.159992
0.141000		0.000000		-0.159230
0.142000		0.000000		-0.158489
0.143000		0.000000		-0.157770
0.144000		0.000000		-0.157072
0.145000		0.000000		-0.156396
0.146000		0.000000		-0.155740
0.147000		0.000000		-0.155104
0.148000		0.000000		-0.154489
0.149000		0.000000		-0.153894
0.150000		0.000000		-0.153318
0.151000		0.000000		-0.152762
0.152000		0.000000		-0.152224
0.153000		0.000000		-0.151705
0.154000		0.000000		-0.151205
0.155000		0.000000		-0.150722
0.156000		0.000000		-0.150257
0.157000		0.000000		-0.149809
0.158000		0.000000		-0.149378
0.159000		0.000000		-0.148964
0.160000		0.000000		-0.148566
0.161000		0.000000		-0.148184
0.162000		0.000000		-0.147818
0.163000		0.000000		-0.147467
0.164000		0.000000		-0.147131
0.165000		0.000000		-0.146809
0.166000		0.000000		-0.146502
0.167000		0.000000		-0.146209
0.168000		0.000000		-0.145929
0.169000		0.000000		-0.145663
0.170000		0.000000		-0.145410
0.171000		0.000000		-0.145170
0.172000		0.000000		-0.144943
0.173000		0.000000		-0.144727
0.174000		0.000000		-0.144524
0.175000		0.000000		-0.144332
