101
81
T [GeV]		muB [GeV]		c0_T4 [fm^3/GeV^3 * GeV^4]
0.100000		0.000000		-0.545933
0.101000		0.000000		-0.519020
0.102000		0.000000		-0.493715
0.103000		0.000000		-0.469904
0.104000		0.000000		-0.447481
0.105000		0.000000		-0.426350
0.106000		0.000000		-0.406421
0.107000		0.000000		-0.387613
0.108000		0.000000		-0.369850
0.109000		0.000000		-0.353064
0.110000		0.000000		-0.337189
0.111000		0.000000		-0.322167
0.112000		0.000000		-0.307943
0.113000		0.000000		-0.294466
0.114000		0.000000		-0.281690
0.115000		0.000000		-0.269571
0.116000		0.000000		-0.258068
0.117000		0.000000		-0.247146
0.118000		0.000000		-0.236768
0.119000		0.000000		-0.226903
0.120000		0.000000		-0.217521
0.121000		0.000000		-0.208593
0.122000		0.000000		-0.200094
0.123000		0.000000		-0.192000
0.124000		0.000000		-0.184287
0.125000		0.000000		-0.176935
0.126000		0.000000		-0.169924
0.127000		0.000000		-0.163235
0.128000		0.000000		-0.156851
0.129000		0.000000		-0.150756
0.130000		0.000000		-0.144935
0.131000		0.000000		-0.139374
0.132000		0.000000		-0.134058
0.133000		0.000000		-0.128976
0.134000		0.000000		-0.124115
0.135000		0.000000		-0.119465
0.136000		0.000000		-0.115015
0.137000		0.000000		-0.110755
0.138000		0.000000		-0.106676
0.139000		0.000000		-0.102769
0.140000		0.000000		-0.099027
0.141000		0.000000		-0.095440
0.142000		0.000000		-0.092002
0.143000		0.000000		-0.088705
0.144000		0.000000		-0.085544
0.145000		0.000000		-0.082512
0.146000		0.000000		-0.079602
0.147000		0.000000		-0.076810
0.148000		0.000000		-0.074130
0.149000		0.000000		-0.071557
0.150000		0.000000		-0.069086
0.151000		0.000000		-0.066713
0.152000		0.000000		-0.064433
0.153000		0.000000		-0.062243
0.154000		0.000000		-0.060138
0.155000		0.000000		-0.058115
0.156000		0.000000		-0.056169
0.157000		0.000000		-0.054299
0.158000		0.000000		-0.052500
0.159000		0.000000		-0.050770
0.160000		0.000000		-0.049106
0.161000		0.000000		-0.047504
0.162000		0.000000		-0.045963
0.163000		0.000000		-0.044479
0.164000		0.000000		-0.043051
0.165000		0.000000		-0.041676
0.166000		0.000000		-0.040352
0.167000		0.000000		-0.039077
0.168000		0.000000		-0.037848
0.169000		0.000000		-0.036665
0.170000		0.000000		-0.035524
0.171000		0.000000		-0.034425
0.172000		0.000000		-0.033366
0.173000		0.000000		-0.032345
0.174000		0.000000		-0.031360
0.175000		0.000000		-0.030411
0.176000		0.000000		-0.029495
0.177000		0.000000		-0.028612
0.178000		0.000000		-0.027760
0.179000		0.000000		-0.026937
0.180000		0.000000		-0.026144
0.181000		0.000000		-0.025378
0.182000		0.000000		-0.024639
0.183000		0.000000		-0.023926
0.184000		0.000000		-0.023237
0.185000		0.000000		-0.022571
0.186000		0.000000		-0.021929
0.187000		0.000000		-0.021308
0.188000		0.000000		-0.020708
0.189000		0.000000		-0.020128
0.190000		0.000000		-0.019568
0.191000		0.000000		-0.019027
0.192000		0.000000		-0.018504
0.193000		0.000000		-0.017998
0.194000		0.000000		-0.017508
0.195000		0.000000		-0.017035
0.196000		0.000000		-0.016578
0.197000		0.000000		-0.016135
0.198000		0.000000		-0.015706
0.199000		0.000000		-0.015292
0.200000		0.000000		-0.014891
0.100000		0.010000		-0.546180
0.101000		0.010000		-0.519250
0.102000		0.010000		-0.493929
0.103000		0.010000		-0.470102
0.104000		0.010000		-0.447664
0.105000		0.010000		-0.426519
0.106000		0.010000		-0.406577
0.107000		0.010000		-0.387757
0.108000		0.010000		-0.369983
0.109000		0.010000		-0.353186
0.110000		0.010000		-0.337301
0.111000		0.010000		-0.322269
0.112000		0.010000		-0.308036
0.113000		0.010000		-0.294551
0.114000		0.010000		-0.281767
0.115000		0.010000		-0.269641
0.116000		0.010000		-0.258132
0.117000		0.010000		-0.247203
0.118000		0.010000		-0.236820
0.119000		0.010000		-0.226949
0.120000		0.010000		-0.217562
0.121000		0.010000		-0.208629
0.122000		0.010000		-0.200126
0.123000		0.010000		-0.192027
0.124000		0.010000		-0.184311
0.125000		0.010000		-0.176955
0.126000		0.010000		-0.169941
0.127000		0.010000		-0.163249
0.128000		0.010000		-0.156863
0.129000		0.010000		-0.150766
0.130000		0.010000		-0.144942
0.131000		0.010000		-0.139378
0.132000		0.010000		-0.134061
0.133000		0.010000		-0.128977
0.134000		0.010000		-0.124115
0.135000		0.010000		-0.119463
0.136000		0.010000		-0.115012
0.137000		0.010000		-0.110751
0.138000		0.010000		-0.106671
0.139000		0.010000		-0.102763
0.140000		0.010000		-0.099019
0.141000		0.010000		-0.095432
0.142000		0.010000		-0.091993
0.143000		0.010000		-0.088696
0.144000		0.010000		-0.085534
0.145000		0.010000		-0.082501
0.146000		0.010000		-0.079591
0.147000		0.010000		-0.076799
0.148000		0.010000		-0.074119
0.149000		0.010000		-0.071545
0.150000		0.010000		-0.069074
0.151000		0.010000		-0.066701
0.152000		0.010000		-0.064421
0.153000		0.010000		-0.062231
0.154000		0.010000		-0.060126
0.155000		0.010000		-0.058102
0.156000		0.010000		-0.056157
0.157000		0.010000		-0.054287
0.158000		0.010000		-0.052488
0.159000		0.010000		-0.050758
0.160000		0.010000		-0.049094
0.161000		0.010000		-0.047492
0.162000		0.010000		-0.045951
0.163000		0.010000		-0.044468
0.164000		0.010000		-0.043040
0.165000		0.010000		-0.041665
0.166000		0.010000		-0.040341
0.167000		0.010000		-0.039066
0.168000		0.010000		-0.037837
0.169000		0.010000		-0.036654
0.170000		0.010000		-0.035514
0.171000		0.010000		-0.034415
0.172000		0.010000		-0.033356
0.173000		0.010000		-0.032335
0.174000		0.010000		-0.031350
0.175000		0.010000		-0.030401
0.176000		0.010000		-0.029486
0.177000		0.010000		-0.028603
0.178000		0.010000		-0.027751
0.179000		0.010000		-0.026929
0.180000		0.010000		-0.026135
0.181000		0.010000		-0.025370
0.182000		0.010000		-0.024631
0.183000		0.010000		-0.023918
0.184000		0.010000		-0.023229
0.185000		0.010000		-0.022564
0.186000		0.010000		-0.021921
0.187000		0.010000		-0.021300
0.188000		0.010000		-0.020701
0.189000		0.010000		-0.020121
0.190000		0.010000		-0.019561
0.191000		0.010000		-0.019020
0.192000		0.010000		-0.018497
0.193000		0.010000		-0.017991
0.194000		0.010000		-0.017502
0.195000		0.010000		-0.017029
0.196000		0.010000		-0.016572
0.197000		0.010000		-0.016129
0.198000		0.010000		-0.015701
0.199000		0.010000		-0.015287
0.200000		0.010000		-0.014886
0.100000		0.020000		-0.546907
0.101000		0.020000		-0.519926
0.102000		0.020000		-0.494557
0.103000		0.020000		-0.470684
0.104000		0.020000		-0.448204
0.105000		0.020000		-0.427018
0.106000		0.020000		-0.407038
0.107000		0.020000		-0.388182
0.108000		0.020000		-0.370374
0.109000		0.020000		-0.353545
0.110000		0.020000		-0.337630
0.111000		0.020000		-0.322571
0.112000		0.020000		-0.308312
0.113000		0.020000		-0.294802
0.114000		0.020000		-0.281995
0.115000		0.020000		-0.269848
0.116000		0.020000		-0.258319
0.117000		0.020000		-0.247371
0.118000		0.020000		-0.236971
0.119000		0.020000		-0.227084
0.120000		0.020000		-0.217682
0.121000		0.020000		-0.208735
0.122000		0.020000		-0.200219
0.123000		0.020000		-0.192109
0.124000		0.020000		-0.184381
0.125000		0.020000		-0.177015
0.126000		0.020000		-0.169992
0.127000		0.020000		-0.163291
0.128000		0.020000		-0.156897
0.129000		0.020000		-0.150792
0.130000		0.020000		-0.144962
0.131000		0.020000		-0.139392
0.132000		0.020000		-0.134068
0.133000		0.020000		-0.128979
0.134000		0.020000		-0.124112
0.135000		0.020000		-0.119457
0.136000		0.020000		-0.115001
0.137000		0.020000		-0.110737
0.138000		0.020000		-0.106654
0.139000		0.020000		-0.102743
0.140000		0.020000		-0.098997
0.141000		0.020000		-0.095407
0.142000		0.020000		-0.091966
0.143000		0.020000		-0.088667
0.144000		0.020000		-0.085504
0.145000		0.020000		-0.082470
0.146000		0.020000		-0.079559
0.147000		0.020000		-0.076765
0.148000		0.020000		-0.074084
0.149000		0.020000		-0.071510
0.150000		0.020000		-0.069039
0.151000		0.020000		-0.066665
0.152000		0.020000		-0.064385
0.153000		0.020000		-0.062194
0.154000		0.020000		-0.060089
0.155000		0.020000		-0.058066
0.156000		0.020000		-0.056120
0.157000		0.020000		-0.054250
0.158000		0.020000		-0.052452
0.159000		0.020000		-0.050722
0.160000		0.020000		-0.049058
0.161000		0.020000		-0.047456
0.162000		0.020000		-0.045916
0.163000		0.020000		-0.044433
0.164000		0.020000		-0.043005
0.165000		0.020000		-0.041631
0.166000		0.020000		-0.040307
0.167000		0.020000		-0.039033
0.168000		0.020000		-0.037805
0.169000		0.020000		-0.036622
0.170000		0.020000		-0.035482
0.171000		0.020000		-0.034384
0.172000		0.020000		-0.033325
0.173000		0.020000		-0.032305
0.174000		0.020000		-0.031321
0.175000		0.020000		-0.030372
0.176000		0.020000		-0.029457
0.177000		0.020000		-0.028575
0.178000		0.020000		-0.027724
0.179000		0.020000		-0.026902
0.180000		0.020000		-0.026110
0.181000		0.020000		-0.025345
0.182000		0.020000		-0.024606
0.183000		0.020000		-0.023893
0.184000		0.020000		-0.023205
0.185000		0.020000		-0.022540
0.186000		0.020000		-0.021898
0.187000		0.020000		-0.021278
0.188000		0.020000		-0.020679
0.189000		0.020000		-0.020100
0.190000		0.020000		-0.019541
0.191000		0.020000		-0.019000
0.192000		0.020000		-0.018478
0.193000		0.020000		-0.017972
0.194000		0.020000		-0.017484
0.195000		0.020000		-0.017011
0.196000		0.020000		-0.016554
0.197000		0.020000		-0.016112
0.198000		0.020000		-0.015684
0.199000		0.020000		-0.015270
0.200000		0.020000		-0.014869
0.100000		0.030000		-0.548076
0.101000		0.030000		-0.521013
0.102000		0.030000		-0.495567
0.103000		0.030000		-0.471621
0.104000		0.030000		-0.449072
0.105000		0.030000		-0.427821
0.106000		0.030000		-0.407779
0.107000		0.030000		-0.388865
0.108000		0.030000		-0.371003
0.109000		0.030000		-0.354123
0.110000		0.030000		-0.338160
0.111000		0.030000		-0.323056
0.112000		0.030000		-0.308754
0.113000		0.030000		-0.295205
0.114000		0.030000		-0.282361
0.115000		0.030000		-0.270179
0.116000		0.030000		-0.258618
0.117000		0.030000		-0.247641
0.118000		0.030000		-0.237212
0.119000		0.030000		-0.227299
0.120000		0.030000		-0.217872
0.121000		0.030000		-0.208904
0.122000		0.030000		-0.200367
0.123000		0.030000		-0.192237
0.124000		0.030000		-0.184491
0.125000		0.030000		-0.177109
0.126000		0.030000		-0.170070
0.127000		0.030000		-0.163355
0.128000		0.030000		-0.156948
0.129000		0.030000		-0.150831
0.130000		0.030000		-0.144990
0.131000		0.030000		-0.139410
0.132000		0.030000		-0.134078
0.133000		0.030000		-0.128980
0.134000		0.030000		-0.124106
0.135000		0.030000		-0.119443
0.136000		0.030000		-0.114981
0.137000		0.030000		-0.110711
0.138000		0.030000		-0.106623
0.139000		0.030000		-0.102708
0.140000		0.030000		-0.098957
0.141000		0.030000		-0.095364
0.142000		0.030000		-0.091920
0.143000		0.030000		-0.088618
0.144000		0.030000		-0.085453
0.145000		0.030000		-0.082416
0.146000		0.030000		-0.079503
0.147000		0.030000		-0.076708
0.148000		0.030000		-0.074026
0.149000		0.030000		-0.071451
0.150000		0.030000		-0.068978
0.151000		0.030000		-0.066604
0.152000		0.030000		-0.064323
0.153000		0.030000		-0.062132
0.154000		0.030000		-0.060027
0.155000		0.030000		-0.058004
0.156000		0.030000		-0.056058
0.157000		0.030000		-0.054188
