101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.100000		0.000000		-2.913569
0.101000		0.000000		-2.651858
0.102000		0.000000		-2.417519
0.103000		0.000000		-2.207315
0.104000		0.000000		-2.018431
0.105000		0.000000		-1.848416
0.106000		0.000000		-1.695135
0.107000		0.000000		-1.556719
0.108000		0.000000		-1.431531
0.109000		0.000000		-1.318136
0.110000		0.000000		-1.215271
0.111000		0.000000		-1.121825
0.112000		0.000000		-1.036816
0.113000		0.000000		-0.959377
0.114000		0.000000		-0.888740
0.115000		0.000000		-0.824225
0.116000		0.000000		-0.765226
0.117000		0.000000		-0.711205
0.118000		0.000000		-0.661683
0.119000		0.000000		-0.616232
0.120000		0.000000		-0.574470
0.121000		0.000000		-0.536055
0.122000		0.000000		-0.500679
0.123000		0.000000		-0.468068
0.124000		0.000000		-0.437974
0.125000		0.000000		-0.410175
0.126000		0.000000		-0.384470
0.127000		0.000000		-0.360678
0.128000		0.000000		-0.338637
0.129000		0.000000		-0.318198
0.130000		0.000000		-0.299228
0.131000		0.000000		-0.281605
0.132000		0.000000		-0.265220
0.133000		0.000000		-0.249973
0.134000		0.000000		-0.235773
0.135000		0.000000		-0.222536
0.136000		0.000000		-0.210189
0.137000		0.000000		-0.198662
0.138000		0.000000		-0.187892
0.139000		0.000000		-0.177823
0.140000		0.000000		-0.168401
0.141000		0.000000		-0.159579
0.142000		0.000000		-0.151312
0.143000		0.000000		-0.143561
0.144000		0.000000		-0.136288
0.145000		0.000000		-0.129459
0.146000		0.000000		-0.123043
0.147000		0.000000		-0.117010
0.148000		0.000000		-0.111335
0.149000		0.000000		-0.105993
0.150000		0.000000		-0.100962
0.151000		0.000000		-0.096219
0.152000		0.000000		-0.091747
0.153000		0.000000		-0.087528
0.154000		0.000000		-0.083544
0.155000		0.000000		-0.079780
0.156000		0.000000		-0.076223
0.157000		0.000000		-0.072860
0.158000		0.000000		-0.069677
0.159000		0.000000		-0.066664
0.160000		0.000000		-0.063810
0.161000		0.000000		-0.061106
0.162000		0.000000		-0.058542
0.163000		0.000000		-0.056110
0.164000		0.000000		-0.053802
0.165000		0.000000		-0.051611
0.166000		0.000000		-0.049529
0.167000		0.000000		-0.047551
0.168000		0.000000		-0.045670
0.169000		0.000000		-0.043881
0.170000		0.000000		-0.042178
0.171000		0.000000		-0.040557
0.172000		0.000000		-0.039013
0.173000		0.000000		-0.037542
0.174000		0.000000		-0.036140
0.175000		0.000000		-0.034802
0.176000		0.000000		-0.033527
0.177000		0.000000		-0.032309
0.178000		0.000000		-0.031146
0.179000		0.000000		-0.030036
0.180000		0.000000		-0.028975
0.181000		0.000000		-0.027961
0.182000		0.000000		-0.026991
0.183000		0.000000		-0.026064
0.184000		0.000000		-0.025176
0.185000		0.000000		-0.024326
0.186000		0.000000		-0.023513
0.187000		0.000000		-0.022733
0.188000		0.000000		-0.021986
0.189000		0.000000		-0.021270
0.190000		0.000000		-0.020584
0.191000		0.000000		-0.019925
0.192000		0.000000		-0.019294
0.193000		0.000000		-0.018687
0.194000		0.000000		-0.018105
0.195000		0.000000		-0.017546
0.196000		0.000000		-0.017008
0.197000		0.000000		-0.016492
0.198000		0.000000		-0.015996
0.199000		0.000000		-0.015518
0.200000		0.000000		-0.015059
0.100000		0.010000		-2.900451
0.101000		0.010000		-2.640230
0.102000		0.010000		-2.407196
0.103000		0.010000		-2.198136
0.104000		0.010000		-2.010258
0.105000		0.010000		-1.841130
0.106000		0.010000		-1.688630
0.107000		0.010000		-1.550903
0.108000		0.010000		-1.426326
0.109000		0.010000		-1.313471
0.110000		0.010000		-1.211086
0.111000		0.010000		-1.118065
0.112000		0.010000		-1.033435
0.113000		0.010000		-0.956334
0.114000		0.010000		-0.885998
0.115000		0.010000		-0.821751
0.116000		0.010000		-0.762992
0.117000		0.010000		-0.709186
0.118000		0.010000		-0.659857
0.119000		0.010000		-0.614578
0.120000		0.010000		-0.572971
0.121000		0.010000		-0.534695
0.122000		0.010000		-0.499444
0.123000		0.010000		-0.466946
0.124000		0.010000		-0.436954
0.125000		0.010000		-0.409247
0.126000		0.010000		-0.383625
0.127000		0.010000		-0.359908
0.128000		0.010000		-0.337934
0.129000		0.010000		-0.317557
0.130000		0.010000		-0.298642
0.131000		0.010000		-0.281070
0.132000		0.010000		-0.264731
0.133000		0.010000		-0.249525
0.134000		0.010000		-0.235362
0.135000		0.010000		-0.222160
0.136000		0.010000		-0.209844
0.137000		0.010000		-0.198346
0.138000		0.010000		-0.187602
0.139000		0.010000		-0.177556
0.140000		0.010000		-0.168156
0.141000		0.010000		-0.159354
0.142000		0.010000		-0.151105
0.143000		0.010000		-0.143370
0.144000		0.010000		-0.136112
0.145000		0.010000		-0.129297
0.146000		0.010000		-0.122893
0.147000		0.010000		-0.116873
0.148000		0.010000		-0.111208
