101
81
T [GeV]		muB [GeV]		F_over_T [fm^-1 / GeV]
0.100000		0.000000		-0.207280
0.101000		0.000000		-0.205850
0.102000		0.000000		-0.204418
0.103000		0.000000		-0.202986
0.104000		0.000000		-0.201555
0.105000		0.000000		-0.200128
0.106000		0.000000		-0.198705
0.107000		0.000000		-0.197289
0.108000		0.000000		-0.195880
0.109000		0.000000		-0.194481
0.110000		0.000000		-0.193093
0.111000		0.000000		-0.191716
0.112000		0.000000		-0.190352
0.113000		0.000000		-0.189002
0.114000		0.000000		-0.187667
0.115000		0.000000		-0.186348
0.116000		0.000000		-0.185045
0.117000		0.000000		-0.183761
0.118000		0.000000		-0.182495
0.119000		0.000000		-0.181248
0.120000		0.000000		-0.180021
0.121000		0.000000		-0.178814
0.122000		0.000000		-0.177628
0.123000		0.000000		-0.176464
0.124000		0.000000		-0.175320
0.125000		0.000000		-0.174199
0.126000		0.000000		-0.173101
0.127000		0.000000		-0.172024
0.128000		0.000000		-0.170971
0.129000		0.000000		-0.169940
0.130000		0.000000		-0.168932
0.131000		0.000000		-0.167948
0.132000		0.000000		-0.166986
0.133000		0.000000		-0.166048
0.134000		0.000000		-0.165132
0.135000		0.000000		-0.164240
0.136000		0.000000		-0.163371
0.137000		0.000000		-0.162524
0.138000		0.000000		-0.161700
0.139000		0.000000		-0.160899
0.140000		0.000000		-0.160119
0.141000		0.000000		-0.159362
0.142000		0.000000		-0.158627
0.143000		0.000000		-0.157914
0.144000		0.000000		-0.157221
0.145000		0.000000		-0.156550
0.146000		0.000000		-0.155900
0.147000		0.000000		-0.155271
0.148000		0.000000		-0.154661
0.149000		0.000000		-0.154072
0.150000		0.000000		-0.153502
0.151000		0.000000		-0.152951
0.152000		0.000000		-0.152420
0.153000		0.000000		-0.151907
0.154000		0.000000		-0.151413
0.155000		0.000000		-0.150936
0.156000		0.000000		-0.150477
0.157000		0.000000		-0.150036
0.158000		0.000000		-0.149611
0.159000		0.000000		-0.149203
0.160000		0.000000		-0.148812
0.161000		0.000000		-0.148436
0.162000		0.000000		-0.148076
0.163000		0.000000		-0.147732
0.164000		0.000000		-0.147402
0.165000		0.000000		-0.147087
0.166000		0.000000		-0.146787
0.167000		0.000000		-0.146501
0.168000		0.000000		-0.146228
0.169000		0.000000		-0.145968
0.170000		0.000000		-0.145722
0.171000		0.000000		-0.145489
0.172000		0.000000		-0.145268
0.173000		0.000000		-0.145059
0.174000		0.000000		-0.144863
0.175000		0.000000		-0.144678
0.176000		0.000000		-0.144504
0.177000		0.000000		-0.144342
0.178000		0.000000		-0.144190
0.179000		0.000000		-0.144049
0.180000		0.000000		-0.143918
0.181000		0.000000		-0.143798
0.182000		0.000000		-0.143687
0.183000		0.000000		-0.143586
0.184000		0.000000		-0.143494
0.185000		0.000000		-0.143412
0.186000		0.000000		-0.143338
0.187000		0.000000		-0.143273
0.188000		0.000000		-0.143216
0.189000		0.000000		-0.143168
0.190000		0.000000		-0.143128
0.191000		0.000000		-0.143096
0.192000		0.000000		-0.143071
0.193000		0.000000		-0.143054
0.194000		0.000000		-0.143044
0.195000		0.000000		-0.143041
0.196000		0.000000		-0.143045
0.197000		0.000000		-0.143056
0.198000		0.000000		-0.143074
0.199000		0.000000		-0.143098
0.200000		0.000000		-0.143128
0.100000		0.010000		-0.207317
0.101000		0.010000		-0.205888
0.102000		0.010000		-0.204456
0.103000		0.010000		-0.203025
0.104000		0.010000		-0.201595
0.105000		0.010000		-0.200168
0.106000		0.010000		-0.198746
0.107000		0.010000		-0.197330
0.108000		0.010000		-0.195923
0.109000		0.010000		-0.194524
0.110000		0.010000		-0.193136
0.111000		0.010000		-0.191759
0.112000		0.010000		-0.190395
0.113000		0.010000		-0.189046
0.114000		0.010000		-0.187711
0.115000		0.010000		-0.186392
0.116000		0.010000		-0.185090
0.117000		0.010000		-0.183806
0.118000		0.010000		-0.182540
0.119000		0.010000		-0.181293
0.120000		0.010000		-0.180066
0.121000		0.010000		-0.178859
0.122000		0.010000		-0.177673
0.123000		0.010000		-0.176508
0.124000		0.010000		-0.175365
0.125000		0.010000		-0.174244
0.126000		0.010000		-0.173145
0.127000		0.010000		-0.172069
0.128000		0.010000		-0.171015
0.129000		0.010000		-0.169984
0.130000		0.010000		-0.168976
0.131000		0.010000		-0.167991
0.132000		0.010000		-0.167029
0.133000		0.010000		-0.166090
0.134000		0.010000		-0.165175
0.135000		0.010000		-0.164282
0.136000		0.010000		-0.163412
0.137000		0.010000		-0.162565
0.138000		0.010000		-0.161741
0.139000		0.010000		-0.160939
0.140000		0.010000		-0.160159
0.141000		0.010000		-0.159402
0.142000		0.010000		-0.158666
0.143000		0.010000		-0.157952
0.144000		0.010000		-0.157260
0.145000		0.010000		-0.156588
0.146000		0.010000		-0.155938
0.147000		0.010000		-0.155308
0.148000		0.010000		-0.154698
0.149000		0.010000		-0.154108
0.150000		0.010000		-0.153538
0.151000		0.010000		-0.152987
0.152000		0.010000		-0.152455
0.153000		0.010000		-0.151942
0.154000		0.010000		-0.151447
0.155000		0.010000		-0.150970
0.156000		0.010000		-0.150511
0.157000		0.010000		-0.150069
0.158000		0.010000		-0.149644
0.159000		0.010000		-0.149235
0.160000		0.010000		-0.148843
0.161000		0.010000		-0.148468
0.162000		0.010000		-0.148107
0.163000		0.010000		-0.147762
0.164000		0.010000		-0.147432
0.165000		0.010000		-0.147117
0.166000		0.010000		-0.146816
0.167000		0.010000		-0.146529
0.168000		0.010000		-0.146256
0.169000		0.010000		-0.145997
0.170000		0.010000		-0.145750
0.171000		0.010000		-0.145516
0.172000		0.010000		-0.145295
0.173000		0.010000		-0.145086
0.174000		0.010000		-0.144889
0.175000		0.010000		-0.144704
0.176000		0.010000		-0.144530
0.177000		0.010000		-0.144367
0.178000		0.010000		-0.144215
0.179000		0.010000		-0.144074
0.180000		0.010000		-0.143943
0.181000		0.010000		-0.143822
0.182000		0.010000		-0.143711
0.183000		0.010000		-0.143610
0.184000		0.010000		-0.143518
0.185000		0.010000		-0.143435
0.186000		0.010000		-0.143361
0.187000		0.010000		-0.143296
0.188000		0.010000		-0.143239
0.189000		0.010000		-0.143190
0.190000		0.010000		-0.143150
0.191000		0.010000		-0.143117
0.192000		0.010000		-0.143092
0.193000		0.010000		-0.143075
0.194000		0.010000		-0.143065
0.195000		0.010000		-0.143062
0.196000		0.010000		-0.143066
0.197000		0.010000		-0.143077
0.198000		0.010000		-0.143094
0.199000		0.010000		-0.143118
0.200000		0.010000		-0.143147
0.100000		0.020000		-0.207425
0.101000		0.020000		-0.205998
0.102000		0.020000		-0.204569
0.103000		0.020000		-0.203140
0.104000		0.020000		-0.201712
0.105000		0.020000		-0.200287
0.106000		0.020000		-0.198867
0.107000		0.020000		-0.197453
0.108000		0.020000		-0.196047
0.109000		0.020000		-0.194650
0.110000		0.020000		-0.193263
0.111000		0.020000		-0.191888
0.112000		0.020000		-0.190525
0.113000		0.020000		-0.189176
0.114000		0.020000		-0.187842
0.115000		0.020000		-0.186524
0.116000		0.020000		-0.185223
0.117000		0.020000		-0.183939
0.118000		0.020000		-0.182674
0.119000		0.020000		-0.181427
0.120000		0.020000		-0.180200
0.121000		0.020000		-0.178993
0.122000		0.020000		-0.177807
0.123000		0.020000		-0.176642
0.124000		0.020000		-0.175498
0.125000		0.020000		-0.174377
0.126000		0.020000		-0.173277
0.127000		0.020000		-0.172200
0.128000		0.020000		-0.171146
