101
81
T [GeV]		muB [GeV]		G [1]
0.100000		0.000000		0.000000
0.101000		0.000000		0.000000
0.102000		0.000000		0.000000
0.103000		0.000000		0.000000
0.104000		0.000000		0.000000
0.105000		0.000000		0.000000
0.106000		0.000000		0.000000
0.107000		0.000000		0.000000
0.108000		0.000000		0.000000
0.109000		0.000000		0.000000
0.110000		0.000000		0.000000
0.111000		0.000000		0.000000
0.112000		0.000000		0.000000
0.113000		0.000000		0.000000
0.114000		0.000000		0.000000
0.115000		0.000000		0.000000
0.116000		0.000000		0.000000
0.117000		0.000000		0.000000
0.118000		0.000000		0.000000
0.119000		0.000000		0.000000
0.120000		0.000000		0.000000
0.121000		0.000000		0.000000
0.122000		0.000000		0.000000
0.123000		0.000000		0.000000
0.124000		0.000000		0.000000
0.125000		0.000000		0.000000
0.126000		0.000000		0.000000
0.127000		0.000000		0.000000
0.128000		0.000000		0.000000
0.129000		0.000000		0.000000
0.130000		0.000000		0.000000
0.131000		0.000000		0.000000
0.132000		0.000000		0.000000
0.133000		0.000000		0.000000
0.134000		0.000000		0.000000
0.135000		0.000000		0.000000
0.136000		0.000000		0.000000
0.137000		0.000000		0.000000
0.138000		0.000000		0.000000
0.139000		0.000000		0.000000
0.140000		0.000000		0.000000
0.141000		0.000000		0.000000
0.142000		0.000000		0.000000
0.143000		0.000000		0.000000
0.144000		0.000000		0.000000
0.145000		0.000000		0.000000
0.146000		0.000000		0.000000
0.147000		0.000000		0.000000
0.148000		0.000000		0.000000
0.149000		0.000000		0.000000
0.150000		0.000000		0.000000
0.151000		0.000000		0.000000
0.152000		0.000000		0.000000
0.153000		0.000000		0.000000
0.154000		0.000000		0.000000
0.155000		0.000000		0.000000
0.156000		0.000000		0.000000
0.157000		0.000000		0.000000
0.158000		0.000000		0.000000
0.159000		0.000000		0.000000
0.160000		0.000000		0.000000
0.161000		0.000000		0.000000
0.162000		0.000000		0.000000
0.163000		0.000000		0.000000
0.164000		0.000000		0.000000
0.165000		0.000000		0.000000
0.166000		0.000000		0.000000
0.167000		0.000000		0.000000
0.168000		0.000000		0.000000
0.169000		0.000000		0.000000
0.170000		0.000000		0.000000
0.171000		0.000000		0.000000
0.172000		0.000000		0.000000
0.173000		0.000000		0.000000
0.174000		0.000000		0.000000
0.175000		0.000000		0.000000
0.176000		0.000000		0.000000
0.177000		0.000000		0.000000
0.178000		0.000000		0.000000
0.179000		0.000000		0.000000
0.180000		0.000000		0.000000
0.181000		0.000000		0.000000
0.182000		0.000000		0.000000
0.183000		0.000000		0.000000
0.184000		0.000000		0.000000
0.185000		0.000000		0.000000
0.186000		0.000000		0.000000
0.187000		0.000000		0.000000
0.188000		0.000000		0.000000
0.189000		0.000000		0.000000
0.190000		0.000000		0.000000
0.191000		0.000000		0.000000
0.192000		0.000000		0.000000
0.193000		0.000000		0.000000
0.194000		0.000000		0.000000
0.195000		0.000000		0.000000
0.196000		0.000000		0.000000
0.197000		0.000000		0.000000
0.198000		0.000000		0.000000
0.199000		0.000000		0.000000
0.200000		0.000000		0.000000
0.100000		0.010000		0.158565
0.101000		0.010000		0.153837
0.102000		0.010000		0.149250
0.103000		0.010000		0.144800
0.104000		0.010000		0.140484
0.105000		0.010000		0.136298
0.106000		0.010000		0.132239
0.107000		0.010000		0.128303
0.108000		0.010000		0.124488
0.109000		0.010000		0.120789
0.110000		0.010000		0.117204
0.111000		0.010000		0.113730
0.112000		0.010000		0.110364
0.113000		0.010000		0.107103
0.114000		0.010000		0.103943
0.115000		0.010000		0.100883
0.116000		0.010000		0.097919
0.117000		0.010000		0.095049
0.118000		0.010000		0.092269
0.119000		0.010000		0.089578
0.120000		0.010000		0.086973
0.121000		0.010000		0.084450
0.122000		0.010000		0.082009
0.123000		0.010000		0.079646
0.124000		0.010000		0.077360
0.125000		0.010000		0.075147
0.126000		0.010000		0.073005
0.127000		0.010000		0.070933
0.128000		0.010000		0.068928
0.129000		0.010000		0.066988
0.130000		0.010000		0.065112
0.131000		0.010000		0.063296
0.132000		0.010000		0.061540
0.133000		0.010000		0.059841
0.134000		0.010000		0.058197
0.135000		0.010000		0.056607
0.136000		0.010000		0.055069
0.137000		0.010000		0.053582
0.138000		0.010000		0.052143
0.139000		0.010000		0.050751
0.140000		0.010000		0.049404
0.141000		0.010000		0.048101
0.142000		0.010000		0.046841
