101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.100000		0.000000		0.026271
0.101000		0.000000		0.029026
0.102000		0.000000		0.032015
0.103000		0.000000		0.035255
0.104000		0.000000		0.038760
0.105000		0.000000		0.042547
0.106000		0.000000		0.046633
0.107000		0.000000		0.051037
0.108000		0.000000		0.055777
0.109000		0.000000		0.060872
0.110000		0.000000		0.066343
0.111000		0.000000		0.072210
0.112000		0.000000		0.078495
0.113000		0.000000		0.085220
0.114000		0.000000		0.092409
0.115000		0.000000		0.100085
0.116000		0.000000		0.108273
0.117000		0.000000		0.116999
0.118000		0.000000		0.126289
0.119000		0.000000		0.136170
0.120000		0.000000		0.146670
0.121000		0.000000		0.157818
0.122000		0.000000		0.169644
0.123000		0.000000		0.182178
0.124000		0.000000		0.195451
0.125000		0.000000		0.209496
0.126000		0.000000		0.224346
0.127000		0.000000		0.240034
0.128000		0.000000		0.256596
0.129000		0.000000		0.274066
0.130000		0.000000		0.292483
0.131000		0.000000		0.311882
0.132000		0.000000		0.332303
0.133000		0.000000		0.353784
0.134000		0.000000		0.376366
0.135000		0.000000		0.400088
0.136000		0.000000		0.424994
0.137000		0.000000		0.451126
0.138000		0.000000		0.478527
0.139000		0.000000		0.507242
0.140000		0.000000		0.537315
0.141000		0.000000		0.568793
0.142000		0.000000		0.601724
0.143000		0.000000		0.636153
0.144000		0.000000		0.672131
0.145000		0.000000		0.709707
0.146000		0.000000		0.748931
0.147000		0.000000		0.789854
0.148000		0.000000		0.832528
0.149000		0.000000		0.877006
0.150000		0.000000		0.923341
0.151000		0.000000		0.971588
0.152000		0.000000		1.021802
0.153000		0.000000		1.074038
0.154000		0.000000		1.128353
0.155000		0.000000		1.184805
0.156000		0.000000		1.243451
0.157000		0.000000		1.304351
0.158000		0.000000		1.367564
0.159000		0.000000		1.433149
0.160000		0.000000		1.501169
0.161000		0.000000		1.571684
0.162000		0.000000		1.644757
0.163000		0.000000		1.720449
0.164000		0.000000		1.798826
0.165000		0.000000		1.879950
0.166000		0.000000		1.963887
0.167000		0.000000		2.050702
0.168000		0.000000		2.140459
0.169000		0.000000		2.233226
0.170000		0.000000		2.329069
0.171000		0.000000		2.428056
0.172000		0.000000		2.530253
0.173000		0.000000		2.635731
0.174000		0.000000		2.744555
0.175000		0.000000		2.856797
0.176000		0.000000		2.972526
0.177000		0.000000		3.091810
0.178000		0.000000		3.214721
0.179000		0.000000		3.341329
0.180000		0.000000		3.471705
0.181000		0.000000		3.605920
0.182000		0.000000		3.744045
0.183000		0.000000		3.886152
0.184000		0.000000		4.032313
0.185000		0.000000		4.182601
0.186000		0.000000		4.337087
0.187000		0.000000		4.495844
0.188000		0.000000		4.658945
0.189000		0.000000		4.826463
0.190000		0.000000		4.998470
0.191000		0.000000		5.175040
0.192000		0.000000		5.356246
0.193000		0.000000		5.542162
0.194000		0.000000		5.732860
0.195000		0.000000		5.928413
0.196000		0.000000		6.128896
0.197000		0.000000		6.334380
0.198000		0.000000		6.544941
0.199000		0.000000		6.760650
0.200000		0.000000		6.981581
0.100000		0.010000		0.026396
0.101000		0.010000		0.029161
0.102000		0.010000		0.032161
0.103000		0.010000		0.035411
0.104000		0.010000		0.038928
0.105000		0.010000		0.042727
0.106000		0.010000		0.046826
0.107000		0.010000		0.051243
0.108000		0.010000		0.055997
0.109000		0.010000		0.061107
0.110000		0.010000		0.066593
0.111000		0.010000		0.072476
0.112000		0.010000		0.078777
0.113000		0.010000		0.085519
0.114000		0.010000		0.092725
0.115000		0.010000		0.100420
0.116000		0.010000		0.108627
0.117000		0.010000		0.117372
0.118000		0.010000		0.126682
0.119000		0.010000		0.136584
0.120000		0.010000		0.147105
0.121000		0.010000		0.158275
0.122000		0.010000		0.170124
0.123000		0.010000		0.182681
0.124000		0.010000		0.195977
0.125000		0.010000		0.210047
0.126000		0.010000		0.224921
0.127000		0.010000		0.240634
0.128000		0.010000		0.257222
0.129000		0.010000		0.274719
0.130000		0.010000		0.293162
0.131000		0.010000		0.312588
0.132000		0.010000		0.333037
0.133000		0.010000		0.354546
0.134000		0.010000		0.377156
0.135000		0.010000		0.400907
0.136000		0.010000		0.425843
0.137000		0.010000		0.452004
0.138000		0.010000		0.479435
0.139000		0.010000		0.508179
0.140000		0.010000		0.538283
0.141000		0.010000		0.569792
0.142000		0.010000		0.602753
0.143000		0.010000		0.637214
0.144000		0.010000		0.673223
0.145000		0.010000		0.710830
0.146000		0.010000		0.750085
0.147000		0.010000		0.791040
0.148000		0.010000		0.833745
0.149000		0.010000		0.878255
0.150000		0.010000		0.924622
0.151000		0.010000		0.972900
0.152000		0.010000		1.023145
0.153000		0.010000		1.075413
0.154000		0.010000		1.129759
0.155000		0.010000		1.186243
0.156000		0.010000		1.244920
0.157000		0.010000		1.305851
0.158000		0.010000		1.369094
0.159000		0.010000		1.434710
0.160000		0.010000		1.502760
0.161000		0.010000		1.573305
0.162000		0.010000		1.646407
0.163000		0.010000		1.722129
0.164000		0.010000		1.800535
0.165000		0.010000		1.881688
0.166000		0.010000		1.965653
0.167000		0.010000		2.052495
0.168000		0.010000		2.142280
0.169000		0.010000		2.235074
0.170000		0.010000		2.330944
0.171000		0.010000		2.429957
0.172000		0.010000		2.532180
0.173000		0.010000		2.637682
0.174000		0.010000		2.746531
0.175000		0.010000		2.858797
0.176000		0.010000		2.974548
0.177000		0.010000		3.093855
0.178000		0.010000		3.216788
0.179000		0.010000		3.343418
0.180000		0.010000		3.473814
0.181000		0.010000		3.608048
0.182000		0.010000		3.746193
0.183000		0.010000		3.888318
0.184000		0.010000		4.034497
0.185000		0.010000		4.184802
0.186000		0.010000		4.339304
0.187000		0.010000		4.498076
0.188000		0.010000		4.661192
0.189000		0.010000		4.828724
0.190000		0.010000		5.000744
0.191000		0.010000		5.177326
0.192000		0.010000		5.358544
0.193000		0.010000		5.544469
0.194000		0.010000		5.735177
0.195000		0.010000		5.930739
0.196000		0.010000		6.131229
0.197000		0.010000		6.336721
0.198000		0.010000		6.547287
0.199000		0.010000		6.763001
0.200000		0.010000		6.983936
0.100000		0.020000		0.026773
0.101000		0.020000		0.029568
0.102000		0.020000		0.032599
0.103000		0.020000		0.035883
0.104000		0.020000		0.039434
0.105000		0.020000		0.043270
0.106000		0.020000		0.047407
0.107000		0.020000		0.051864
0.108000		0.020000		0.056660
0.109000		0.020000		0.061813
0.110000		0.020000		0.067345
0.111000		0.020000		0.073275
0.112000		0.020000		0.079625
0.113000		0.020000		0.086418
0.114000		0.020000		0.093678
0.115000		0.020000		0.101427
0.116000		0.020000		0.109690
0.117000		0.020000		0.118494
0.118000		0.020000		0.127864
0.119000		0.020000		0.137828
0.120000		0.020000		0.148413
0.121000		0.020000		0.159649
0.122000		0.020000		0.171565
0.123000		0.020000		0.184191
0.124000		0.020000		0.197558
0.125000		0.020000		0.211700
0.126000		0.020000		0.226648
0.127000		0.020000		0.242437
0.128000		0.020000		0.259102
0.129000		0.020000		0.276678
0.130000		0.020000		0.295201
0.131000		0.020000		0.314709
0.132000		0.020000		0.335240
0.133000		0.020000		0.356833
0.134000		0.020000		0.379528
0.135000		0.020000		0.403366
0.136000		0.020000		0.428388
0.137000		0.020000		0.454638
0.138000		0.020000		0.482158
0.139000		0.020000		0.510992
0.140000		0.020000		0.541187
0.141000		0.020000		0.572788
0.142000		0.020000		0.605841
0.143000		0.020000		0.640395
0.144000		0.020000		0.676497
0.145000		0.020000		0.714198
0.146000		0.020000		0.753547
0.147000		0.020000		0.794596
0.148000		0.020000		0.837396
0.149000		0.020000		0.882000
0.150000		0.020000		0.928462
0.151000		0.020000		0.976835
0.152000		0.020000		1.027174
0.153000		0.020000		1.079536
0.154000		0.020000		1.133977
0.155000		0.020000		1.190554
0.156000		0.020000		1.249324
0.157000		0.020000		1.310348
0.158000		0.020000		1.373683
0.159000		0.020000		1.439391
0.160000		0.020000		1.507531
0.161000		0.020000		1.578166
0.162000		0.020000		1.651357
0.163000		0.020000		1.727167
0.164000		0.020000		1.805660
0.165000		0.020000		1.886899
0.166000		0.020000		1.970949
0.167000		0.020000		2.057874
0.168000		0.020000		2.147741
0.169000		0.020000		2.240616
0.170000		0.020000		2.336565
0.171000		0.020000		2.435655
0.172000		0.020000		2.537955
0.173000		0.020000		2.643532
0.174000		0.020000		2.752454
0.175000		0.020000		2.864791
0.176000		0.020000		2.980612
0.177000		0.020000		3.099986
0.178000		0.020000		3.222985
0.179000		0.020000		3.349678
0.180000		0.020000		3.480136
0.181000		0.020000		3.614430
0.182000		0.020000		3.752632
0.183000		0.020000		3.894813
0.184000		0.020000		4.041045
0.185000		0.020000		4.191400
0.186000		0.020000		4.345950
0.187000		0.020000		4.504769
0.188000		0.020000		4.667928
0.189000		0.020000		4.835501
0.190000		0.020000		5.007560
0.191000		0.020000		5.184179
0.192000		0.020000		5.365430
0.193000		0.020000		5.551387
0.194000		0.020000		5.742123
0.195000		0.020000		5.937711
0.196000		0.020000		6.138224
0.197000		0.020000		6.343737
0.198000		0.020000		6.554321
0.199000		0.020000		6.770050
0.200000		0.020000		6.990997
0.100000		0.030000		0.027404
0.101000		0.030000		0.030249
0.102000		0.030000		0.033333
0.103000		0.030000		0.036672
0.104000		0.030000		0.040282
0.105000		0.030000		0.044178
0.106000		0.030000		0.048380
0.107000		0.030000		0.052904
0.108000		0.030000		0.057769
0.109000		0.030000		0.062995
0.110000		0.030000		0.068603
0.111000		0.030000		0.074612
0.112000		0.030000		0.081044
0.113000		0.030000		0.087923
0.114000		0.030000		0.095270
0.115000		0.030000		0.103110
0.116000		0.030000		0.111468
0.117000		0.030000		0.120370
0.118000		0.030000		0.129840
0.119000		0.030000		0.139907
0.120000		0.030000		0.150599
0.121000		0.030000		0.161944
0.122000		0.030000		0.173972
0.123000		0.030000		0.186713
0.124000		0.030000		0.200199
0.125000		0.030000		0.214461
0.126000		0.030000		0.229533
0.127000		0.030000		0.245448
0.128000		0.030000		0.262241
0.129000		0.030000		0.279947
0.130000		0.030000		0.298604
0.131000		0.030000		0.318247
0.132000		0.030000		0.338916
0.133000		0.030000		0.360648
0.134000		0.030000		0.383485
0.135000		0.030000		0.407467
0.136000		0.030000		0.432634
0.137000		0.030000		0.459031
0.138000		0.030000		0.486699
0.139000		0.030000		0.515684
0.140000		0.030000		0.546030
0.141000		0.030000		0.577783
0.142000		0.030000		0.610989
0.143000		0.030000		0.645697
0.144000		0.030000		0.681955
0.145000		0.030000		0.719812
0.146000		0.030000		0.759317
0.147000		0.030000		0.800523
0.148000		0.030000		0.843480
0.149000		0.030000		0.888242
0.150000		0.030000		0.934860
0.151000		0.030000		0.983391
0.152000		0.030000		1.033887
0.153000		0.030000		1.086406
0.154000		0.030000		1.141002
0.155000		0.030000		1.197735
0.156000		0.030000		1.256660
0.157000		0.030000		1.317838
0.158000		0.030000		1.381326
0.159000		0.030000		1.447185
0.160000		0.030000		1.515476
0.161000		0.030000		1.586261
0.162000		0.030000		1.659599
0.163000		0.030000		1.735556
0.164000		0.030000		1.814193
0.165000		0.030000		1.895575
0.166000		0.030000		1.979765
0.167000		0.030000		2.066829
0.168000		0.030000		2.156833
0.169000		0.030000		2.249842
0.170000		0.030000		2.345923
0.171000		0.030000		2.445142
0.172000		0.030000		2.547568
0.173000		0.030000		2.653269
0.174000		0.030000		2.762313
0.175000		0.030000		2.874768
0.176000		0.030000		2.990704
0.177000		0.030000		3.110191
0.178000		0.030000		3.233299
0.179000		0.030000		3.360097
0.180000		0.030000		3.490658
0.181000		0.030000		3.625051
0.182000		0.030000		3.763348
0.183000		0.030000		3.905621
0.184000		0.030000		4.051941
0.185000		0.030000		4.202381
0.186000		0.030000		4.357012
0.187000		0.030000		4.515907
0.188000		0.030000		4.679140
0.189000		0.030000		4.846781
0.190000		0.030000		5.018905
0.191000		0.030000		5.195584
0.192000		0.030000		5.376891
0.193000		0.030000		5.562900
0.194000		0.030000		5.753683
0.195000		0.030000		5.949314
0.196000		0.030000		6.149866
0.197000		0.030000		6.355413
0.198000		0.030000		6.566026
0.199000		0.030000		6.781780
0.200000		0.030000		7.002748
0.100000		0.040000		0.028297
0.101000		0.040000		0.031211
0.102000		0.040000		0.034369
0.103000		0.040000		0.037786
0.104000		0.040000		0.041477
0.105000		0.040000		0.045460
0.106000		0.040000		0.049751
0.107000		0.040000		0.054369
0.108000		0.040000		0.059332
0.109000		0.040000		0.064661
0.110000		0.040000		0.070374
0.111000		0.040000		0.076494
0.112000		0.040000		0.083042
0.113000		0.040000		0.090040
0.114000		0.040000		0.097511
0.115000		0.040000		0.105479
0.116000		0.040000		0.113969
0.117000		0.040000		0.123007
0.118000		0.040000		0.132618
0.119000		0.040000		0.142830
0.120000		0.040000		0.153671
0.121000		0.040000		0.165169
0.122000		0.040000		0.177354
0.123000		0.040000		0.190257
0.124000		0.040000		0.203907
0.125000		0.040000		0.218338
0.126000		0.040000		0.233582
0.127000		0.040000		0.249673
0.128000		0.040000		0.266646
0.129000		0.040000		0.284535
0.130000		0.040000		0.303378
0.131000		0.040000		0.323210
0.132000		0.040000		0.344071
0.133000		0.040000		0.365999
0.134000		0.040000		0.389034
0.135000		0.040000		0.413215
0.136000		0.040000		0.438586
0.137000		0.040000		0.465188
0.138000		0.040000		0.493063
0.139000		0.040000		0.522257
0.140000		0.040000		0.552814
0.141000		0.040000		0.584779
0.142000		0.040000		0.618200
0.143000		0.040000		0.653123
0.144000		0.040000		0.689597
0.145000		0.040000		0.727671
0.146000		0.040000		0.767395
0.147000		0.040000		0.808819
0.148000		0.040000		0.851996
0.149000		0.040000		0.896976
0.150000		0.040000		0.943814
0.151000		0.040000		0.992564
0.152000		0.040000		1.043279
0.153000		0.040000		1.096016
0.154000		0.040000		1.150830
0.155000		0.040000		1.207779
0.156000		0.040000		1.266921
0.157000		0.040000		1.328313
0.158000		0.040000		1.392014
0.159000		0.040000		1.458085
0.160000		0.040000		1.526586
0.161000		0.040000		1.597578
0.162000		0.040000		1.671123
0.163000		0.040000		1.747283
0.164000		0.040000		1.826122
0.165000		0.040000		1.907702
0.166000		0.040000		1.992089
0.167000		0.040000		2.079346
0.168000		0.040000		2.169540
0.169000		0.040000		2.262736
0.170000		0.040000		2.359000
0.171000		0.040000		2.458400
0.172000		0.040000		2.561003
0.173000		0.040000		2.666876
0.174000		0.040000		2.776089
0.175000		0.040000		2.888709
0.176000		0.040000		3.004806
0.177000		0.040000		3.124449
0.178000		0.040000		3.247709
0.179000		0.040000		3.374655
0.180000		0.040000		3.505358
0.181000		0.040000		3.639890
0.182000		0.040000		3.778320
0.183000		0.040000		3.920721
0.184000		0.040000		4.067164
0.185000		0.040000		4.217721
0.186000		0.040000		4.372465
0.187000		0.040000		4.531468
0.188000		0.040000		4.694801
0.189000		0.040000		4.862538
0.190000		0.040000		5.034752
0.191000		0.040000		5.211516
0.192000		0.040000		5.392901
0.193000		0.040000		5.578982
0.194000		0.040000		5.769832
0.195000		0.040000		5.965523
0.196000		0.040000		6.166130
0.197000		0.040000		6.371724
0.198000		0.040000		6.582379
0.199000		0.040000		6.798168
0.200000		0.040000		7.019164
0.100000		0.050000		0.029456
0.101000		0.050000		0.032462
0.102000		0.050000		0.035716
0.103000		0.050000		0.039233
0.104000		0.050000		0.043030
0.105000		0.050000		0.047123
0.106000		0.050000		0.051530
0.107000		0.050000		0.056269
0.108000		0.050000		0.061359
0.109000		0.050000		0.066820
0.110000		0.050000		0.072671
0.111000		0.050000		0.078933
0.112000		0.050000		0.085629
0.113000		0.050000		0.092781
0.114000		0.050000		0.100411
