101
81
T [GeV]		muB [GeV]		betabulk_over_T4 [fm^-4 / GeV^4]
0.100000		0.000000		9.304324
0.101000		0.000000		9.597139
0.102000		0.000000		9.895250
0.103000		0.000000		10.198642
0.104000		0.000000		10.507305
0.105000		0.000000		10.821233
0.106000		0.000000		11.140424
0.107000		0.000000		11.464880
0.108000		0.000000		11.794607
0.109000		0.000000		12.129617
0.110000		0.000000		12.469925
0.111000		0.000000		12.815551
0.112000		0.000000		13.166520
0.113000		0.000000		13.522862
0.114000		0.000000		13.884612
0.115000		0.000000		14.251810
0.116000		0.000000		14.624500
0.117000		0.000000		15.002733
0.118000		0.000000		15.386564
0.119000		0.000000		15.776051
0.120000		0.000000		16.171260
0.121000		0.000000		16.572261
0.122000		0.000000		16.979126
0.123000		0.000000		17.391937
0.124000		0.000000		17.810775
0.125000		0.000000		18.235730
0.126000		0.000000		18.666894
0.127000		0.000000		19.104364
0.128000		0.000000		19.548240
0.129000		0.000000		19.998628
0.130000		0.000000		20.455636
0.131000		0.000000		20.919378
0.132000		0.000000		21.389969
0.133000		0.000000		21.867529
0.134000		0.000000		22.352181
0.135000		0.000000		22.844050
0.136000		0.000000		23.343266
0.137000		0.000000		23.849959
0.138000		0.000000		24.364264
0.139000		0.000000		24.886317
0.140000		0.000000		25.416256
0.141000		0.000000		25.954221
0.142000		0.000000		26.500356
0.143000		0.000000		27.054803
0.144000		0.000000		27.617709
0.145000		0.000000		28.189218
0.146000		0.000000		28.769480
0.147000		0.000000		29.358641
0.148000		0.000000		29.956852
0.149000		0.000000		30.564261
0.150000		0.000000		31.181020
0.151000		0.000000		31.807277
0.152000		0.000000		32.443182
0.153000		0.000000		33.088887
0.154000		0.000000		33.744540
0.155000		0.000000		34.410291
0.156000		0.000000		35.086287
0.157000		0.000000		35.772678
0.158000		0.000000		36.469608
0.159000		0.000000		37.177226
0.160000		0.000000		37.895674
0.161000		0.000000		38.625095
0.162000		0.000000		39.365633
0.163000		0.000000		40.117426
0.164000		0.000000		40.880614
0.165000		0.000000		41.655332
0.166000		0.000000		42.441715
0.167000		0.000000		43.239896
0.168000		0.000000		44.050005
0.169000		0.000000		44.872170
0.170000		0.000000		45.706516
0.171000		0.000000		46.553168
0.172000		0.000000		47.412245
0.173000		0.000000		48.283865
0.174000		0.000000		49.168144
0.175000		0.000000		50.065194
0.176000		0.000000		50.975124
0.177000		0.000000		51.898042
0.178000		0.000000		52.834051
0.179000		0.000000		53.783250
0.180000		0.000000		54.745739
0.181000		0.000000		55.721609
0.182000		0.000000		56.710953
0.183000		0.000000		57.713858
0.184000		0.000000		58.730408
0.185000		0.000000		59.760684
0.186000		0.000000		60.804763
0.187000		0.000000		61.862719
0.188000		0.000000		62.934623
0.189000		0.000000		64.020540
0.190000		0.000000		65.120534
0.191000		0.000000		66.234666
0.192000		0.000000		67.362990
0.193000		0.000000		68.505559
0.194000		0.000000		69.662422
0.195000		0.000000		70.833625
0.196000		0.000000		72.019207
0.197000		0.000000		73.219207
0.198000		0.000000		74.433659
0.199000		0.000000		75.662593
0.200000		0.000000		76.906036
0.100000		0.010000		9.300655
0.101000		0.010000		9.593374
0.102000		0.010000		9.891393
0.103000		0.010000		10.194699
0.104000		0.010000		10.503282
0.105000		0.010000		10.817136
0.106000		0.010000		11.136260
0.107000		0.010000		11.460655
0.108000		0.010000		11.790329
0.109000		0.010000		12.125292
0.110000		0.010000		12.465561
0.111000		0.010000		12.811156
0.112000		0.010000		13.162102
0.113000		0.010000		13.518428
0.114000		0.010000		13.880171
0.115000		0.010000		14.247371
0.116000		0.010000		14.620071
0.117000		0.010000		14.998322
0.118000		0.010000		15.382179
0.119000		0.010000		15.771702
0.120000		0.010000		16.166954
0.121000		0.010000		16.568007
0.122000		0.010000		16.974934
0.123000		0.010000		17.387814
0.124000		0.010000		17.806730
0.125000		0.010000		18.231772
0.126000		0.010000		18.663031
0.127000		0.010000		19.100604
0.128000		0.010000		19.544592
0.129000		0.010000		19.995100
0.130000		0.010000		20.452236
0.131000		0.010000		20.916115
0.132000		0.010000		21.386850
0.133000		0.010000		21.864562
0.134000		0.010000		22.349374
0.135000		0.010000		22.841412
0.136000		0.010000		23.340803
0.137000		0.010000		23.847679
0.138000		0.010000		24.362174
0.139000		0.010000		24.884425
0.140000		0.010000		25.414569
0.141000		0.010000		25.952747
0.142000		0.010000		26.499101
0.143000		0.010000		27.053775
0.144000		0.010000		27.616913
0.145000		0.010000		28.188663
0.146000		0.010000		28.769170
0.147000		0.010000		29.358585
0.148000		0.010000		29.957055
0.149000		0.010000		30.564730
0.150000		0.010000		31.181760
0.151000		0.010000		31.808295
0.152000		0.010000		32.444485
0.153000		0.010000		33.090479
0.154000		0.010000		33.746428
0.155000		0.010000		34.412480
0.156000		0.010000		35.088784
0.157000		0.010000		35.775487
0.158000		0.010000		36.472736
0.159000		0.010000		37.180676
0.160000		0.010000		37.899453
0.161000		0.010000		38.629209
0.162000		0.010000		39.370085
0.163000		0.010000		40.122223
0.164000		0.010000		40.885759
0.165000		0.010000		41.660831
0.166000		0.010000		42.447572
0.167000		0.010000		43.246117
0.168000		0.010000		44.056593
0.169000		0.010000		44.879130
0.170000		0.010000		45.713854
0.171000		0.010000		46.560886
0.172000		0.010000		47.420348
0.173000		0.010000		48.292358
0.174000		0.010000		49.177030
0.175000		0.010000		50.074478
0.176000		0.010000		50.984810
0.177000		0.010000		51.908133
0.178000		0.010000		52.844551
0.179000		0.010000		53.794163
0.180000		0.010000		54.757067
0.181000		0.010000		55.733358
0.182000		0.010000		56.723125
0.183000		0.010000		57.726457
0.184000		0.010000		58.743436
0.185000		0.010000		59.774145
0.186000		0.010000		60.818660
0.187000		0.010000		61.877055
0.188000		0.010000		62.949400
0.189000		0.010000		64.035762
0.190000		0.010000		65.136204
0.191000		0.010000		66.250785
0.192000		0.010000		67.379562
0.193000		0.010000		68.522587
0.194000		0.010000		69.679907
0.195000		0.010000		70.851569
0.196000		0.010000		72.037613
0.197000		0.010000		73.238077
0.198000		0.010000		74.452995
0.199000		0.010000		75.682397
0.200000		0.010000		76.926310
0.100000		0.020000		9.289854
0.101000		0.020000		9.582285
0.102000		0.020000		9.880032
0.103000		0.020000		10.183081
0.104000		0.020000		10.491425
0.105000		0.020000		10.805059
0.106000		0.020000		11.123981
0.107000		0.020000		11.448195
0.108000		0.020000		11.777708
0.109000		0.020000		12.112533
0.110000		0.020000		12.452685
0.111000		0.020000		12.798186
0.112000		0.020000		13.149061
0.113000		0.020000		13.505342
0.114000		0.020000		13.867063
0.115000		0.020000		14.234265
0.116000		0.020000		14.606993
0.117000		0.020000		14.985297
0.118000		0.020000		15.369232
0.119000		0.020000		15.758858
0.120000		0.020000		16.154241
0.121000		0.020000		16.555448
0.122000		0.020000		16.962556
0.123000		0.020000		17.375642
0.124000		0.020000		17.794791
0.125000		0.020000		18.220090
0.126000		0.020000		18.651631
0.127000		0.020000		19.089512
0.128000		0.020000		19.533833
0.129000		0.020000		19.984699
0.130000		0.020000		20.442218
0.131000		0.020000		20.906503
0.132000		0.020000		21.377669
0.133000		0.020000		21.855836
0.134000		0.020000		22.341126
0.135000		0.020000		22.833665
0.136000		0.020000		23.333580
0.137000		0.020000		23.841004
0.138000		0.020000		24.356069
0.139000		0.020000		24.878911
0.140000		0.020000		25.409668
