101
81
T [GeV]		muB [GeV]		betapi_over_T4 [fm^-4 / GeV^4]
0.100000		0.000000		29.369794
0.101000		0.000000		29.818186
0.102000		0.000000		30.275180
0.103000		0.000000		30.741132
0.104000		0.000000		31.216401
0.105000		0.000000		31.701349
0.106000		0.000000		32.196345
0.107000		0.000000		32.701763
0.108000		0.000000		33.217982
0.109000		0.000000		33.745385
0.110000		0.000000		34.284362
0.111000		0.000000		34.835308
0.112000		0.000000		35.398622
0.113000		0.000000		35.974711
0.114000		0.000000		36.563986
0.115000		0.000000		37.166864
0.116000		0.000000		37.783767
0.117000		0.000000		38.415125
0.118000		0.000000		39.061372
0.119000		0.000000		39.722947
0.120000		0.000000		40.400297
0.121000		0.000000		41.093874
0.122000		0.000000		41.804135
0.123000		0.000000		42.531544
0.124000		0.000000		43.276571
0.125000		0.000000		44.039690
0.126000		0.000000		44.821382
0.127000		0.000000		45.622133
0.128000		0.000000		46.442437
0.129000		0.000000		47.282790
0.130000		0.000000		48.143697
0.131000		0.000000		49.025664
0.132000		0.000000		49.929208
0.133000		0.000000		50.854846
0.134000		0.000000		51.803103
0.135000		0.000000		52.774509
0.136000		0.000000		53.769598
0.137000		0.000000		54.788908
0.138000		0.000000		55.832985
0.139000		0.000000		56.902376
0.140000		0.000000		57.997633
0.141000		0.000000		59.119314
0.142000		0.000000		60.267979
0.143000		0.000000		61.444193
0.144000		0.000000		62.648525
0.145000		0.000000		63.881547
0.146000		0.000000		65.143833
0.147000		0.000000		66.435964
0.148000		0.000000		67.758519
0.149000		0.000000		69.112083
0.150000		0.000000		70.497244
0.151000		0.000000		71.914591
0.152000		0.000000		73.364714
0.153000		0.000000		74.848209
0.154000		0.000000		76.365668
0.155000		0.000000		77.917691
0.156000		0.000000		79.504874
0.157000		0.000000		81.127816
0.158000		0.000000		82.787118
0.159000		0.000000		84.483381
0.160000		0.000000		86.217206
0.161000		0.000000		87.989193
0.162000		0.000000		89.799946
0.163000		0.000000		91.650063
0.164000		0.000000		93.540147
0.165000		0.000000		95.470798
0.166000		0.000000		97.442613
0.167000		0.000000		99.456193
0.168000		0.000000		101.512132
0.169000		0.000000		103.611026
0.170000		0.000000		105.753468
0.171000		0.000000		107.940049
0.172000		0.000000		110.171359
0.173000		0.000000		112.447984
0.174000		0.000000		114.770507
0.175000		0.000000		117.139509
0.176000		0.000000		119.555569
0.177000		0.000000		122.019261
0.178000		0.000000		124.531155
0.179000		0.000000		127.091820
0.180000		0.000000		129.701818
0.181000		0.000000		132.361708
0.182000		0.000000		135.072046
0.183000		0.000000		137.833382
0.184000		0.000000		140.646261
0.185000		0.000000		143.511225
0.186000		0.000000		146.428810
0.187000		0.000000		149.399546
0.188000		0.000000		152.423957
0.189000		0.000000		155.502565
0.190000		0.000000		158.635883
0.191000		0.000000		161.824419
0.192000		0.000000		165.068675
0.193000		0.000000		168.369147
0.194000		0.000000		171.726324
0.195000		0.000000		175.140689
0.196000		0.000000		178.612720
0.197000		0.000000		182.142885
0.198000		0.000000		185.731648
0.199000		0.000000		189.379464
0.200000		0.000000		193.086782
0.100000		0.010000		29.371401
0.101000		0.010000		29.819915
0.102000		0.010000		30.277040
0.103000		0.010000		30.743129
0.104000		0.010000		31.218542
0.105000		0.010000		31.703642
0.106000		0.010000		32.198798
0.107000		0.010000		32.704383
0.108000		0.010000		33.220778
0.109000		0.010000		33.748366
0.110000		0.010000		34.287536
0.111000		0.010000		34.838683
0.112000		0.010000		35.402208
0.113000		0.010000		35.978517
0.114000		0.010000		36.568022
0.115000		0.010000		37.171139
0.116000		0.010000		37.788292
0.117000		0.010000		38.419910
0.118000		0.010000		39.066426
0.119000		0.010000		39.728282
0.120000		0.010000		40.405924
0.121000		0.010000		41.099804
0.122000		0.010000		41.810379
0.123000		0.010000		42.538113
0.124000		0.010000		43.283477
0.125000		0.010000		44.046945
0.126000		0.010000		44.828998
0.127000		0.010000		45.630123
0.128000		0.010000		46.450812
0.129000		0.010000		47.291564
0.130000		0.010000		48.152882
0.131000		0.010000		49.035274
0.132000		0.010000		49.939255
0.133000		0.010000		50.865344
0.134000		0.010000		51.814066
0.135000		0.010000		52.785951
0.136000		0.010000		53.781532
0.137000		0.010000		54.801349
0.138000		0.010000		55.845947
0.139000		0.010000		56.915873
0.140000		0.010000		58.011680
0.141000		0.010000		59.133925
0.142000		0.010000		60.283170
0.143000		0.010000		61.459978
0.144000		0.010000		62.664920
0.145000		0.010000		63.898566
0.146000		0.010000		65.161493
0.147000		0.010000		66.454279
0.148000		0.010000		67.777505
0.149000		0.010000		69.131757
0.150000		0.010000		70.517621
0.151000		0.010000		71.935686
0.152000		0.010000		73.386544
0.153000		0.010000		74.870789
0.154000		0.010000		76.389016
0.155000		0.010000		77.941822
0.156000		0.010000		79.529805
0.157000		0.010000		81.153563
0.158000		0.010000		82.813698
0.159000		0.010000		84.510810
0.160000		0.010000		86.245500
0.161000		0.010000		88.018370
0.162000		0.010000		89.830021
0.163000		0.010000		91.681054
0.164000		0.010000		93.572070
0.165000		0.010000		95.503669
0.166000		0.010000		97.476451
0.167000		0.010000		99.491012
0.168000		0.010000		101.547950
0.169000		0.010000		103.647860
0.170000		0.010000		105.791334
0.171000		0.010000		107.978965
0.172000		0.010000		110.211340
0.173000		0.010000		112.489047
0.174000		0.010000		114.812669
0.175000		0.010000		117.182787
0.176000		0.010000		119.599979
0.177000		0.010000		122.064820
0.178000		0.010000		124.577879
0.179000		0.010000		127.139725
0.180000		0.010000		129.750920
0.181000		0.010000		132.412024
0.182000		0.010000		135.123592
0.183000		0.010000		137.886174
0.184000		0.010000		140.700315
0.185000		0.010000		143.566557
0.186000		0.010000		146.485435
0.187000		0.010000		149.457480
0.188000		0.010000		152.483217
0.189000		0.010000		155.563165
0.190000		0.010000		158.697838
0.191000		0.010000		161.887745
0.192000		0.010000		165.133387
0.193000		0.010000		168.435260
0.194000		0.010000		171.793853
0.195000		0.010000		175.209649
0.196000		0.010000		178.683125
0.197000		0.010000		182.214750
0.198000		0.010000		185.804986
0.199000		0.010000		189.454290
0.200000		0.010000		193.163110
0.100000		0.020000		29.376235
0.101000		0.020000		29.825121
0.102000		0.020000		30.282637
0.103000		0.020000		30.749138
0.104000		0.020000		31.224985
0.105000		0.020000		31.710542
0.106000		0.020000		32.206178
0.107000		0.020000		32.712268
0.108000		0.020000		33.229191
0.109000		0.020000		33.757332
0.110000		0.020000		34.297082
0.111000		0.020000		34.848836
0.112000		0.020000		35.412995
0.113000		0.020000		35.989966
0.114000		0.020000		36.580161
0.115000		0.020000		37.183998
0.116000		0.020000		37.801901
0.117000		0.020000		38.434298
0.118000		0.020000		39.081627
0.119000		0.020000		39.744326
0.120000		0.020000		40.422844
0.121000		0.020000		41.117633
0.122000		0.020000		41.829151
0.123000		0.020000		42.557864
0.124000		0.020000		43.304240
0.125000		0.020000		44.068756
0.126000		0.020000		44.851894
