101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.100000		0.000000		-2.914659
0.101000		0.000000		-2.652931
0.102000		0.000000		-2.418575
0.103000		0.000000		-2.208354
0.104000		0.000000		-2.019452
0.105000		0.000000		-1.849421
0.106000		0.000000		-1.696122
0.107000		0.000000		-1.557689
0.108000		0.000000		-1.432485
0.109000		0.000000		-1.319073
0.110000		0.000000		-1.216192
0.111000		0.000000		-1.122729
0.112000		0.000000		-1.037703
0.113000		0.000000		-0.960248
0.114000		0.000000		-0.889595
0.115000		0.000000		-0.825064
0.116000		0.000000		-0.766049
0.117000		0.000000		-0.712013
0.118000		0.000000		-0.662475
0.119000		0.000000		-0.617009
0.120000		0.000000		-0.575232
0.121000		0.000000		-0.536802
0.122000		0.000000		-0.501412
0.123000		0.000000		-0.468786
0.124000		0.000000		-0.438678
0.125000		0.000000		-0.410865
0.126000		0.000000		-0.385146
0.127000		0.000000		-0.361341
0.128000		0.000000		-0.339287
0.129000		0.000000		-0.318835
0.130000		0.000000		-0.299852
0.131000		0.000000		-0.282217
0.132000		0.000000		-0.265819
0.133000		0.000000		-0.250560
0.134000		0.000000		-0.236348
0.135000		0.000000		-0.223100
0.136000		0.000000		-0.210741
0.137000		0.000000		-0.199203
0.138000		0.000000		-0.188422
0.139000		0.000000		-0.178342
0.140000		0.000000		-0.168909
0.141000		0.000000		-0.160077
0.142000		0.000000		-0.151800
0.143000		0.000000		-0.144039
0.144000		0.000000		-0.136756
0.145000		0.000000		-0.129917
0.146000		0.000000		-0.123492
0.147000		0.000000		-0.117450
0.148000		0.000000		-0.111767
0.149000		0.000000		-0.106416
0.150000		0.000000		-0.101376
0.151000		0.000000		-0.096625
0.152000		0.000000		-0.092145
0.153000		0.000000		-0.087917
0.154000		0.000000		-0.083925
0.155000		0.000000		-0.080154
0.156000		0.000000		-0.076590
0.157000		0.000000		-0.073219
0.158000		0.000000		-0.070029
0.159000		0.000000		-0.067009
0.160000		0.000000		-0.064148
0.161000		0.000000		-0.061437
0.162000		0.000000		-0.058867
0.163000		0.000000		-0.056429
0.164000		0.000000		-0.054114
0.165000		0.000000		-0.051917
0.166000		0.000000		-0.049829
0.167000		0.000000		-0.047845
0.168000		0.000000		-0.045958
0.169000		0.000000		-0.044164
0.170000		0.000000		-0.042455
0.171000		0.000000		-0.040829
0.172000		0.000000		-0.039280
0.173000		0.000000		-0.037804
0.174000		0.000000		-0.036397
0.175000		0.000000		-0.035054
0.176000		0.000000		-0.033774
0.177000		0.000000		-0.032552
0.178000		0.000000		-0.031385
0.179000		0.000000		-0.030270
0.180000		0.000000		-0.029205
0.181000		0.000000		-0.028186
0.182000		0.000000		-0.027212
0.183000		0.000000		-0.026281
0.184000		0.000000		-0.025389
0.185000		0.000000		-0.024536
0.186000		0.000000		-0.023718
0.187000		0.000000		-0.022935
0.188000		0.000000		-0.022185
0.189000		0.000000		-0.021465
0.190000		0.000000		-0.020775
0.191000		0.000000		-0.020114
0.192000		0.000000		-0.019478
0.193000		0.000000		-0.018869
0.194000		0.000000		-0.018283
0.195000		0.000000		-0.017721
0.196000		0.000000		-0.017181
0.197000		0.000000		-0.016662
0.198000		0.000000		-0.016162
0.199000		0.000000		-0.015682
0.200000		0.000000		-0.015221
0.100000		0.010000		-2.901552
0.101000		0.010000		-2.641312
0.102000		0.010000		-2.408261
0.103000		0.010000		-2.199184
0.104000		0.010000		-2.011288
0.105000		0.010000		-1.842142
0.106000		0.010000		-1.689625
0.107000		0.010000		-1.551881
0.108000		0.010000		-1.427286
0.109000		0.010000		-1.314415
0.110000		0.010000		-1.212013
0.111000		0.010000		-1.118976
