101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.100000		0.000000		0.026262
0.101000		0.000000		0.029018
0.102000		0.000000		0.032008
0.103000		0.000000		0.035249
0.104000		0.000000		0.038756
0.105000		0.000000		0.042546
0.106000		0.000000		0.046635
0.107000		0.000000		0.051043
0.108000		0.000000		0.055787
0.109000		0.000000		0.060888
0.110000		0.000000		0.066365
0.111000		0.000000		0.072239
0.112000		0.000000		0.078533
0.113000		0.000000		0.085268
0.114000		0.000000		0.092469
0.115000		0.000000		0.100158
0.116000		0.000000		0.108361
0.117000		0.000000		0.117104
0.118000		0.000000		0.126413
0.119000		0.000000		0.136316
0.120000		0.000000		0.146841
0.121000		0.000000		0.158016
0.122000		0.000000		0.169872
0.123000		0.000000		0.182440
0.124000		0.000000		0.195750
0.125000		0.000000		0.209836
0.126000		0.000000		0.224731
0.127000		0.000000		0.240469
0.128000		0.000000		0.257085
0.129000		0.000000		0.274616
0.130000		0.000000		0.293098
0.131000		0.000000		0.312568
0.132000		0.000000		0.333066
0.133000		0.000000		0.354631
0.134000		0.000000		0.377304
0.135000		0.000000		0.401125
0.136000		0.000000		0.426137
0.137000		0.000000		0.452384
0.138000		0.000000		0.479908
0.139000		0.000000		0.508756
0.140000		0.000000		0.538971
0.141000		0.000000		0.570602
0.142000		0.000000		0.603696
0.143000		0.000000		0.638301
0.144000		0.000000		0.674465
0.145000		0.000000		0.712240
0.146000		0.000000		0.751676
0.147000		0.000000		0.792824
0.148000		0.000000		0.835737
0.149000		0.000000		0.880469
0.150000		0.000000		0.927073
0.151000		0.000000		0.975605
0.152000		0.000000		1.026120
0.153000		0.000000		1.078674
0.154000		0.000000		1.133326
0.155000		0.000000		1.190131
0.156000		0.000000		1.249151
0.157000		0.000000		1.310443
0.158000		0.000000		1.374068
0.159000		0.000000		1.440087
0.160000		0.000000		1.508561
0.161000		0.000000		1.579552
0.162000		0.000000		1.653124
0.163000		0.000000		1.729339
0.164000		0.000000		1.808262
0.165000		0.000000		1.889957
0.166000		0.000000		1.974489
0.167000		0.000000		2.061925
0.168000		0.000000		2.152330
0.169000		0.000000		2.245771
0.170000		0.000000		2.342316
0.171000		0.000000		2.442032
0.172000		0.000000		2.544988
0.173000		0.000000		2.651253
0.174000		0.000000		2.760894
0.175000		0.000000		2.873983
0.176000		0.000000		2.990589
0.177000		0.000000		3.110783
0.178000		0.000000		3.234634
0.179000		0.000000		3.362215
0.180000		0.000000		3.493595
0.181000		0.000000		3.628848
0.182000		0.000000		3.768044
0.183000		0.000000		3.911256
0.184000		0.000000		4.058556
0.185000		0.000000		4.210017
0.186000		0.000000		4.365711
0.187000		0.000000		4.525711
0.188000		0.000000		4.690090
0.189000		0.000000		4.858921
0.190000		0.000000		5.032278
0.191000		0.000000		5.210233
0.192000		0.000000		5.392860
0.193000		0.000000		5.580232
0.194000		0.000000		5.772424
0.195000		0.000000		5.969507
0.196000		0.000000		6.171555
0.197000		0.000000		6.378642
0.198000		0.000000		6.590841
0.199000		0.000000		6.808226
0.200000		0.000000		7.030868
0.100000		0.010000		0.026387
0.101000		0.010000		0.029153
0.102000		0.010000		0.032154
0.103000		0.010000		0.035406
0.104000		0.010000		0.038924
0.105000		0.010000		0.042726
0.106000		0.010000		0.046828
0.107000		0.010000		0.051249
0.108000		0.010000		0.056008
0.109000		0.010000		0.061123
0.110000		0.010000		0.066615
0.111000		0.010000		0.072505
0.112000		0.010000		0.078815
0.113000		0.010000		0.085567
0.114000		0.010000		0.092785
0.115000		0.010000		0.100493
0.116000		0.010000		0.108715
0.117000		0.010000		0.117477
0.118000		0.010000		0.126807
0.119000		0.010000		0.136730
0.120000		0.010000		0.147276
0.121000		0.010000		0.158473
0.122000		0.010000		0.170351
0.123000		0.010000		0.182942
0.124000		0.010000		0.196276
0.125000		0.010000		0.210386
0.126000		0.010000		0.225305
0.127000		0.010000		0.241068
0.128000		0.010000		0.257710
0.129000		0.010000		0.275266
0.130000		0.010000		0.293775
0.131000		0.010000		0.313272
0.132000		0.010000		0.333797
0.133000		0.010000		0.355390
0.134000		0.010000		0.378090
0.135000		0.010000		0.401940
0.136000		0.010000		0.426981
0.137000		0.010000		0.453256
0.138000		0.010000		0.480809
0.139000		0.010000		0.509686
0.140000		0.010000		0.539931
0.141000		0.010000		0.571592
0.142000		0.010000		0.604715
0.143000		0.010000		0.639350
0.144000		0.010000		0.675544
0.145000		0.010000		0.713349
0.146000		0.010000		0.752814
0.147000		0.010000		0.793992
0.148000		0.010000		0.836936
0.149000		0.010000		0.881697
0.150000		0.010000		0.928331
0.151000		0.010000		0.976892
0.152000		0.010000		1.027436
0.153000		0.010000		1.080019
0.154000		0.010000		1.134699
0.155000		0.010000		1.191534
0.156000		0.010000		1.250581
0.157000		0.010000		1.311901
0.158000		0.010000		1.375553
0.159000		0.010000		1.441599
0.160000		0.010000		1.510099
0.161000		0.010000		1.581117
0.162000		0.010000		1.654713
0.163000		0.010000		1.730953
0.164000		0.010000		1.809900
0.165000		0.010000		1.891619
0.166000		0.010000		1.976174
0.167000		0.010000		2.063632
0.168000		0.010000		2.154058
0.169000		0.010000		2.247520
0.170000		0.010000		2.344085
0.171000		0.010000		2.443820
0.172000		0.010000		2.546794
0.173000		0.010000		2.653076
0.174000		0.010000		2.762734
0.175000		0.010000		2.875839
0.176000		0.010000		2.992459
0.177000		0.010000		3.112666
0.178000		0.010000		3.236530
0.179000		0.010000		3.364122
0.180000		0.010000		3.495513
0.181000		0.010000		3.630775
0.182000		0.010000		3.769979
0.183000		0.010000		3.913198
0.184000		0.010000		4.060504
0.185000		0.010000		4.211970
0.186000		0.010000		4.367667
0.187000		0.010000		4.527669
0.188000		0.010000		4.692050
0.189000		0.010000		4.860881
0.190000		0.010000		5.034236
0.191000		0.010000		5.212188
0.192000		0.010000		5.394811
0.193000		0.010000		5.582178
0.194000		0.010000		5.774363
0.195000		0.010000		5.971438
0.196000		0.010000		6.173477
0.197000		0.010000		6.380553
0.198000		0.010000		6.592739
0.199000		0.010000		6.810110
0.200000		0.010000		7.032736
0.100000		0.020000		0.026764
0.101000		0.020000		0.029559
0.102000		0.020000		0.032592
0.103000		0.020000		0.035877
0.104000		0.020000		0.039430
0.105000		0.020000		0.043268
0.106000		0.020000		0.047409
0.107000		0.020000		0.051870
0.108000		0.020000		0.056670
0.109000		0.020000		0.061829
0.110000		0.020000		0.067366
0.111000		0.020000		0.073304
0.112000		0.020000		0.079663
0.113000		0.020000		0.086466
0.114000		0.020000		0.093737
0.115000		0.020000		0.101499
0.116000		0.020000		0.109778
0.117000		0.020000		0.118598
0.118000		0.020000		0.127988
0.119000		0.020000		0.137973
0.120000		0.020000		0.148582
0.121000		0.020000		0.159845
0.122000		0.020000		0.171790
0.123000		0.020000		0.184450
0.124000		0.020000		0.197854
0.125000		0.020000		0.212036
0.126000		0.020000		0.227029
0.127000		0.020000		0.242867
0.128000		0.020000		0.259585
0.129000		0.020000		0.277219
0.130000		0.020000		0.295807
0.131000		0.020000		0.315384
0.132000		0.020000		0.335991
0.133000		0.020000		0.357666
0.134000		0.020000		0.380450
0.135000		0.020000		0.404385
0.136000		0.020000		0.429511
0.137000		0.020000		0.455873
0.138000		0.020000		0.483513
0.139000		0.020000		0.512477
0.140000		0.020000		0.542811
0.141000		0.020000		0.574560
0.142000		0.020000		0.607773
0.143000		0.020000		0.642496
0.144000		0.020000		0.678780
0.145000		0.020000		0.716675
0.146000		0.020000		0.756230
0.147000		0.020000		0.797497
0.148000		0.020000		0.840530
0.149000		0.020000		0.885380
0.150000		0.020000		0.932103
0.151000		0.020000		0.980752
0.152000		0.020000		1.031383
0.153000		0.020000		1.084053
0.154000		0.020000		1.138819
0.155000		0.020000		1.195738
0.156000		0.020000		1.254870
0.157000		0.020000		1.316272
0.158000		0.020000		1.380006
0.159000		0.020000		1.446132
0.160000		0.020000		1.514712
0.161000		0.020000		1.585807
0.162000		0.020000		1.659479
0.163000		0.020000		1.735793
0.164000		0.020000		1.814812
0.165000		0.020000		1.896601
0.166000		0.020000		1.981225
0.167000		0.020000		2.068749
0.168000		0.020000		2.159239
0.169000		0.020000		2.252763
0.170000		0.020000		2.349387
0.171000		0.020000		2.449180
0.172000		0.020000		2.552208
0.173000		0.020000		2.658542
0.174000		0.020000		2.768249
0.175000		0.020000		2.881400
0.176000		0.020000		2.998064
0.177000		0.020000		3.118312
0.178000		0.020000		3.242213
0.179000		0.020000		3.369839
0.180000		0.020000		3.501262
0.181000		0.020000		3.636551
0.182000		0.020000		3.775780
0.183000		0.020000		3.919021
0.184000		0.020000		4.066344
0.185000		0.020000		4.217824
0.186000		0.020000		4.373532
0.187000		0.020000		4.533541
0.188000		0.020000		4.697924
0.189000		0.020000		4.866755
