101
81
T [GeV]		muB [GeV]		betapi_over_T4 [fm^-4 / GeV^4]
0.100000		0.000000		29.335293
0.101000		0.000000		29.779658
0.102000		0.000000		30.232291
0.103000		0.000000		30.693525
0.104000		0.000000		31.163696
0.105000		0.000000		31.643147
0.106000		0.000000		32.132223
0.107000		0.000000		32.631273
0.108000		0.000000		33.140651
0.109000		0.000000		33.660713
0.110000		0.000000		34.191822
0.111000		0.000000		34.734344
0.112000		0.000000		35.288649
0.113000		0.000000		35.855111
0.114000		0.000000		36.434109
0.115000		0.000000		37.026027
0.116000		0.000000		37.631252
0.117000		0.000000		38.250176
0.118000		0.000000		38.883196
0.119000		0.000000		39.530713
0.120000		0.000000		40.193130
0.121000		0.000000		40.870859
0.122000		0.000000		41.564313
0.123000		0.000000		42.273909
0.124000		0.000000		43.000070
0.125000		0.000000		43.743223
0.126000		0.000000		44.503798
0.127000		0.000000		45.282229
0.128000		0.000000		46.078955
0.129000		0.000000		46.894418
0.130000		0.000000		47.729065
0.131000		0.000000		48.583345
0.132000		0.000000		49.457712
0.133000		0.000000		50.352622
0.134000		0.000000		51.268536
0.135000		0.000000		52.205918
0.136000		0.000000		53.165234
0.137000		0.000000		54.146954
0.138000		0.000000		55.151551
0.139000		0.000000		56.179499
0.140000		0.000000		57.231276
0.141000		0.000000		58.307363
0.142000		0.000000		59.408243
0.143000		0.000000		60.534400
0.144000		0.000000		61.686321
0.145000		0.000000		62.864493
0.146000		0.000000		64.069408
0.147000		0.000000		65.301557
0.148000		0.000000		66.561433
0.149000		0.000000		67.849529
0.150000		0.000000		69.166341
0.151000		0.000000		70.512364
0.152000		0.000000		71.888094
0.153000		0.000000		73.294028
0.154000		0.000000		74.730664
0.155000		0.000000		76.198497
0.156000		0.000000		77.698024
0.157000		0.000000		79.229742
0.158000		0.000000		80.794147
0.159000		0.000000		82.391733
0.160000		0.000000		84.022995
0.161000		0.000000		85.688426
0.162000		0.000000		87.388518
0.163000		0.000000		89.123761
0.164000		0.000000		90.894643
0.165000		0.000000		92.701653
0.166000		0.000000		94.545273
0.167000		0.000000		96.425988
0.168000		0.000000		98.344277
0.169000		0.000000		100.300618
0.170000		0.000000		102.295486
0.171000		0.000000		104.329353
0.172000		0.000000		106.402688
0.173000		0.000000		108.515957
0.174000		0.000000		110.669621
0.175000		0.000000		112.864141
0.176000		0.000000		115.099971
0.177000		0.000000		117.377561
0.178000		0.000000		119.697360
0.179000		0.000000		122.059809
0.180000		0.000000		124.465348
0.181000		0.000000		126.914410
0.182000		0.000000		129.407425
0.183000		0.000000		131.944818
0.184000		0.000000		134.527007
0.185000		0.000000		137.154408
0.186000		0.000000		139.827430
0.187000		0.000000		142.546477
0.188000		0.000000		145.311948
0.189000		0.000000		148.124236
0.190000		0.000000		150.983728
0.191000		0.000000		153.890807
0.192000		0.000000		156.845848
0.193000		0.000000		159.849220
0.194000		0.000000		162.901289
0.195000		0.000000		166.002411
0.196000		0.000000		169.152937
0.197000		0.000000		172.353213
0.198000		0.000000		175.603577
0.199000		0.000000		178.904362
0.200000		0.000000		182.255892
0.100000		0.010000		29.336895
0.101000		0.010000		29.781384
0.102000		0.010000		30.234146
0.103000		0.010000		30.695517
0.104000		0.010000		31.165832
