101
81
T [GeV]		muB [GeV]		c1_T3 [fm^3/GeV^2 * GeV^3]
0.100000		0.000000		0.000000
0.101000		0.000000		0.000000
0.102000		0.000000		0.000000
0.103000		0.000000		0.000000
0.104000		0.000000		0.000000
0.105000		0.000000		0.000000
0.106000		0.000000		0.000000
0.107000		0.000000		0.000000
0.108000		0.000000		0.000000
0.109000		0.000000		0.000000
0.110000		0.000000		0.000000
0.111000		0.000000		0.000000
0.112000		0.000000		0.000000
0.113000		0.000000		0.000000
0.114000		0.000000		0.000000
0.115000		0.000000		0.000000
0.116000		0.000000		0.000000
0.117000		0.000000		0.000000
0.118000		0.000000		0.000000
0.119000		0.000000		0.000000
0.120000		0.000000		0.000000
0.121000		0.000000		0.000000
0.122000		0.000000		0.000000
0.123000		0.000000		0.000000
0.124000		0.000000		0.000000
0.125000		0.000000		0.000000
0.126000		0.000000		0.000000
0.127000		0.000000		0.000000
0.128000		0.000000		0.000000
0.129000		0.000000		0.000000
0.130000		0.000000		0.000000
0.131000		0.000000		0.000000
0.132000		0.000000		0.000000
0.133000		0.000000		0.000000
0.134000		0.000000		0.000000
0.135000		0.000000		0.000000
0.136000		0.000000		0.000000
0.137000		0.000000		0.000000
0.138000		0.000000		0.000000
0.139000		0.000000		0.000000
0.140000		0.000000		0.000000
0.141000		0.000000		0.000000
0.142000		0.000000		0.000000
0.143000		0.000000		0.000000
0.144000		0.000000		0.000000
0.145000		0.000000		0.000000
0.146000		0.000000		0.000000
0.147000		0.000000		0.000000
0.148000		0.000000		0.000000
0.149000		0.000000		0.000000
0.150000		0.000000		0.000000
0.151000		0.000000		0.000000
0.152000		0.000000		0.000000
0.153000		0.000000		0.000000
0.154000		0.000000		0.000000
0.155000		0.000000		0.000000
0.156000		0.000000		0.000000
0.157000		0.000000		0.000000
0.158000		0.000000		0.000000
0.159000		0.000000		0.000000
0.160000		0.000000		0.000000
0.161000		0.000000		0.000000
0.162000		0.000000		0.000000
0.163000		0.000000		0.000000
0.164000		0.000000		0.000000
0.165000		0.000000		0.000000
0.166000		0.000000		0.000000
0.167000		0.000000		0.000000
0.168000		0.000000		0.000000
0.169000		0.000000		0.000000
0.170000		0.000000		0.000000
0.171000		0.000000		0.000000
0.172000		0.000000		0.000000
0.173000		0.000000		0.000000
0.174000		0.000000		0.000000
0.175000		0.000000		0.000000
0.176000		0.000000		0.000000
0.177000		0.000000		0.000000
0.178000		0.000000		0.000000
0.179000		0.000000		0.000000
0.180000		0.000000		0.000000
0.181000		0.000000		0.000000
0.182000		0.000000		0.000000
0.183000		0.000000		0.000000
0.184000		0.000000		0.000000
0.185000		0.000000		0.000000
0.186000		0.000000		0.000000
0.187000		0.000000		0.000000
0.188000		0.000000		0.000000
0.189000		0.000000		0.000000
0.190000		0.000000		0.000000
0.191000		0.000000		0.000000
0.192000		0.000000		0.000000
0.193000		0.000000		0.000000
0.194000		0.000000		0.000000
0.195000		0.000000		0.000000
0.196000		0.000000		0.000000
0.197000		0.000000		0.000000
0.198000		0.000000		0.000000
0.199000		0.000000		0.000000
0.200000		0.000000		0.000000
0.100000		0.010000		0.191754
0.101000		0.010000		0.176590
0.102000		0.010000		0.162736
0.103000		0.010000		0.150069
0.104000		0.010000		0.138479
0.105000		0.010000		0.127867
0.106000		0.010000		0.118143
0.107000		0.010000		0.109227
0.108000		0.010000		0.101047
0.109000		0.010000		0.093536
0.110000		0.010000		0.086635
0.111000		0.010000		0.080291
0.112000		0.010000		0.074455
0.113000		0.010000		0.069083
0.114000		0.010000		0.064135
0.115000		0.010000		0.059575
0.116000		0.010000		0.055369
0.117000		0.010000		0.051489
0.118000		0.010000		0.047907
0.119000		0.010000		0.044598
0.120000		0.010000		0.041540
0.121000		0.010000		0.038712
0.122000		0.010000		0.036095
0.123000		0.010000		0.033673
0.124000		0.010000		0.031429
0.125000		0.010000		0.029349
0.126000		0.010000		0.027421
0.127000		0.010000		0.025633
0.128000		0.010000		0.023973
0.129000		0.010000		0.022431
0.130000		0.010000		0.020999
0.131000		0.010000		0.019668
0.132000		0.010000		0.018430
0.133000		0.010000		0.017278
0.134000		0.010000		0.016206
0.135000		0.010000		0.015208
0.136000		0.010000		0.014277
0.137000		0.010000		0.013410
0.138000		0.010000		0.012602
0.139000		0.010000		0.011847
0.140000		0.010000		0.011143
0.141000		0.010000		0.010486
