101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.100000		0.000000		-2.914356
0.101000		0.000000		-2.652441
0.102000		0.000000		-2.417928
0.103000		0.000000		-2.207575
0.104000		0.000000		-2.018564
0.105000		0.000000		-1.848442
0.106000		0.000000		-1.695070
0.107000		0.000000		-1.556577
0.108000		0.000000		-1.431326
0.109000		0.000000		-1.317878
0.110000		0.000000		-1.214970
0.111000		0.000000		-1.121489
0.112000		0.000000		-1.036451
0.113000		0.000000		-0.958990
0.114000		0.000000		-0.888337
0.115000		0.000000		-0.823810
0.116000		0.000000		-0.764802
0.117000		0.000000		-0.710777
0.118000		0.000000		-0.661254
0.119000		0.000000		-0.615804
0.120000		0.000000		-0.574044
0.121000		0.000000		-0.535633
0.122000		0.000000		-0.500264
0.123000		0.000000		-0.467660
0.124000		0.000000		-0.437575
0.125000		0.000000		-0.409785
0.126000		0.000000		-0.384090
0.127000		0.000000		-0.360309
0.128000		0.000000		-0.338279
0.129000		0.000000		-0.317852
0.130000		0.000000		-0.298893
0.131000		0.000000		-0.281282
0.132000		0.000000		-0.264909
0.133000		0.000000		-0.249674
0.134000		0.000000		-0.235485
0.135000		0.000000		-0.222261
0.136000		0.000000		-0.209925
0.137000		0.000000		-0.198409
0.138000		0.000000		-0.187651
0.139000		0.000000		-0.177593
0.140000		0.000000		-0.168182
0.141000		0.000000		-0.159370
0.142000		0.000000		-0.151114
0.143000		0.000000		-0.143373
0.144000		0.000000		-0.136109
0.145000		0.000000		-0.129290
0.146000		0.000000		-0.122883
0.147000		0.000000		-0.116860
0.148000		0.000000		-0.111194
0.149000		0.000000		-0.105860
0.150000		0.000000		-0.100837
0.151000		0.000000		-0.096102
0.152000		0.000000		-0.091638
0.153000		0.000000		-0.087426
0.154000		0.000000		-0.083449
0.155000		0.000000		-0.079692
0.156000		0.000000		-0.076142
0.157000		0.000000		-0.072785
0.158000		0.000000		-0.069608
0.159000		0.000000		-0.066601
0.160000		0.000000		-0.063753
0.161000		0.000000		-0.061054
0.162000		0.000000		-0.058496
0.163000		0.000000		-0.056069
0.164000		0.000000		-0.053766
0.165000		0.000000		-0.051579
0.166000		0.000000		-0.049502
0.167000		0.000000		-0.047528
0.168000		0.000000		-0.045651
0.169000		0.000000		-0.043865
0.170000		0.000000		-0.042167
0.171000		0.000000		-0.040549
0.172000		0.000000		-0.039009
0.173000		0.000000		-0.037541
0.174000		0.000000		-0.036142
0.175000		0.000000		-0.034807
0.176000		0.000000		-0.033535
0.177000		0.000000		-0.032320
0.178000		0.000000		-0.031160
0.179000		0.000000		-0.030052
0.180000		0.000000		-0.028993
0.181000		0.000000		-0.027981
0.182000		0.000000		-0.027014
0.183000		0.000000		-0.026088
0.184000		0.000000		-0.025203
0.185000		0.000000		-0.024355
0.186000		0.000000		-0.023543
0.187000		0.000000		-0.022765
0.188000		0.000000		-0.022020
0.189000		0.000000		-0.021306
0.190000		0.000000		-0.020621
0.191000		0.000000		-0.019964
0.192000		0.000000		-0.019333
0.193000		0.000000		-0.018728
0.194000		0.000000		-0.018147
0.195000		0.000000		-0.017589
0.196000		0.000000		-0.017052
0.197000		0.000000		-0.016537
0.198000		0.000000		-0.016042
0.199000		0.000000		-0.015565
0.200000		0.000000		-0.015107
0.100000		0.010000		-2.901260
0.101000		0.010000		-2.640835
0.102000		0.010000		-2.407628
0.103000		0.010000		-2.198420
0.104000		0.010000		-2.010415
0.105000		0.010000		-1.841179
0.106000		0.010000		-1.688588
0.107000		0.010000		-1.550785
0.108000		0.010000		-1.426144
0.109000		0.010000		-1.313236
0.110000		0.010000		-1.210807
0.111000		0.010000		-1.117751
0.112000		0.010000		-1.033092
0.113000		0.010000		-0.955969
0.114000		0.010000		-0.885616
0.115000		0.010000		-0.821356
0.116000		0.010000		-0.762589
0.117000		0.010000		-0.708778
0.118000		0.010000		-0.659446
0.119000		0.010000		-0.614169
0.120000		0.010000		-0.572564
0.121000		0.010000		-0.534292
0.122000		0.010000		-0.499047
0.123000		0.010000		-0.466556
0.124000		0.010000		-0.436572
0.125000		0.010000		-0.408873
0.126000		0.010000		-0.383261
0.127000		0.010000		-0.359555
0.128000		0.010000		-0.337592
0.129000		0.010000		-0.317225
0.130000		0.010000		-0.298322
0.131000		0.010000		-0.280761
0.132000		0.010000		-0.264433
0.133000		0.010000		-0.249239
0.134000		0.010000		-0.235088
0.135000		0.010000		-0.221897
0.136000		0.010000		-0.209593
0.137000		0.010000		-0.198105
0.138000		0.010000		-0.187372
0.139000		0.010000		-0.177337
0.140000		0.010000		-0.167947
0.141000		0.010000		-0.159155
0.142000		0.010000		-0.150917
0.143000		0.010000		-0.143192
0.144000		0.010000		-0.135943
0.145000		0.010000		-0.129137
0.146000		0.010000		-0.122743
0.147000		0.010000		-0.116731
0.148000		0.010000		-0.111075
0.149000		0.010000		-0.105751
0.150000		0.010000		-0.100736
0.151000		0.010000		-0.096010
0.152000		0.010000		-0.091553
0.153000		0.010000		-0.087347
0.154000		0.010000		-0.083377
0.155000		0.010000		-0.079626
0.156000		0.010000		-0.076081
0.157000		0.010000		-0.072728
0.158000		0.010000		-0.069556
0.159000		0.010000		-0.066553
0.160000		0.010000		-0.063709
0.161000		0.010000		-0.061014
0.162000		0.010000		-0.058458
0.163000		0.010000		-0.056034
0.164000		0.010000		-0.053734
0.165000		0.010000		-0.051549
0.166000		0.010000		-0.049474
0.167000		0.010000		-0.047503
0.168000		0.010000		-0.045628
0.169000		0.010000		-0.043844
0.170000		0.010000		-0.042147
0.171000		0.010000		-0.040531
0.172000		0.010000		-0.038992
0.173000		0.010000		-0.037526
0.174000		0.010000		-0.036128
0.175000		0.010000		-0.034794
0.176000		0.010000		-0.033523
0.177000		0.010000		-0.032309
0.178000		0.010000		-0.031150
0.179000		0.010000		-0.030043
0.180000		0.010000		-0.028985
0.181000		0.010000		-0.027974
0.182000		0.010000		-0.027007
0.183000		0.010000		-0.026082
0.184000		0.010000		-0.025197
0.185000		0.010000		-0.024349
0.186000		0.010000		-0.023538
0.187000		0.010000		-0.022761
0.188000		0.010000		-0.022016
0.189000		0.010000		-0.021302
0.190000		0.010000		-0.020617
0.191000		0.010000		-0.019960
0.192000		0.010000		-0.019330
0.193000		0.010000		-0.018725
0.194000		0.010000		-0.018144
0.195000		0.010000		-0.017587
0.196000		0.010000		-0.017051
0.197000		0.010000		-0.016535
0.198000		0.010000		-0.016040
0.199000		0.010000		-0.015564
0.200000		0.010000		-0.015106
0.100000		0.020000		-2.862580
0.101000		0.020000		-2.606544
0.102000		0.020000		-2.377183
0.103000		0.020000		-2.171350
0.104000		0.020000		-1.986312
0.105000		0.020000		-1.819689
0.106000		0.020000		-1.669403
0.107000		0.020000		-1.533636
0.108000		0.020000		-1.410796
0.109000		0.020000		-1.299484
0.110000		0.020000		-1.198471
0.111000		0.020000		-1.106673
0.112000		0.020000		-1.023133
0.113000		0.020000		-0.947006
0.114000		0.020000		-0.877542
0.115000		0.020000		-0.814076
0.116000		0.020000		-0.756018
0.117000		0.020000		-0.702843
0.118000		0.020000		-0.654080
0.119000		0.020000		-0.609312
0.120000		0.020000		-0.568166
0.121000		0.020000		-0.530305
0.122000		0.020000		-0.495431
0.123000		0.020000		-0.463273
0.124000		0.020000		-0.433589
0.125000		0.020000		-0.406162
0.126000		0.020000		-0.380794
0.127000		0.020000		-0.357309
0.128000		0.020000		-0.335546
0.129000		0.020000		-0.315361
0.130000		0.020000		-0.296621
0.131000		0.020000		-0.279209
0.132000		0.020000		-0.263016
0.133000		0.020000		-0.247944
0.134000		0.020000		-0.233904
0.135000		0.020000		-0.220815
0.136000		0.020000		-0.208602
0.137000		0.020000		-0.197198
0.138000		0.020000		-0.186541
0.139000		0.020000		-0.176576
0.140000		0.020000		-0.167249
0.141000		0.020000		-0.158515
0.142000		0.020000		-0.150329
0.143000		0.020000		-0.142652
0.144000		0.020000		-0.135448
0.145000		0.020000		-0.128682
0.146000		0.020000		-0.122324
0.147000		0.020000		-0.116346
0.148000		0.020000		-0.110721
0.149000		0.020000		-0.105426
0.150000		0.020000		-0.100437
0.151000		0.020000		-0.095734
0.152000		0.020000		-0.091299
0.153000		0.020000		-0.087114
0.154000		0.020000		-0.083162
0.155000		0.020000		-0.079428
0.156000		0.020000		-0.075898
0.157000		0.020000		-0.072560
0.158000		0.020000		-0.069401
0.159000		0.020000		-0.066410
0.160000		0.020000		-0.063577
0.161000		0.020000		-0.060892
0.162000		0.020000		-0.058346
0.163000		0.020000		-0.055931
0.164000		0.020000		-0.053638
0.165000		0.020000		-0.051461
0.166000		0.020000		-0.049393
0.167000		0.020000		-0.047428
0.168000		0.020000		-0.045559
0.169000		0.020000		-0.043780
0.170000		0.020000		-0.042088
0.171000		0.020000		-0.040477
0.172000		0.020000		-0.038942
0.173000		0.020000		-0.037480
0.174000		0.020000		-0.036085
0.175000		0.020000		-0.034755
0.176000		0.020000		-0.033487
0.177000		0.020000		-0.032276
0.178000		0.020000		-0.031119
0.179000		0.020000		-0.030015
0.180000		0.020000		-0.028959
0.181000		0.020000		-0.027950
0.182000		0.020000		-0.026985
0.183000		0.020000		-0.026062
0.184000		0.020000		-0.025178
0.185000		0.020000		-0.024333
0.186000		0.020000		-0.023523
0.187000		0.020000		-0.022747
0.188000		0.020000		-0.022003
0.189000		0.020000		-0.021290
0.190000		0.020000		-0.020607
0.191000		0.020000		-0.019951
0.192000		0.020000		-0.019322
0.193000		0.020000		-0.018717
0.194000		0.020000		-0.018137
0.195000		0.020000		-0.017580
0.196000		0.020000		-0.017045
0.197000		0.020000		-0.016530
0.198000		0.020000		-0.016036
0.199000		0.020000		-0.015560
0.200000		0.020000		-0.015102
0.100000		0.030000		-2.800069
0.101000		0.030000		-2.551087
0.102000		0.030000		-2.327911
0.103000		0.030000		-2.127510
0.104000		0.030000		-1.947252
0.105000		0.030000		-1.784841
0.106000		0.030000		-1.638273
0.107000		0.030000		-1.505792
0.108000		0.030000		-1.385862
0.109000		0.030000		-1.277129
0.110000		0.030000		-1.178406
0.111000		0.030000		-1.088644
0.112000		0.030000		-1.006917
0.113000		0.030000		-0.932405
0.114000		0.030000		-0.864382
0.115000		0.030000		-0.802204
0.116000		0.030000		-0.745298
0.117000		0.030000		-0.693153
0.118000		0.030000		-0.645315
0.119000		0.030000		-0.601377
0.120000		0.030000		-0.560976
0.121000		0.030000		-0.523785
0.122000		0.030000		-0.489514
0.123000		0.030000		-0.457899
0.124000		0.030000		-0.428705
0.125000		0.030000		-0.401720
0.126000		0.030000		-0.376752
0.127000		0.030000		-0.353628
0.128000		0.030000		-0.332191
0.129000		0.030000		-0.312301
0.130000		0.030000		-0.293830
0.131000		0.030000		-0.276661
0.132000		0.030000		-0.260688
0.133000		0.030000		-0.245817
0.134000		0.030000		-0.231958
0.135000		0.030000		-0.219034
0.136000		0.030000		-0.206972
0.137000		0.030000		-0.195705
0.138000		0.030000		-0.185174
0.139000		0.030000		-0.175322
0.140000		0.030000		-0.166100
0.141000		0.030000		-0.157460
0.142000		0.030000		-0.149361
0.143000		0.030000		-0.141763
0.144000		0.030000		-0.134631
0.145000		0.030000		-0.127932
0.146000		0.030000		-0.121635
0.147000		0.030000		-0.115712
0.148000		0.030000		-0.110138
0.149000		0.030000		-0.104889
0.150000		0.030000		-0.099943
0.151000		0.030000		-0.095279
0.152000		0.030000		-0.090880
0.153000		0.030000		-0.086728
0.154000		0.030000		-0.082806
0.155000		0.030000		-0.079100
0.156000		0.030000		-0.075596
0.157000		0.030000		-0.072281
0.158000		0.030000		-0.069144
0.159000		0.030000		-0.066173
0.160000		0.030000		-0.063359
0.161000		0.030000		-0.060691
0.162000		0.030000		-0.058160
0.163000		0.030000		-0.055759
0.164000		0.030000		-0.053480
0.165000		0.030000		-0.051316
0.166000		0.030000		-0.049259
0.167000		0.030000		-0.047304
0.168000		0.030000		-0.045444
0.169000		0.030000		-0.043675
0.170000		0.030000		-0.041991
0.171000		0.030000		-0.040387
0.172000		0.030000		-0.038859
0.173000		0.030000		-0.037403
0.174000		0.030000		-0.036015
0.175000		0.030000		-0.034691
0.176000		0.030000		-0.033427
0.177000		0.030000		-0.032221
0.178000		0.030000		-0.031069
0.179000		0.030000		-0.029968
0.180000		0.030000		-0.028916
0.181000		0.030000		-0.027911
0.182000		0.030000		-0.026949
0.183000		0.030000		-0.026029
0.184000		0.030000		-0.025148
0.185000		0.030000		-0.024305
0.186000		0.030000		-0.023497
0.187000		0.030000		-0.022724
0.188000		0.030000		-0.021982
0.189000		0.030000		-0.021271
0.190000		0.030000		-0.020589
0.191000		0.030000		-0.019935
0.192000		0.030000		-0.019307
0.193000		0.030000		-0.018705
0.194000		0.030000		-0.018126
0.195000		0.030000		-0.017570
0.196000		0.030000		-0.017036
0.197000		0.030000		-0.016522
0.198000		0.030000		-0.016028
0.199000		0.030000		-0.015554
0.200000		0.030000		-0.015097
0.100000		0.040000		-2.716440
0.101000		0.040000		-2.476819
0.102000		0.040000		-2.261859
0.103000		0.040000		-2.068683
0.104000		0.040000		-1.894788
0.105000		0.040000		-1.737991
0.106000		0.040000		-1.596382
0.107000		0.040000		-1.468290
0.108000		0.040000		-1.352249
0.109000		0.040000		-1.246968
0.110000		0.040000		-1.151312
0.111000		0.040000		-1.064279
0.112000		0.040000		-0.984983
0.113000		0.040000		-0.912640
0.114000		0.040000		-0.846555
0.115000		0.040000		-0.786109
0.116000		0.040000		-0.730754
0.117000		0.040000		-0.679999
0.118000		0.040000		-0.633407
0.119000		0.040000		-0.590589
0.120000		0.040000		-0.551194
0.121000		0.040000		-0.514910
0.122000		0.040000		-0.481454
0.123000		0.040000		-0.450575
0.124000		0.040000		-0.422045
0.125000		0.040000		-0.395659
0.126000		0.040000		-0.371232
0.127000		0.040000		-0.348598
0.128000		0.040000		-0.327605
0.129000		0.040000		-0.308117
0.130000		0.040000		-0.290010
0.131000		0.040000		-0.273172
0.132000		0.040000		-0.257499
0.133000		0.040000		-0.242900
0.134000		0.040000		-0.229291
0.135000		0.040000		-0.216592
0.136000		0.040000		-0.204736
0.137000		0.040000		-0.193656
0.138000		0.040000		-0.183295
0.139000		0.040000		-0.173599
0.140000		0.040000		-0.164519
0.141000		0.040000		-0.156009
0.142000		0.040000		-0.148029
0.143000		0.040000		-0.140539
0.144000		0.040000		-0.133507
0.145000		0.040000		-0.126898
0.146000		0.040000		-0.120684
0.147000		0.040000		-0.114837
0.148000		0.040000		-0.109333
0.149000		0.040000		-0.104148
0.150000		0.040000		-0.099261
0.151000		0.040000		-0.094651
0.152000		0.040000		-0.090302
0.153000		0.040000		-0.086195
0.154000		0.040000		-0.082315
0.155000		0.040000		-0.078647
0.156000		0.040000		-0.075178
0.157000		0.040000		-0.071896
0.158000		0.040000		-0.068789
0.159000		0.040000		-0.065846
0.160000		0.040000		-0.063057
0.161000		0.040000		-0.060412
0.162000		0.040000		-0.057903
0.163000		0.040000		-0.055522
0.164000		0.040000		-0.053261
0.165000		0.040000		-0.051113
0.166000		0.040000		-0.049072
0.167000		0.040000		-0.047131
0.168000		0.040000		-0.045285
0.169000		0.040000		-0.043528
0.170000		0.040000		-0.041856
0.171000		0.040000		-0.040263
0.172000		0.040000		-0.038745
0.173000		0.040000		-0.037297
0.174000		0.040000		-0.035917
0.175000		0.040000		-0.034601
0.176000		0.040000		-0.033344
0.177000		0.040000		-0.032144
0.178000		0.040000		-0.030999
0.179000		0.040000		-0.029904
0.180000		0.040000		-0.028857
0.181000		0.040000		-0.027856
0.182000		0.040000		-0.026899
0.183000		0.040000		-0.025983
0.184000		0.040000		-0.025106
0.185000		0.040000		-0.024267
0.186000		0.040000		-0.023462
