101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.100000		0.000000		0.026175
0.101000		0.000000		0.028928
0.102000		0.000000		0.031918
0.103000		0.000000		0.035158
0.104000		0.000000		0.038665
0.105000		0.000000		0.042456
0.106000		0.000000		0.046548
0.107000		0.000000		0.050959
0.108000		0.000000		0.055708
0.109000		0.000000		0.060815
0.110000		0.000000		0.066300
0.111000		0.000000		0.072183
0.112000		0.000000		0.078488
0.113000		0.000000		0.085237
0.114000		0.000000		0.092453
0.115000		0.000000		0.100160
0.116000		0.000000		0.108383
0.117000		0.000000		0.117148
0.118000		0.000000		0.126482
0.119000		0.000000		0.136412
0.120000		0.000000		0.146967
0.121000		0.000000		0.158175
0.122000		0.000000		0.170066
0.123000		0.000000		0.182672
0.124000		0.000000		0.196023
0.125000		0.000000		0.210153
0.126000		0.000000		0.225094
0.127000		0.000000		0.240880
0.128000		0.000000		0.257547
0.129000		0.000000		0.275130
0.130000		0.000000		0.293665
0.131000		0.000000		0.313191
0.132000		0.000000		0.333746
0.133000		0.000000		0.355368
0.134000		0.000000		0.378098
0.135000		0.000000		0.401976
0.136000		0.000000		0.427045
0.137000		0.000000		0.453345
0.138000		0.000000		0.480921
0.139000		0.000000		0.509817
0.140000		0.000000		0.540077
0.141000		0.000000		0.571747
0.142000		0.000000		0.604873
0.143000		0.000000		0.639502
0.144000		0.000000		0.675683
0.145000		0.000000		0.713463
0.146000		0.000000		0.752892
0.147000		0.000000		0.794020
0.148000		0.000000		0.836898
0.149000		0.000000		0.881578
0.150000		0.000000		0.928110
0.151000		0.000000		0.976548
0.152000		0.000000		1.026946
0.153000		0.000000		1.079358
0.154000		0.000000		1.133837
0.155000		0.000000		1.190440
0.156000		0.000000		1.249222
0.157000		0.000000		1.310240
0.158000		0.000000		1.373550
0.159000		0.000000		1.439211
0.160000		0.000000		1.507279
0.161000		0.000000		1.577814
0.162000		0.000000		1.650874
0.163000		0.000000		1.726520
0.164000		0.000000		1.804810
0.165000		0.000000		1.885805
0.166000		0.000000		1.969567
0.167000		0.000000		2.056155
0.168000		0.000000		2.145631
0.169000		0.000000		2.238058
0.170000		0.000000		2.333496
0.171000		0.000000		2.432010
0.172000		0.000000		2.533660
0.173000		0.000000		2.638511
0.174000		0.000000		2.746625
0.175000		0.000000		2.858066
0.176000		0.000000		2.972897
0.177000		0.000000		3.091183
0.178000		0.000000		3.212986
0.179000		0.000000		3.338371
0.180000		0.000000		3.467403
0.181000		0.000000		3.600145
0.182000		0.000000		3.736662
0.183000		0.000000		3.877018
0.184000		0.000000		4.021277
0.185000		0.000000		4.169505
0.186000		0.000000		4.321764
0.187000		0.000000		4.478121
0.188000		0.000000		4.638638
0.189000		0.000000		4.803381
0.190000		0.000000		4.972413
0.191000		0.000000		5.145799
0.192000		0.000000		5.323602
0.193000		0.000000		5.505886
0.194000		0.000000		5.692715
0.195000		0.000000		5.884152
0.196000		0.000000		6.080261
0.197000		0.000000		6.281103
0.198000		0.000000		6.486743
0.199000		0.000000		6.697242
0.200000		0.000000		6.912663
0.100000		0.010000		0.026299
0.101000		0.010000		0.029063
0.102000		0.010000		0.032063
0.103000		0.010000		0.035314
0.104000		0.010000		0.038833
0.105000		0.010000		0.042636
0.106000		0.010000		0.046740
0.107000		0.010000		0.051165
0.108000		0.010000		0.055928
0.109000		0.010000		0.061049
0.110000		0.010000		0.066549
0.111000		0.010000		0.072449
0.112000		0.010000		0.078770
0.113000		0.010000		0.085536
0.114000		0.010000		0.092769
0.115000		0.010000		0.100494
0.116000		0.010000		0.108737
0.117000		0.010000		0.117521
0.118000		0.010000		0.126875
0.119000		0.010000		0.136826
0.120000		0.010000		0.147402
0.121000		0.010000		0.158632
0.122000		0.010000		0.170546
0.123000		0.010000		0.183175
0.124000		0.010000		0.196549
0.125000		0.010000		0.210703
0.126000		0.010000		0.225668
0.127000		0.010000		0.241480
0.128000		0.010000		0.258172
0.129000		0.010000		0.275781
0.130000		0.010000		0.294344
0.131000		0.010000		0.313897
0.132000		0.010000		0.334479
0.133000		0.010000		0.356129
0.134000		0.010000		0.378887
0.135000		0.010000		0.402794
0.136000		0.010000		0.427892
0.137000		0.010000		0.454221
0.138000		0.010000		0.481827
0.139000		0.010000		0.510753
0.140000		0.010000		0.541043
0.141000		0.010000		0.572743
0.142000		0.010000		0.605900
0.143000		0.010000		0.640560
0.144000		0.010000		0.676771
0.145000		0.010000		0.714582
0.146000		0.010000		0.754042
0.147000		0.010000		0.795202
0.148000		0.010000		0.838111
0.149000		0.010000		0.882821
0.150000		0.010000		0.929385
0.151000		0.010000		0.977854
0.152000		0.010000		1.028283
0.153000		0.010000		1.080726
0.154000		0.010000		1.135236
0.155000		0.010000		1.191869
0.156000		0.010000		1.250682
0.157000		0.010000		1.311730
0.158000		0.010000		1.375071
0.159000		0.010000		1.440761
0.160000		0.010000		1.508859
0.161000		0.010000		1.579423
0.162000		0.010000		1.652513
0.163000		0.010000		1.728187
0.164000		0.010000		1.806506
0.165000		0.010000		1.887530
0.166000		0.010000		1.971318
0.167000		0.010000		2.057934
0.168000		0.010000		2.147437
0.169000		0.010000		2.239890
0.170000		0.010000		2.335355
0.171000		0.010000		2.433894
0.172000		0.010000		2.535569
0.173000		0.010000		2.640445
0.174000		0.010000		2.748583
0.175000		0.010000		2.860047
0.176000		0.010000		2.974901
0.177000		0.010000		3.093209
0.178000		0.010000		3.215034
0.179000		0.010000		3.340440
0.180000		0.010000		3.469492
0.181000		0.010000		3.602254
0.182000		0.010000		3.738790
0.183000		0.010000		3.879164
0.184000		0.010000		4.023441
0.185000		0.010000		4.171686
0.186000		0.010000		4.323962
0.187000		0.010000		4.480334
0.188000		0.010000		4.640866
0.189000		0.010000		4.805623
0.190000		0.010000		4.974669
0.191000		0.010000		5.148067
0.192000		0.010000		5.325882
0.193000		0.010000		5.508178
0.194000		0.010000		5.695017
0.195000		0.010000		5.886464
0.196000		0.010000		6.082581
0.197000		0.010000		6.283432
0.198000		0.010000		6.489078
0.199000		0.010000		6.699584
0.200000		0.010000		6.915011
0.100000		0.020000		0.026675
0.101000		0.020000		0.029468
0.102000		0.020000		0.032500
0.103000		0.020000		0.035784
0.104000		0.020000		0.039337
0.105000		0.020000		0.043177
0.106000		0.020000		0.047320
0.107000		0.020000		0.051784
0.108000		0.020000		0.056589
0.109000		0.020000		0.061754
0.110000		0.020000		0.067300
0.111000		0.020000		0.073247
0.112000		0.020000		0.079617
0.113000		0.020000		0.086434
0.114000		0.020000		0.093720
0.115000		0.020000		0.101500
0.116000		0.020000		0.109799
0.117000		0.020000		0.118642
0.118000		0.020000		0.128057
0.119000		0.020000		0.138070
0.120000		0.020000		0.148709
0.121000		0.020000		0.160005
0.122000		0.020000		0.171986
0.123000		0.020000		0.184684
0.124000		0.020000		0.198129
0.125000		0.020000		0.212355
