101
81
T [GeV]		muB [GeV]		betabulk_over_T4 [fm^-4 / GeV^4]
0.100000		0.000000		9.206355
0.101000		0.000000		9.498023
0.102000		0.000000		9.795082
0.103000		0.000000		10.097508
0.104000		0.000000		10.405282
0.105000		0.000000		10.718384
0.106000		0.000000		11.036799
0.107000		0.000000		11.360514
0.108000		0.000000		11.689519
0.109000		0.000000		12.023807
0.110000		0.000000		12.363375
0.111000		0.000000		12.708224
0.112000		0.000000		13.058358
0.113000		0.000000		13.413786
0.114000		0.000000		13.774520
0.115000		0.000000		14.140578
0.116000		0.000000		14.511981
0.117000		0.000000		14.888755
0.118000		0.000000		15.270932
0.119000		0.000000		15.658545
0.120000		0.000000		16.051636
0.121000		0.000000		16.450249
0.122000		0.000000		16.854433
0.123000		0.000000		17.264243
0.124000		0.000000		17.679738
0.125000		0.000000		18.100981
0.126000		0.000000		18.528039
0.127000		0.000000		18.960986
0.128000		0.000000		19.399898
0.129000		0.000000		19.844855
0.130000		0.000000		20.295943
0.131000		0.000000		20.753251
0.132000		0.000000		21.216871
0.133000		0.000000		21.686900
0.134000		0.000000		22.163437
0.135000		0.000000		22.646585
0.136000		0.000000		23.136450
0.137000		0.000000		23.633140
0.138000		0.000000		24.136767
0.139000		0.000000		24.647446
0.140000		0.000000		25.165291
0.141000		0.000000		25.690421
0.142000		0.000000		26.222956
0.143000		0.000000		26.763017
0.144000		0.000000		27.310727
0.145000		0.000000		27.866209
0.146000		0.000000		28.429589
0.147000		0.000000		29.000993
0.148000		0.000000		29.580545
0.149000		0.000000		30.168373
0.150000		0.000000		30.764603
0.151000		0.000000		31.369361
0.152000		0.000000		31.982773
0.153000		0.000000		32.604966
0.154000		0.000000		33.236063
0.155000		0.000000		33.876190
0.156000		0.000000		34.525469
0.157000		0.000000		35.184022
0.158000		0.000000		35.851969
0.159000		0.000000		36.529430
0.160000		0.000000		37.216523
0.161000		0.000000		37.913362
0.162000		0.000000		38.620062
0.163000		0.000000		39.336734
0.164000		0.000000		40.063488
0.165000		0.000000		40.800431
0.166000		0.000000		41.547667
0.167000		0.000000		42.305299
0.168000		0.000000		43.073427
0.169000		0.000000		43.852146
0.170000		0.000000		44.641552
0.171000		0.000000		45.441734
0.172000		0.000000		46.252782
0.173000		0.000000		47.074780
0.174000		0.000000		47.907809
0.175000		0.000000		48.751949
0.176000		0.000000		49.607275
0.177000		0.000000		50.473859
0.178000		0.000000		51.351769
0.179000		0.000000		52.241070
0.180000		0.000000		53.141825
0.181000		0.000000		54.054091
0.182000		0.000000		54.977922
0.183000		0.000000		55.913371
0.184000		0.000000		56.860484
0.185000		0.000000		57.819304
0.186000		0.000000		58.789873
0.187000		0.000000		59.772226
0.188000		0.000000		60.766397
0.189000		0.000000		61.772413
0.190000		0.000000		62.790302
0.191000		0.000000		63.820083
0.192000		0.000000		64.861776
0.193000		0.000000		65.915395
0.194000		0.000000		66.980950
0.195000		0.000000		68.058448
0.196000		0.000000		69.147892
0.197000		0.000000		70.249283
0.198000		0.000000		71.362616
0.199000		0.000000		72.487883
0.200000		0.000000		73.625073
0.100000		0.010000		9.202605
0.101000		0.010000		9.494171
0.102000		0.010000		9.791133
0.103000		0.010000		10.093468
0.104000		0.010000		10.401157
0.105000		0.010000		10.714180
0.106000		0.010000		11.032523
0.107000		0.010000		11.356172
0.108000		0.010000		11.685118
0.109000		0.010000		12.019356
0.110000		0.010000		12.358881
0.111000		0.010000		12.703694
0.112000		0.010000		13.053801
0.113000		0.010000		13.409210
0.114000		0.010000		13.769934
0.115000		0.010000		14.135990
0.116000		0.010000		14.507400
0.117000		0.010000		14.884190
0.118000		0.010000		15.266391
0.119000		0.010000		15.654037
0.120000		0.010000		16.047170
0.121000		0.010000		16.445834
0.122000		0.010000		16.850078
0.123000		0.010000		17.259956
0.124000		0.010000		17.675528
0.125000		0.010000		18.096856
