100
100
T [fm^-1]		muB [fm^-1]		F_dfce [fm^-1]
0.580000		0.000000		-0.108817
0.582424		0.000000		-0.108900
0.584848		0.000000		-0.108982
0.587273		0.000000		-0.109064
0.589697		0.000000		-0.109144
0.592121		0.000000		-0.109225
0.594545		0.000000		-0.109305
0.596970		0.000000		-0.109384
0.599394		0.000000		-0.109463
0.601818		0.000000		-0.109542
0.604242		0.000000		-0.109621
0.606667		0.000000		-0.109700
0.609091		0.000000		-0.109778
0.611515		0.000000		-0.109857
0.613939		0.000000		-0.109936
0.616364		0.000000		-0.110016
0.618788		0.000000		-0.110095
0.621212		0.000000		-0.110175
0.623636		0.000000		-0.110256
0.626061		0.000000		-0.110336
0.628485		0.000000		-0.110418
0.630909		0.000000		-0.110500
0.633333		0.000000		-0.110583
0.635758		0.000000		-0.110667
0.638182		0.000000		-0.110751
0.640606		0.000000		-0.110837
0.643030		0.000000		-0.110923
0.645455		0.000000		-0.111011
0.647879		0.000000		-0.111099
0.650303		0.000000		-0.111189
0.652727		0.000000		-0.111279
0.655152		0.000000		-0.111371
0.657576		0.000000		-0.111465
0.660000		0.000000		-0.111559
0.662424		0.000000		-0.111655
0.664848		0.000000		-0.111753
0.667273		0.000000		-0.111852
0.669697		0.000000		-0.111952
0.672121		0.000000		-0.112054
0.674545		0.000000		-0.112157
0.676970		0.000000		-0.112263
0.679394		0.000000		-0.112369
0.681818		0.000000		-0.112478
0.684242		0.000000		-0.112588
0.686667		0.000000		-0.112700
0.689091		0.000000		-0.112814
0.691515		0.000000		-0.112929
0.693939		0.000000		-0.113047
0.696364		0.000000		-0.113166
0.698788		0.000000		-0.113288
0.701212		0.000000		-0.113411
0.703636		0.000000		-0.113536
0.706061		0.000000		-0.113663
0.708485		0.000000		-0.113792
0.710909		0.000000		-0.113924
0.713333		0.000000		-0.114057
0.715758		0.000000		-0.114192
0.718182		0.000000		-0.114330
0.720606		0.000000		-0.114469
0.723030		0.000000		-0.114611
0.725455		0.000000		-0.114755
0.727879		0.000000		-0.114901
0.730303		0.000000		-0.115049
0.732727		0.000000		-0.115200
0.735152		0.000000		-0.115352
0.737576		0.000000		-0.115507
0.740000		0.000000		-0.115664
0.742424		0.000000		-0.115823
0.744848		0.000000		-0.115985
0.747273		0.000000		-0.116149
0.749697		0.000000		-0.116315
0.752121		0.000000		-0.116483
0.754545		0.000000		-0.116654
0.756970		0.000000		-0.116826
0.759394		0.000000		-0.117002
0.761818		0.000000		-0.117179
0.764242		0.000000		-0.117359
0.766667		0.000000		-0.117541
0.769091		0.000000		-0.117725
0.771515		0.000000		-0.117912
0.773939		0.000000		-0.118101
0.776364		0.000000		-0.118292
0.778788		0.000000		-0.118486
0.781212		0.000000		-0.118682
0.783636		0.000000		-0.118880
0.786061		0.000000		-0.119081
0.788485		0.000000		-0.119283
0.790909		0.000000		-0.119489
0.793333		0.000000		-0.119696
0.795758		0.000000		-0.119906
0.798182		0.000000		-0.120118
0.800606		0.000000		-0.120332
0.803030		0.000000		-0.120549
0.805455		0.000000		-0.120768
0.807879		0.000000		-0.120989
0.810303		0.000000		-0.121213
0.812727		0.000000		-0.121439
0.815152		0.000000		-0.121667
0.817576		0.000000		-0.121897
0.820000		0.000000		-0.122130
0.580000		0.027475		-0.108824
0.582424		0.027475		-0.108908
0.584848		0.027475		-0.108990
0.587273		0.027475		-0.109071
0.589697		0.027475		-0.109152
0.592121		0.027475		-0.109233
0.594545		0.027475		-0.109313
0.596970		0.027475		-0.109392
0.599394		0.027475		-0.109471
0.601818		0.027475		-0.109550
0.604242		0.027475		-0.109629
0.606667		0.027475		-0.109708
0.609091		0.027475		-0.109787
0.611515		0.027475		-0.109866
0.613939		0.027475		-0.109945
0.616364		0.027475		-0.110024
0.618788		0.027475		-0.110104
0.621212		0.027475		-0.110184
0.623636		0.027475		-0.110264
0.626061		0.027475		-0.110345
0.628485		0.027475		-0.110427
0.630909		0.027475		-0.110509
0.633333		0.027475		-0.110592
0.635758		0.027475		-0.110675
0.638182		0.027475		-0.110760
0.640606		0.027475		-0.110845
0.643030		0.027475		-0.110932
0.645455		0.027475		-0.111019
0.647879		0.027475		-0.111108
0.650303		0.027475		-0.111197
0.652727		0.027475		-0.111288
0.655152		0.027475		-0.111380
0.657576		0.027475		-0.111473
0.660000		0.027475		-0.111568
0.662424		0.027475		-0.111664
0.664848		0.027475		-0.111761
0.667273		0.027475		-0.111860
0.669697		0.027475		-0.111961
0.672121		0.027475		-0.112063
0.674545		0.027475		-0.112166
0.676970		0.027475		-0.112271
0.679394		0.027475		-0.112378
0.681818		0.027475		-0.112486
0.684242		0.027475		-0.112597
0.686667		0.027475		-0.112709
0.689091		0.027475		-0.112822
0.691515		0.027475		-0.112938
0.693939		0.027475		-0.113056
0.696364		0.027475		-0.113175
0.698788		0.027475		-0.113296
0.701212		0.027475		-0.113419
0.703636		0.027475		-0.113545
0.706061		0.027475		-0.113672
0.708485		0.027475		-0.113801
0.710909		0.027475		-0.113932
0.713333		0.027475		-0.114065
0.715758		0.027475		-0.114201
0.718182		0.027475		-0.114338
0.720606		0.027475		-0.114478
0.723030		0.027475		-0.114620
0.725455		0.027475		-0.114763
0.727879		0.027475		-0.114909
0.730303		0.027475		-0.115058
0.732727		0.027475		-0.115208
0.735152		0.027475		-0.115361
0.737576		0.027475		-0.115515
0.740000		0.027475		-0.115672
0.742424		0.027475		-0.115832
0.744848		0.027475		-0.115993
0.747273		0.027475		-0.116157
0.749697		0.027475		-0.116323
0.752121		0.027475		-0.116491
0.754545		0.027475		-0.116662
0.756970		0.027475		-0.116835
0.759394		0.027475		-0.117010
0.761818		0.027475		-0.117187
0.764242		0.027475		-0.117367
0.766667		0.027475		-0.117549
0.769091		0.027475		-0.117733
0.771515		0.027475		-0.117920
0.773939		0.027475		-0.118109
0.776364		0.027475		-0.118300
0.778788		0.027475		-0.118494
0.781212		0.027475		-0.118690
0.783636		0.027475		-0.118888
0.786061		0.027475		-0.119089
0.788485		0.027475		-0.119291
0.790909		0.027475		-0.119497
0.793333		0.027475		-0.119704
0.795758		0.027475		-0.119914
0.798182		0.027475		-0.120126
0.800606		0.027475		-0.120340
0.803030		0.027475		-0.120557
0.805455		0.027475		-0.120776
0.807879		0.027475		-0.120997
0.810303		0.027475		-0.121221
0.812727		0.027475		-0.121446
0.815152		0.027475		-0.121674
0.817576		0.027475		-0.121905
0.820000		0.027475		-0.122137
0.580000		0.054949		-0.108848
0.582424		0.054949		-0.108931
0.584848		0.054949		-0.109014
0.587273		0.054949		-0.109095
0.589697		0.054949		-0.109176
0.592121		0.054949		-0.109257
0.594545		0.054949		-0.109337
0.596970		0.054949		-0.109417
0.599394		0.054949		-0.109496
0.601818		0.054949		-0.109575
0.604242		0.054949		-0.109654
0.606667		0.054949		-0.109733
0.609091		0.054949		-0.109812
0.611515		0.054949		-0.109891
0.613939		0.054949		-0.109970
0.616364		0.054949		-0.110049
0.618788		0.054949		-0.110129
0.621212		0.054949		-0.110209
0.623636		0.054949		-0.110289
0.626061		0.054949		-0.110370
0.628485		0.054949		-0.110452
0.630909		0.054949		-0.110534
0.633333		0.054949		-0.110617
0.635758		0.054949		-0.110701
0.638182		0.054949		-0.110786
