100
100
T [fm^-1]		muB [fm^-1]		betabulk_dfce [fm^-4]
0.580000		0.000000		0.012120
0.582424		0.000000		0.012479
0.584848		0.000000		0.012847
0.587273		0.000000		0.013224
0.589697		0.000000		0.013610
0.592121		0.000000		0.014006
0.594545		0.000000		0.014411
0.596970		0.000000		0.014826
0.599394		0.000000		0.015251
0.601818		0.000000		0.015686
0.604242		0.000000		0.016132
0.606667		0.000000		0.016588
0.609091		0.000000		0.017055
0.611515		0.000000		0.017532
0.613939		0.000000		0.018021
0.616364		0.000000		0.018522
0.618788		0.000000		0.019034
0.621212		0.000000		0.019558
0.623636		0.000000		0.020094
0.626061		0.000000		0.020642
0.628485		0.000000		0.021203
0.630909		0.000000		0.021776
0.633333		0.000000		0.022363
0.635758		0.000000		0.022962
0.638182		0.000000		0.023576
0.640606		0.000000		0.024203
0.643030		0.000000		0.024844
0.645455		0.000000		0.025499
0.647879		0.000000		0.026169
0.650303		0.000000		0.026854
0.652727		0.000000		0.027554
0.655152		0.000000		0.028269
0.657576		0.000000		0.029000
0.660000		0.000000		0.029746
0.662424		0.000000		0.030509
0.664848		0.000000		0.031289
0.667273		0.000000		0.032085
0.669697		0.000000		0.032899
0.672121		0.000000		0.033730
0.674545		0.000000		0.034579
0.676970		0.000000		0.035445
0.679394		0.000000		0.036331
0.681818		0.000000		0.037235
0.684242		0.000000		0.038158
0.686667		0.000000		0.039101
0.689091		0.000000		0.040063
0.691515		0.000000		0.041045
0.693939		0.000000		0.042049
0.696364		0.000000		0.043073
0.698788		0.000000		0.044118
0.701212		0.000000		0.045185
0.703636		0.000000		0.046274
0.706061		0.000000		0.047385
0.708485		0.000000		0.048519
0.710909		0.000000		0.049676
0.713333		0.000000		0.050857
0.715758		0.000000		0.052062
0.718182		0.000000		0.053292
0.720606		0.000000		0.054546
0.723030		0.000000		0.055826
0.725455		0.000000		0.057131
0.727879		0.000000		0.058463
0.730303		0.000000		0.059821
0.732727		0.000000		0.061207
0.735152		0.000000		0.062620
0.737576		0.000000		0.064061
0.740000		0.000000		0.065531
0.742424		0.000000		0.067030
0.744848		0.000000		0.068558
0.747273		0.000000		0.070117
0.749697		0.000000		0.071706
0.752121		0.000000		0.073326
0.754545		0.000000		0.074978
0.756970		0.000000		0.076662
0.759394		0.000000		0.078379
0.761818		0.000000		0.080129
0.764242		0.000000		0.081913
0.766667		0.000000		0.083731
0.769091		0.000000		0.085584
0.771515		0.000000		0.087473
0.773939		0.000000		0.089398
0.776364		0.000000		0.091359
0.778788		0.000000		0.093358
0.781212		0.000000		0.095395
0.783636		0.000000		0.097471
0.786061		0.000000		0.099585
0.788485		0.000000		0.101740
0.790909		0.000000		0.103935
0.793333		0.000000		0.106172
0.795758		0.000000		0.108450
0.798182		0.000000		0.110770
0.800606		0.000000		0.113134
0.803030		0.000000		0.115542
0.805455		0.000000		0.117995
0.807879		0.000000		0.120493
0.810303		0.000000		0.123037
0.812727		0.000000		0.125627
0.815152		0.000000		0.128266
0.817576		0.000000		0.130952
0.820000		0.000000		0.133688
0.580000		0.027475		0.012118
0.582424		0.027475		0.012478
0.584848		0.027475		0.012845
0.587273		0.027475		0.013223
0.589697		0.027475		0.013609
0.592121		0.027475		0.014004
0.594545		0.027475		0.014410
0.596970		0.027475		0.014825
0.599394		0.027475		0.015250
0.601818		0.027475		0.015685
0.604242		0.027475		0.016130
0.606667		0.027475		0.016586
0.609091		0.027475		0.017053
0.611515		0.027475		0.017531
0.613939		0.027475		0.018020
0.616364		0.027475		0.018520
0.618788		0.027475		0.019032
0.621212		0.027475		0.019556
0.623636		0.027475		0.020092
0.626061		0.027475		0.020640
0.628485		0.027475		0.021201
0.630909		0.027475		0.021775
0.633333		0.027475		0.022361
0.635758		0.027475		0.022961
0.638182		0.027475		0.023574
0.640606		0.027475		0.024201
0.643030		0.027475		0.024842
0.645455		0.027475		0.025498
0.647879		0.027475		0.026168
0.650303		0.027475		0.026852
0.652727		0.027475		0.027552
0.655152		0.027475		0.028267
0.657576		0.027475		0.028998
0.660000		0.027475		0.029745
0.662424		0.027475		0.030508
0.664848		0.027475		0.031287
0.667273		0.027475		0.032084
0.669697		0.027475		0.032897
0.672121		0.027475		0.033728
0.674545		0.027475		0.034577
0.676970		0.027475		0.035444
0.679394		0.027475		0.036329
0.681818		0.027475		0.037233
0.684242		0.027475		0.038156
0.686667		0.027475		0.039099
0.689091		0.027475		0.040062
0.691515		0.027475		0.041044
0.693939		0.027475		0.042047
0.696364		0.027475		0.043071
0.698788		0.027475		0.044117
0.701212		0.027475		0.045183
0.703636		0.027475		0.046272
0.706061		0.027475		0.047384
0.708485		0.027475		0.048518
0.710909		0.027475		0.049675
0.713333		0.027475		0.050856
0.715758		0.027475		0.052061
0.718182		0.027475		0.053291
0.720606		0.027475		0.054545
0.723030		0.027475		0.055825
0.725455		0.027475		0.057131
0.727879		0.027475		0.058462
0.730303		0.027475		0.059821
0.732727		0.027475		0.061206
0.735152		0.027475		0.062620
0.737576		0.027475		0.064061
0.740000		0.027475		0.065531
0.742424		0.027475		0.067030
0.744848		0.027475		0.068558
0.747273		0.027475		0.070117
0.749697		0.027475		0.071706
