100
100
T [fm^-1]		muB [fm^-1]		betapi_dfce [fm^-4]
0.580000		0.000000		0.031832
0.582424		0.000000		0.032619
0.584848		0.000000		0.033425
0.587273		0.000000		0.034249
0.589697		0.000000		0.035092
0.592121		0.000000		0.035954
0.594545		0.000000		0.036836
0.596970		0.000000		0.037738
0.599394		0.000000		0.038661
0.601818		0.000000		0.039604
0.604242		0.000000		0.040569
0.606667		0.000000		0.041556
0.609091		0.000000		0.042565
0.611515		0.000000		0.043597
0.613939		0.000000		0.044653
0.616364		0.000000		0.045732
0.618788		0.000000		0.046836
0.621212		0.000000		0.047965
0.623636		0.000000		0.049119
0.626061		0.000000		0.050300
0.628485		0.000000		0.051507
0.630909		0.000000		0.052741
0.633333		0.000000		0.054003
0.635758		0.000000		0.055293
0.638182		0.000000		0.056613
0.640606		0.000000		0.057962
0.643030		0.000000		0.059341
0.645455		0.000000		0.060752
0.647879		0.000000		0.062194
0.650303		0.000000		0.063668
0.652727		0.000000		0.065176
0.655152		0.000000		0.066717
0.657576		0.000000		0.068292
0.660000		0.000000		0.069903
0.662424		0.000000		0.071550
0.664848		0.000000		0.073233
0.667273		0.000000		0.074954
0.669697		0.000000		0.076713
0.672121		0.000000		0.078511
0.674545		0.000000		0.080349
0.676970		0.000000		0.082228
0.679394		0.000000		0.084149
0.681818		0.000000		0.086112
0.684242		0.000000		0.088118
0.686667		0.000000		0.090169
0.689091		0.000000		0.092265
0.691515		0.000000		0.094407
0.693939		0.000000		0.096597
0.696364		0.000000		0.098834
0.698788		0.000000		0.101121
0.701212		0.000000		0.103458
0.703636		0.000000		0.105846
0.706061		0.000000		0.108286
0.708485		0.000000		0.110780
0.710909		0.000000		0.113328
0.713333		0.000000		0.115932
0.715758		0.000000		0.118592
0.718182		0.000000		0.121310
0.720606		0.000000		0.124088
0.723030		0.000000		0.126925
0.725455		0.000000		0.129824
0.727879		0.000000		0.132786
0.730303		0.000000		0.135812
0.732727		0.000000		0.138903
0.735152		0.000000		0.142061
0.737576		0.000000		0.145286
0.740000		0.000000		0.148581
0.742424		0.000000		0.151947
0.744848		0.000000		0.155385
0.747273		0.000000		0.158896
0.749697		0.000000		0.162482
0.752121		0.000000		0.166145
0.754545		0.000000		0.169885
0.756970		0.000000		0.173705
0.759394		0.000000		0.177607
0.761818		0.000000		0.181591
0.764242		0.000000		0.185659
0.766667		0.000000		0.189813
0.769091		0.000000		0.194055
0.771515		0.000000		0.198385
0.773939		0.000000		0.202807
0.776364		0.000000		0.207322
0.778788		0.000000		0.211931
0.781212		0.000000		0.216637
0.783636		0.000000		0.221441
0.786061		0.000000		0.226344
0.788485		0.000000		0.231350
0.790909		0.000000		0.236460
0.793333		0.000000		0.241675
0.795758		0.000000		0.246999
0.798182		0.000000		0.252432
0.800606		0.000000		0.257977
0.803030		0.000000		0.263636
0.805455		0.000000		0.269411
0.807879		0.000000		0.275305
0.810303		0.000000		0.281318
0.812727		0.000000		0.287455
0.815152		0.000000		0.293716
0.817576		0.000000		0.300105
0.820000		0.000000		0.306623
0.580000		0.027475		0.031833
0.582424		0.027475		0.032620
0.584848		0.027475		0.033426
0.587273		0.027475		0.034251
0.589697		0.027475		0.035094
0.592121		0.027475		0.035956
0.594545		0.027475		0.036838
0.596970		0.027475		0.037740
0.599394		0.027475		0.038662
0.601818		0.027475		0.039606
0.604242		0.027475		0.040571
0.606667		0.027475		0.041558
0.609091		0.027475		0.042567
0.611515		0.027475		0.043599
0.613939		0.027475		0.044655
0.616364		0.027475		0.045734
0.618788		0.027475		0.046838
0.621212		0.027475		0.047967
0.623636		0.027475		0.049121
0.626061		0.027475		0.050302
0.628485		0.027475		0.051509
0.630909		0.027475		0.052743
0.633333		0.027475		0.054005
0.635758		0.027475		0.055296
0.638182		0.027475		0.056616
0.640606		0.027475		0.057965
0.643030		0.027475		0.059345
0.645455		0.027475		0.060755
0.647879		0.027475		0.062197
0.650303		0.027475		0.063672
0.652727		0.027475		0.065179
0.655152		0.027475		0.066721
0.657576		0.027475		0.068296
0.660000		0.027475		0.069907
0.662424		0.027475		0.071554
0.664848		0.027475		0.073237
0.667273		0.027475		0.074958
0.669697		0.027475		0.076718
0.672121		0.027475		0.078516
0.674545		0.027475		0.080354
0.676970		0.027475		0.082233
0.679394		0.027475		0.084154
0.681818		0.027475		0.086117
0.684242		0.027475		0.088124
0.686667		0.027475		0.090175
0.689091		0.027475		0.092271
0.691515		0.027475		0.094413
0.693939		0.027475		0.096603
0.696364		0.027475		0.098841
0.698788		0.027475		0.101128
0.701212		0.027475		0.103465
0.703636		0.027475		0.105853
0.706061		0.027475		0.108294
0.708485		0.027475		0.110788
0.710909		0.027475		0.113336
0.713333		0.027475		0.115940
0.715758		0.027475		0.118601
0.718182		0.027475		0.121319
0.720606		0.027475		0.124097
0.723030		0.027475		0.126935
0.725455		0.027475		0.129834
0.727879		0.027475		0.132796
0.730303		0.027475		0.135822
0.732727		0.027475		0.138914
0.735152		0.027475		0.142072
0.737576		0.027475		0.145298
0.740000		0.027475		0.148593
0.742424		0.027475		0.151959
0.744848		0.027475		0.155397
0.747273		0.027475		0.158909
0.749697		0.027475		0.162495
0.752121		0.027475		0.166158
0.754545		0.027475		0.169900
0.756970		0.027475		0.173720
0.759394		0.027475		0.177622
0.761818		0.027475		0.181606
0.764242		0.027475		0.185675
0.766667		0.027475		0.189829
0.769091		0.027475		0.194072
0.771515		0.027475		0.198403
0.773939		0.027475		0.202825
0.776364		0.027475		0.207341
0.778788		0.027475		0.211950
0.781212		0.027475		0.216657
0.783636		0.027475		0.221461
0.786061		0.027475		0.226365
0.788485		0.027475		0.231372
0.790909		0.027475		0.236482
0.793333		0.027475		0.241698
0.795758		0.027475		0.247022
0.798182		0.027475		0.252456
0.800606		0.027475		0.258001
0.803030		0.027475		0.263661
0.805455		0.027475		0.269437
0.807879		0.027475		0.275331
0.810303		0.027475		0.281346
0.812727		0.027475		0.287483
0.815152		0.027475		0.293745
0.817576		0.027475		0.300135
0.820000		0.027475		0.306654
0.580000		0.054949		0.031836
0.582424		0.054949		0.032624
0.584848		0.054949		0.033430
0.587273		0.054949		0.034254
0.589697		0.054949		0.035097
0.592121		0.054949		0.035960
0.594545		0.054949		0.036842
0.596970		0.054949		0.037744
0.599394		0.054949		0.038667
0.601818		0.054949		0.039610
0.604242		0.054949		0.040576
0.606667		0.054949		0.041563
0.609091		0.054949		0.042572
0.611515		0.054949		0.043605
0.613939		0.054949		0.044660
0.616364		0.054949		0.045740
0.618788		0.054949		0.046844
0.621212		0.054949		0.047973
0.623636		0.054949		0.049128
0.626061		0.054949		0.050309
0.628485		0.054949		0.051516
0.630909		0.054949		0.052751
0.633333		0.054949		0.054013
0.635758		0.054949		0.055304
0.638182		0.054949		0.056624
0.640606		0.054949		0.057974
0.643030		0.054949		0.059354
0.645455		0.054949		0.060765
0.647879		0.054949		0.062207
0.650303		0.054949		0.063682
0.652727		0.054949		0.065190
0.655152		0.054949		0.066732
0.657576		0.054949		0.068308
0.660000		0.054949		0.069919
0.662424		0.054949		0.071566
0.664848		0.054949		0.073250
0.667273		0.054949		0.074972
0.669697		0.054949		0.076731
0.672121		0.054949		0.078530
0.674545		0.054949		0.080369
0.676970		0.054949		0.082249
0.679394		0.054949		0.084170
0.681818		0.054949		0.086134
0.684242		0.054949		0.088141
0.686667		0.054949		0.090192
0.689091		0.054949		0.092289
0.691515		0.054949		0.094432
0.693939		0.054949		0.096623
0.696364		0.054949		0.098861
0.698788		0.054949		0.101149
0.701212		0.054949		0.103486
0.703636		0.054949		0.105875
0.706061		0.054949		0.108317
0.708485		0.054949		0.110811
0.710909		0.054949		0.113361
0.713333		0.054949		0.115965
0.715758		0.054949		0.118627
0.718182		0.054949		0.121346
0.720606		0.054949		0.124125
0.723030		0.054949		0.126964
0.725455		0.054949		0.129864
0.727879		0.054949		0.132827
0.730303		0.054949		0.135854
0.732727		0.054949		0.138946
0.735152		0.054949		0.142106
0.737576		0.054949		0.145333
0.740000		0.054949		0.148629
0.742424		0.054949		0.151996
0.744848		0.054949		0.155435
0.747273		0.054949		0.158948
0.749697		0.054949		0.162536
0.752121		0.054949		0.166200
0.754545		0.054949		0.169942
0.756970		0.054949		0.173764
0.759394		0.054949		0.177667
0.761818		0.054949		0.181653
0.764242		0.054949		0.185723
0.766667		0.054949		0.189879
0.769091		0.054949		0.194123
0.771515		0.054949		0.198456
0.773939		0.054949		0.202879
0.776364		0.054949		0.207396
0.778788		0.054949		0.212008
0.781212		0.054949		0.216715
0.783636		0.054949		0.221521
0.786061		0.054949		0.226427
0.788485		0.054949		0.231435
0.790909		0.054949		0.236547
0.793333		0.054949		0.241765
0.795758		0.054949		0.247091
0.798182		0.054949		0.252527
0.800606		0.054949		0.258075
0.803030		0.054949		0.263736
0.805455		0.054949		0.269514
0.807879		0.054949		0.275410
0.810303		0.054949		0.281427
0.812727		0.054949		0.287567
0.815152		0.054949		0.293831
0.817576		0.054949		0.300223
0.820000		0.054949		0.306744
0.580000		0.082424		0.031841
0.582424		0.082424		0.032629
0.584848		0.082424		0.033436
0.587273		0.082424		0.034260
0.589697		0.082424		0.035104
0.592121		0.082424		0.035966
0.594545		0.082424		0.036849
0.596970		0.082424		0.037751
0.599394		0.082424		0.038674
0.601818		0.082424		0.039618
0.604242		0.082424		0.040584
0.606667		0.082424		0.041571
0.609091		0.082424		0.042581
0.611515		0.082424		0.043614
0.613939		0.082424		0.044670
0.616364		0.082424		0.045750
0.618788		0.082424		0.046855
0.621212		0.082424		0.047984
0.623636		0.082424		0.049139
0.626061		0.082424		0.050321
0.628485		0.082424		0.051528
0.630909		0.082424		0.052764
0.633333		0.082424		0.054027
0.635758		0.082424		0.055318
0.638182		0.082424		0.056638
0.640606		0.082424		0.057989
0.643030		0.082424		0.059369
0.645455		0.082424		0.060781
0.647879		0.082424		0.062224
0.650303		0.082424		0.063699
0.652727		0.082424		0.065208
0.655152		0.082424		0.066750
0.657576		0.082424		0.068327
0.660000		0.082424		0.069939
0.662424		0.082424		0.071587
0.664848		0.082424		0.073272
0.667273		0.082424		0.074994
0.669697		0.082424		0.076754
0.672121		0.082424		0.078554
0.674545		0.082424		0.080394
0.676970		0.082424		0.082274
0.679394		0.082424		0.084196
0.681818		0.082424		0.086161
0.684242		0.082424		0.088169
0.686667		0.082424		0.090222
0.689091		0.082424		0.092320
0.691515		0.082424		0.094464
0.693939		0.082424		0.096655
0.696364		0.082424		0.098895
0.698788		0.082424		0.101183
0.701212		0.082424		0.103522
0.703636		0.082424		0.105912
0.706061		0.082424		0.108355
0.708485		0.082424		0.110851
0.710909		0.082424		0.113402
0.713333		0.082424		0.116008
0.715758		0.082424		0.118671
0.718182		0.082424		0.121391
0.720606		0.082424		0.124171
0.723030		0.082424		0.127012
0.725455		0.082424		0.129913
0.727879		0.082424		0.132878
0.730303		0.082424		0.135907
0.732727		0.082424		0.139001
0.735152		0.082424		0.142162
0.737576		0.082424		0.145390
