T [fm^-1]		c2_df14_muB_0 [..]
0.580000		-1.795311
0.582424		-1.724068
0.584848		-1.655961
0.587273		-1.590840
0.589697		-1.528561
0.592121		-1.468989
0.594545		-1.411994
0.596970		-1.357454
0.599394		-1.305255
0.601818		-1.255285
0.604242		-1.207440
0.606667		-1.161622
0.609091		-1.117736
0.611515		-1.075693
0.613939		-1.035408
0.616364		-0.996801
0.618788		-0.959794
0.621212		-0.924315
0.623636		-0.890296
0.626061		-0.857669
0.628485		-0.826373
0.630909		-0.796347
0.633333		-0.767536
0.635758		-0.739885
0.638182		-0.713343
0.640606		-0.687861
0.643030		-0.663393
0.645455		-0.639894
0.647879		-0.617322
0.650303		-0.595637
0.652727		-0.574801
0.655152		-0.554777
0.657576		-0.535530
0.660000		-0.517027
0.662424		-0.499237
0.664848		-0.482129
0.667273		-0.465675
0.669697		-0.449846
0.672121		-0.434618
0.674545		-0.419964
0.676970		-0.405862
0.679394		-0.392287
0.681818		-0.379219
0.684242		-0.366637
0.686667		-0.354520
0.689091		-0.342850
0.691515		-0.331609
0.693939		-0.320779
0.696364		-0.310344
0.698788		-0.300288
0.701212		-0.290595
0.703636		-0.281252
0.706061		-0.272244
0.708485		-0.263559
0.710909		-0.255182
0.713333		-0.247103
0.715758		-0.239310
0.718182		-0.231791
0.720606		-0.224536
0.723030		-0.217535
0.725455		-0.210778
0.727879		-0.204255
0.730303		-0.197958
0.732727		-0.191878
0.735152		-0.186006
0.737576		-0.180336
0.740000		-0.174859
0.742424		-0.169567
0.744848		-0.164455
0.747273		-0.159515
0.749697		-0.154741
0.752121		-0.150127
0.754545		-0.145667
0.756970		-0.141355
0.759394		-0.137186
0.761818		-0.133155
0.764242		-0.129256
0.766667		-0.125485
0.769091		-0.121837
0.771515		-0.118308
0.773939		-0.114893
0.776364		-0.111589
0.778788		-0.108391
0.781212		-0.105296
0.783636		-0.102300
0.786061		-0.099399
0.788485		-0.096591
0.790909		-0.093871
0.793333		-0.091238
0.795758		-0.088687
0.798182		-0.086216
0.800606		-0.083823
0.803030		-0.081504
0.805455		-0.079257
0.807879		-0.077079
0.810303		-0.074969
0.812727		-0.072923
0.815152		-0.070940
0.817576		-0.069018
0.820000		-0.067154
