100
100
T [fm^-1]		muB [fm^-1]		c3_df14 [fm^4]
0.580000		0.000000		-985.789999
0.582424		0.000000		-935.155044
0.584848		0.000000		-887.406311
0.587273		0.000000		-842.363528
0.589697		0.000000		-799.858645
0.592121		0.000000		-759.734936
0.594545		0.000000		-721.846183
0.596970		0.000000		-686.055915
0.599394		0.000000		-652.236704
0.601818		0.000000		-620.269528
0.604242		0.000000		-590.043166
0.606667		0.000000		-561.453650
0.609091		0.000000		-534.403757
0.611515		0.000000		-508.802534
0.613939		0.000000		-484.564865
0.616364		0.000000		-461.611066
0.618788		0.000000		-439.866514
0.621212		0.000000		-419.261294
0.623636		0.000000		-399.729888
0.626061		0.000000		-381.210868
0.628485		0.000000		-363.646627
0.630909		0.000000		-346.983120
0.633333		0.000000		-331.169627
0.635758		0.000000		-316.158532
0.638182		0.000000		-301.905120
0.640606		0.000000		-288.367384
0.643030		0.000000		-275.505850
0.645455		0.000000		-263.283409
0.647879		0.000000		-251.665170
0.650303		0.000000		-240.618311
0.652727		0.000000		-230.111950
0.655152		0.000000		-220.117021
0.657576		0.000000		-210.606158
0.660000		0.000000		-201.553587
0.662424		0.000000		-192.935029
0.664848		0.000000		-184.727602
0.667273		0.000000		-176.909739
0.669697		0.000000		-169.461103
0.672121		0.000000		-162.362513
0.674545		0.000000		-155.595871
0.676970		0.000000		-149.144101
0.679394		0.000000		-142.991078
0.681818		0.000000		-137.121581
0.684242		0.000000		-131.521230
0.686667		0.000000		-126.176441
0.689091		0.000000		-121.074376
0.691515		0.000000		-116.202899
0.693939		0.000000		-111.550535
0.696364		0.000000		-107.106431
0.698788		0.000000		-102.860319
0.701212		0.000000		-98.802484
0.703636		0.000000		-94.923729
0.706061		0.000000		-91.215347
0.708485		0.000000		-87.669092
0.710909		0.000000		-84.277153
0.713333		0.000000		-81.032129
0.715758		0.000000		-77.927007
0.718182		0.000000		-74.955137
0.720606		0.000000		-72.110215
0.723030		0.000000		-69.386262
0.725455		0.000000		-66.777604
0.727879		0.000000		-64.278860
0.730303		0.000000		-61.884922
0.732727		0.000000		-59.590940
0.735152		0.000000		-57.392310
0.737576		0.000000		-55.284657
0.740000		0.000000		-53.263828
0.742424		0.000000		-51.325875
0.744848		0.000000		-49.467047
0.747273		0.000000		-47.683776
0.749697		0.000000		-45.972672
0.752121		0.000000		-44.330509
0.754545		0.000000		-42.754221
0.756970		0.000000		-41.240888
0.759394		0.000000		-39.787733
0.761818		0.000000		-38.392112
0.764242		0.000000		-37.051508
0.766667		0.000000		-35.763525
0.769091		0.000000		-34.525879
0.771515		0.000000		-33.336396
