,cent,entropy_high,entropy_low
0,0_10,205.62898671,112.36194873
1,10_20,112.36181125,76.728785518
2,20_30,76.728308388,51.671597201
3,30_40,51.671394987,33.485155933
4,40_50,33.485135787,20.39659723
5,50_60,20.396571738,11.359336809
6,60_70,11.359336611,5.5467727849
7,70_80,5.5467706002,2.2836172477
8,80_90,2.2835708363,0.68191026383
9,90_100,0.68189713903,9.1404808465e-05
10,0_1,205.62898671,164.22666397
11,0_6,205.62898671,131.41394518
12,0_5,205.62898671,136.88780966
13,5_10,136.88775858,112.36194873
14,10_15,112.36181125,93.023583932
15,15_20,93.023322621,76.728785518
16,20_25,76.728308388,63.165936043
17,25_30,63.165707054,51.671597201
18,30_35,51.671394987,41.851931857
19,35_40,41.851752644,33.485155933
20,40_45,33.485135787,26.400991759
21,45_50,26.400894333,20.39659723
22,50_55,20.396571738,15.440960727
23,55_60,15.440955903,11.359336809
24,60_65,11.359336611,8.0907636274
25,65_70,8.0907445599,5.5467727849
26,70_75,5.5467706002,3.6495972657
27,75_80,3.64958871,2.2836172477
28,80_85,2.2835708363,1.3259554507
29,85_90,1.3259406967,0.68191026383
30,90_95,0.68189713903,0.26427943346
31,95_100,0.26427613411,9.1404808465e-05
