,cent,entropy_high,entropy_low
0,0_10,213.50390806,118.77801038
1,10_20,118.77790851,80.548262178
2,20_30,80.54815034,53.74563648
3,30_40,53.745586244,34.512667976
4,40_50,34.512583821,20.820548375
5,50_60,20.820181995,11.442655885
6,60_70,11.44261667,5.5325402169
7,70_80,5.5325199783,2.2425228544
8,80_90,2.2424988845,0.65144955918
9,90_100,0.65144747664,6.9816217283e-05
10,0_1,213.50390806,174.14031416
11,0_6,213.50390806,139.22666662
12,0_5,213.50390806,145.15793867
13,5_10,145.15761475,118.77801038
14,10_15,118.77790851,97.917657025
15,15_20,97.917631594,80.548262178
16,20_25,80.54815034,66.10160543
17,25_30,66.101396682,53.74563648
18,30_35,53.745586244,43.306707199
19,35_40,43.306679944,34.512667976
20,40_45,34.512583821,27.058803158
21,45_50,27.058701559,20.820548375
22,50_55,20.820181995,15.650287692
23,55_60,15.650256933,11.442655885
24,60_65,11.44261667,8.109435584
25,65_70,8.1093497403,5.5325402169
26,70_75,5.5325199783,3.617612338
27,75_80,3.6176122751,2.2425228544
28,80_85,2.2424988845,1.2928510019
29,85_90,1.2928480619,0.65144955918
30,90_95,0.65144747664,0.24736131078
31,95_100,0.2473605369,6.9816217283e-05
