cent entropy
0 205.82757736
1 174.33855448
2 165.36758601
3 158.09835821
4 151.177418
5 144.68703002
6 138.86402475
7 133.10722013
8 127.86626915
9 123.1403776
10 118.27687676
11 113.52440615
12 109.31122723
13 105.05342285
14 101.05222936
15 97.339769136
16 93.515736645
17 89.955232679
18 86.493363243
19 83.086543399
20 79.797267016
21 76.918602321
22 73.923920872
23 71.091973666
24 68.328532329
25 65.557640668
26 62.973209466
27 60.408341749
28 58.099769897
29 55.75435609
30 53.532067415
31 51.357738347
32 49.095867304
33 46.937642517
34 44.876680286
35 42.870606
36 40.959745983
37 38.950150533
38 37.069424892
39 35.374947363
40 33.717550787
41 32.210584671
42 30.692723735
43 29.199679131
44 27.797460706
45 26.441687464
46 25.09883826
47 23.840712119
48 22.684688542
49 21.496960846
50 20.366665173
51 19.313556028
52 18.253406055
53 17.189937613
54 16.247169128
55 15.316989781
56 14.437794197
57 13.577615967
58 12.710807378
59 11.882993669
60 11.156268231
61 10.409226508
62 9.720001784
63 9.0727143511
64 8.451851979
65 7.8327505104
66 7.3024454234
67 6.7719488557
68 6.2575246346
69 5.7696482476
70 5.3370021139
71 4.9177211849
72 4.5273357195
73 4.1637039468
74 3.8122064391
75 3.4976319667
76 3.1966405449
77 2.8951678467
78 2.6365266778
79 2.394389655
80 2.1570183239
81 1.948651885
82 1.744637012
83 1.5655665376
84 1.393287965
85 1.235314783
86 1.0906831615
87 0.95938049708
88 0.83489536475
89 0.72252088834
90 0.61958587708
91 0.52502526485
92 0.44109122029
93 0.3617885845
94 0.29482656876
95 0.22916066341
96 0.1720412792
97 0.12453505464
98 0.08109533428
99 0.042432739142
100 0.00031417951808
